,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
24038,ref-t.1.1.4.18.40-ref-t.1.1.4.18.45,ref-sifre-n.12.1.178-ref-sifre-n.12.1.183,19943,19975,3238,3243,ref-t.00001.00001.00004.00018.00040,ref-t.00001.00001.00004.00018.00045,24173,24206,3682,3687,ref-sifre-n.00012.00001.00178,ref-sifre-n.00012.00001.00183,אשר חכמים יגידו ולא כחדו מאבתם ,אשר חכמים הגידו ולא כחדו מאבותם ,ref-sifre-n
24039,ref-t.1.2.1.11.8-ref-t.1.2.1.11.15,ref-sifre-n.110.2.129-ref-sifre-n.110.2.145,37407,37451,6123,6130,ref-t.00001.00002.00001.00011.00008,ref-t.00001.00002.00001.00011.00015,158633,158732,24947,24961,ref-sifre-n.00110.00002.00129,ref-sifre-n.00110.00002.00145,פטור מן הלקט ומן השכחה ומן הפיאה וחייב ,שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
24040,ref-t.1.2.1.11.10-ref-t.1.2.1.11.16,ref-sifre-n.110.2.261-ref-sifre-n.110.2.266,37415,37460,6125,6131,ref-t.00001.00002.00001.00011.00010,ref-t.00001.00002.00001.00011.00016,159392,159429,25067,25072,ref-sifre-n.00110.00002.00261,ref-sifre-n.00110.00002.00266,הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,בלקט שכחה ופאה שמינם חיבת במעשרות ,ref-sifre-n
24041,ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.126-ref-sifre-n.110.2.145,39118,39189,6403,6414,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00011.00003,158618,158732,24944,24961,ref-sifre-n.00110.00002.00126,ref-sifre-n.00110.00002.00145,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות הלקט והשכחה והפאה ,לקט שכחה ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
24042,ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.169-ref-sifre-n.110.2.180,39118,39189,6403,6414,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00011.00003,158875,158941,24985,24994,ref-sifre-n.00110.00002.00169,ref-sifre-n.00110.00002.00180,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות הלקט והשכחה והפאה ,שפטורים מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר ,ref-sifre-n
24043,ref-t.1.2.2.10.22-ref-t.1.2.2.10.28,ref-sifre-n.110.2.261-ref-sifre-n.110.2.266,39126,39168,6405,6411,ref-t.00001.00002.00002.00010.00022,ref-t.00001.00002.00002.00010.00028,159392,159429,25067,25072,ref-sifre-n.00110.00002.00261,ref-sifre-n.00110.00002.00266,הלקט מן השכחה ומן הפאה וחייב במעשרות ,בלקט שכחה ופאה שמינם חיבת במעשרות ,ref-sifre-n
24044,ref-t.1.2.2.13.28-ref-t.1.2.2.13.37,ref-sifre-n.117.2.536-ref-sifre-n.117.2.542,39579,39636,6484,6493,ref-t.00001.00002.00002.00013.00028,ref-t.00001.00002.00002.00013.00037,186674,186713,29536,29542,ref-sifre-n.00117.00002.00536,ref-sifre-n.00117.00002.00542,ושאר מתנות כהונה כגון הזרוע והלחיים והקבה יש כהן משם ,אשר יתנו זה הזרוע והלחיים והקיבה לה' ,ref-sifre-n
24045,ref-t.1.2.3.6.21-ref-t.1.2.3.6.34,ref-sifre-n.134.2.193-ref-sifre-n.134.2.206,43205,43265,7043,7054,ref-t.00001.00002.00003.00006.00021,ref-t.00001.00002.00003.00006.00034,240871,240937,38289,38301,ref-sifre-n.00134.00002.00193,ref-sifre-n.00134.00002.00206,שהורע כח עני בה הרי היא מצלת את העומר עומר שייפה כח עני בו ,שהורע כחה במקום הבן הרי היא יורשת בת הבן בן שיפה כחו במקום הבן ,ref-sifre-n
24046,ref-t.1.3.2.6.2-ref-t.1.3.2.7.7,ref-sifre-n.122.1.126-ref-sifre-n.122.1.135,56419,56513,9178,9195,ref-t.00001.00003.00002.00006.00002,ref-t.00001.00003.00002.00007.00007,204487,204532,32366,32374,ref-sifre-n.00122.00001.00126,ref-sifre-n.00122.00001.00135,שקבל עליו כל מתנות עבודות כהונה חוץ מדבר אחד אין מקבלין אותו בן לוי שקבל עליו כל עבודות לויה ,בן לוי שקיבל עליו כל עבודת לויה חוץ מדבר אחד ,ref-sifre-n
24047,ref-t.1.3.2.7.67-ref-t.1.3.2.7.74,ref-sifre-n.5.1.26-ref-sifre-n.5.1.33,56861,56908,9250,9257,ref-t.00001.00003.00002.00007.00067,ref-t.00001.00003.00002.00007.00074,10287,10332,1518,1524,ref-sifre-n.00005.00001.00026,ref-sifre-n.00005.00001.00033,אף ממתנות גבילין ת'ל ראשית דגנך תירושך ויצהרך ,אף משמרה תלמוד לומר ראשית דגנך תירושך ויצהרך ,ref-sifre-n
