,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
24735,ref-t.1.1.1.1.1-ref-t.1.1.1.1.20,ref-y.1.1.1.1.1.1-ref-y.1.1.1.1.1.12,0,113,0,14,ref-t.00001.00001.00001.00001.00001,ref-t.00001.00001.00001.00001.00020,0,69,0,8,ref-y.00001.00001.00001.00001.00001.00001,ref-y.00001.00001.00001.00001.00001.00012,מאמתי קורין את שמע בערבין משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים ,מאימתי קורין את שמע בערבין כו'_אנן_תנינן משעה שהכהנים נכנסין לוכל ,ref-y
24736,ref-t.1.1.1.1.6-ref-t.1.1.1.1.19,ref-y.1.1.1.1.1.45-ref-y.1.1.1.1.1.54,28,104,4,13,ref-t.00001.00001.00001.00001.00006,ref-t.00001.00001.00001.00001.00019,247,298,38,45,ref-y.00001.00001.00001.00001.00001.00045,ref-y.00001.00001.00001.00001.00001.00054,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה ,משעה שדרך_בני_אדם נכנסין לאכול פתן בלילי שבת שעה ,ref-y
24737,ref-t.1.1.1.1.24-ref-t.1.1.1.1.41,ref-y.1.1.1.1.4.1-ref-y.1.1.1.1.4.23,130,235,18,30,ref-t.00001.00001.00001.00001.00024,ref-t.00001.00001.00001.00001.00041,980,1116,152,169,ref-y.00001.00001.00001.00001.00004.00001,ref-y.00001.00001.00001.00001.00004.00023,וסימן לדבר צאת הכוכבים אע'פ_שאין_ראיה_לדבר_זכר_לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,סימן לדבר משיצאו הכוכבים ואף_על_פי_שאין ראיה לדבר_זכר_לדבר ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבי' ,ref-y
24738,ref-t.1.1.1.1.52-ref-t.1.1.1.1.66,ref-y.1.1.1.1.29.194-ref-y.1.1.1.1.29.206,288,367,39,51,ref-t.00001.00001.00001.00001.00052,ref-t.00001.00001.00001.00001.00066,11760,11829,1857,1868,ref-y.00001.00001.00001.00001.00029.00194,ref-y.00001.00001.00001.00001.00029.00206,אחת עד שלא עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ,אחת לפני עמוד השחר ואחת לאחר עמוד השחר ונמיא ירצא ידי חובתו של יום ,ref-y
24739,ref-t.1.1.1.2.10-ref-t.1.1.1.2.27,ref-y.1.1.1.2.4.42-ref-y.1.1.1.2.4.64,643,738,96,112,ref-t.00001.00001.00001.00002.00010,ref-t.00001.00001.00001.00002.00027,15651,15778,2479,2500,ref-y.00001.00001.00001.00002.00004.00042,ref-y.00001.00001.00001.00002.00004.00064,חבירו רחוק ממנו ארבע אמות ומכירו מצותה עם הנץ החמה כדי שיהא סומך לה תפלה ונמצא מתפלל ביום ,רחוק מחבירו ארבע אמות ומכירו כמן דמר בין תכלת ללבן אבל אמרו מצותה עם הנץ החמה כדי שיסמוך גאולה לתפילה ונמצא מתפלל ביום ,ref-y
24740,ref-t.1.1.1.2.17-ref-t.1.1.1.2.46,ref-y.1.1.1.2.4.83-ref-y.1.1.1.2.5.23,683,827,102,124,ref-t.00001.00001.00001.00002.00017,ref-t.00001.00001.00001.00002.00046,15875,16028,2516,2538,ref-y.00001.00001.00001.00002.00004.00083,ref-y.00001.00001.00001.00002.00005.00023,עם הנץ החמה כדי שיהא סומך לה תפלה ונמצא מתפלל ביום אמ' ר' יהוד' פעם אחת הייתי מהלך אחר ר' עקיבא ואחר ר' אלעזר_בן_עזריה והגיע זמן קרית שמע ,שיסמכו לה תפילתן עם הנץ החמה תני_אמר_רבי_יודה מעשה שהייתי מהלך בדרך אחרי רבי_אלעזר_בן_עזריה ואחרי רבי עקיבה והיו עסוקין במצות והגיע עונת קרית שמע ,ref-y
24741,ref-t.1.1.1.2.56-ref-t.1.1.1.3.8,ref-y.1.1.1.2.5.18-ref-y.1.1.1.2.5.41,886,996,134,152,ref-t.00001.00001.00001.00002.00056,ref-t.00001.00001.00001.00003.00008,15994,16131,2533,2555,ref-y.00001.00001.00001.00002.00005.00018,ref-y.00001.00001.00001.00002.00005.00041,קריתי ושניתי ואחר כך התחילו הן וכבר נראת חמה על ראשי ההרים החתנים וכל העסוקין במצות פטורין מן קרית שמע ,עסוקין במצות והגיע עונת קרית שמע והייתי סבור שמא נתייאשו מקרית שמע וקריתי ושניתי ואחר כך התחילו הם וכבר היתה החמה על ראשי ההרים ,ref-y
24742,ref-t.1.1.1.3.12-ref-t.1.1.1.4.26,ref-y.1.1.1.2.8.342-ref-y.1.1.1.3.2.33,1013,1210,156,183,ref-t.00001.00001.00001.00003.00012,ref-t.00001.00001.00001.00004.00026,18631,18862,2917,2947,ref-y.00001.00001.00001.00002.00008.00342,ref-y.00001.00001.00001.00003.00002.00033,בשבתך בביתיך פרט לעסוקים במצות ובלכתך בדרך פרט לחתנים מעשה בר' ישמעאל ור' אלעזר_בן_עזריה שהיו שרויין במקום אחד והיה ר' ישמעאל מוטה ור' אלעזר_בן_עזריה זקוף הגיע זמן קרית שמע נזקף ר' ישמעאל ,בשבתך בביתך פרט לעוסקים במצות ובלכתך בדרך פרט לחתני' תני מעשה בר'_אלעזר_בן עזרי' ור' ישמעאל שהיו שרויין במקו' אחד והיה ר'_אלעזר_בן_עזריה מוטה ור' ישמעאל זקוף הגיע זמן עונת קרית שמע נזקף ר'_אלעזר_בן_עזריה והיטה רבי ישמעאל ,ref-y
24743,ref-t.1.1.1.4.49-ref-t.1.1.1.4.84,ref-y.1.1.1.3.2.44-ref-y.1.1.1.3.2.76,1303,1497,197,227,ref-t.00001.00001.00001.00004.00049,ref-t.00001.00001.00001.00004.00084,18906,19094,2956,2985,ref-y.00001.00001.00001.00003.00002.00044,ref-y.00001.00001.00001.00003.00002.00076,זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי אתה שהיית מוטה נזקפתה אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים בית הלל דבר אחר שלא יראו התלמידים ויעשו קבע ,"זקנך מגודל והוא אומר יהיה כנגד המשחיתים אני שהייתי מוטה נזקפתי ואת' שהיית זקוף הטית אמר לו אתה נזקפת כדברי_בית_שמאי ואני היטיתי כדברי ב""ה ר""א שלא יראוני התלמידים ויעשו הלכה קבע ",ref-y
24744,ref-t.1.1.1.5.2-ref-t.1.1.1.5.32,ref-y.1.1.1.4.3.116-ref-y.1.1.1.4.3.138,1520,1684,232,262,ref-t.00001.00001.00001.00005.00002,ref-t.00001.00001.00001.00005.00032,20835,20959,3266,3288,ref-y.00001.00001.00001.00004.00003.00116,ref-y.00001.00001.00001.00004.00003.00138,אחת קצרה מקום שאמרו להאריך אינו רשאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי לחתום לשוח אינו רשאי שלא לשוח ושלא לשוח אינו רשאי ,אחת ארוכה ואחת קצרה מקו' שאמרו להאריך אינו שאי לקצר לקצר אינו רשאי להאריך לחתום אינו רשאי שלא לחתום שלא לחתום אינו רשאי ,ref-y
