,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13704,ref-y.1.1.1.1.4.13-ref-y.1.1.1.1.4.30,ref-bible.0310.4.15.1-ref-bible.0310.4.16.16,1043,1162,159,176,ref-y.00001.00001.00001.00001.00004.00013,ref-y.00001.00001.00001.00001.00004.00030,1400443,1400603,240843,240869,ref-bible.00310.00004.00015.00001,ref-bible.00310.00004.00016.00016,ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבי' וכתיב והיה לנו הלילה למשמר והיום למלאכה ,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים גם בעת ההיא אמרתי לעם איש ונערו ילינו בתוך ירושלם והיו לנו הלילה משמר והיום מלאכה ,ref-bible
13705,ref-y.1.1.1.1.4.14-ref-y.1.1.1.1.4.18,ref-bible.0310.4.10.7-ref-bible.0310.4.10.11,1051,1088,160,164,ref-y.00001.00001.00001.00001.00004.00014,ref-y.00001.00001.00001.00001.00004.00018,1400049,1400085,240781,240785,ref-bible.00310.00004.00010.00007,ref-bible.00310.00004.00010.00011,עושים במלאכה וחציים מחזיקים ברמחים ,עשים במלאכה וחצים מחזיקים והרמחים ,ref-bible
13706,ref-y.1.1.1.1.15.32-ref-y.1.1.1.1.15.38,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,3942,3975,609,614,ref-y.00001.00001.00001.00001.00015.00032,ref-y.00001.00001.00001.00001.00015.00038,32001,32033,5613,5618,ref-bible.00101.00019.00023.00001,ref-bible.00101.00019.00023.00007,השמש יצא על הארץ ולוט בא צוערה ,השמש יצא על הארץ ולוט בא צערה ,ref-bible
13707,ref-y.1.1.1.1.18.19-ref-y.1.1.1.1.18.27,ref-bible.0301.103.21.1-ref-bible.0301.103.22.4,4906,4948,761,768,ref-y.00001.00001.00001.00001.00018.00019,ref-y.00001.00001.00001.00001.00018.00027,1223967,1224021,208312,208322,ref-bible.00301.00103.00021.00001,ref-bible.00301.00103.00022.00004,ברכו את כל צבאיו בשלישית ברכו ה' כל מעשיו ,ברכו יהוה כל צבאיו משרתיו עשי רצונו ברכו יהוה כל מעשיו ,ref-bible
13708,ref-y.1.1.1.1.18.33-ref-y.1.1.1.1.18.53,ref-bible.0301.134.1.1-ref-bible.0301.134.3.3,4982,5090,773,792,ref-y.00001.00001.00001.00001.00018.00033,ref-y.00001.00001.00001.00001.00018.00053,1246257,1246371,212346,212363,ref-bible.00301.00134.00001.00001,ref-bible.00301.00134.00003.00003,שיר המעלות הנה ברכו את ה' כל עבדי ה' העומדים בבית ה' בלילות בשנייה שאו ידיכם קדש שלישית יברכך ה' מציון ,שיר המעלות הנה ברכו_את_יהוה כל עבדי יהוה העמדים בבית יהוה בלילות שאו ידכם קדש וברכו_את_יהוה יברכך יהוה מציון ,ref-bible
13709,ref-y.1.1.1.1.19.34-ref-y.1.1.1.1.19.40,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,5335,5368,832,837,ref-y.00001.00001.00001.00001.00019.00034,ref-y.00001.00001.00001.00001.00019.00040,32001,32033,5613,5618,ref-bible.00101.00019.00023.00001,ref-bible.00101.00019.00023.00007,השמש יצא על הארץ ולוט בא צוערה ,השמש יצא על הארץ ולוט בא צערה ,ref-bible
13710,ref-y.1.1.1.1.20.84-ref-y.1.1.1.1.20.95,ref-bible.0308.6.10.3-ref-bible.0308.6.10.18,5966,6030,930,939,ref-y.00001.00001.00001.00001.00020.00084,ref-y.00001.00001.00001.00001.00020.00095,1365256,1365343,234787,234801,ref-bible.00308.00006.00010.00003,ref-bible.00308.00006.00010.00018,ומרדכי יושב בשער המלך ואחר כך ויקח המן את הלבוש ואת הסוס ,להמן מהר קח את הלבוש ואת הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך ,ref-bible
13711,ref-y.1.1.1.1.20.84-ref-y.1.1.1.1.20.100,ref-bible.0308.6.12.1-ref-bible.0308.6.12.6,5966,6054,930,943,ref-y.00001.00001.00001.00001.00020.00084,ref-y.00001.00001.00001.00001.00020.00100,1365488,1365518,234827,234832,ref-bible.00308.00006.00012.00001,ref-bible.00308.00006.00012.00006,ומרדכי יושב בשער המלך ואחר כך ויקח המן את הלבוש ואת הסוס ואחר כך וישב מרדבי אל ,וישב מרדכי אל שער המלך והמן ,ref-bible
13712,ref-y.1.1.1.1.20.105-ref-y.1.1.1.1.20.110,ref-bible.0308.8.15.1-ref-bible.0308.8.15.6,6074,6111,947,952,ref-y.00001.00001.00001.00001.00020.00105,ref-y.00001.00001.00001.00001.00020.00110,1368464,1368501,235335,235340,ref-bible.00308.00008.00015.00001,ref-bible.00308.00008.00015.00006,ומרדכי יצא מלפני המלך בלבוש מלכות ,ומרדכי יצא מלפני המלך בלבוש מלכות ,ref-bible
13713,ref-y.1.1.1.1.21.66-ref-y.1.1.1.1.21.73,ref-bible.0302.8.27.2-ref-bible.0302.8.27.9,6484,6524,1017,1023,ref-y.00001.00001.00001.00001.00021.00066,ref-y.00001.00001.00001.00001.00021.00073,1264469,1264503,215659,215665,ref-bible.00302.00008.00027.00002,ref-bible.00302.00008.00027.00009,שמים יתהלך וכתיב בחוקו חוג על פני תהום ,שמים שם אני בחוקו חוג על פני תהום ,ref-bible
