,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
16348,ref-y.1.1.1.1.1.1-ref-y.1.1.1.1.1.13,ref-m.01.01.1.1.1-ref-m.01.01.1.1.10,0,78,0,9,ref-y.00001.00001.00001.00001.00001.00001,ref-y.00001.00001.00001.00001.00001.00013,0,65,0,8,ref-m.00001.00001.00001.00001.00001,ref-m.00001.00001.00001.00001.00010,מאימתי קורין את שמע בערבין כו'_אנן_תנינן משעה שהכהנים נכנסין לוכל בתרומתן ,מאימתי קורין את שמע בערבית משעה שהכהנים נכנסים לאכול בתרומתן ,ref-m
16349,ref-y.1.1.1.1.6.9-ref-y.1.1.1.1.6.25,ref-m.05.07.5.5.37-ref-m.05.07.5.5.56,1376,1461,214,228,ref-y.00001.00001.00001.00001.00006.00009,ref-y.00001.00001.00001.00001.00006.00025,758256,758356,118182,118191,ref-m.00005.00007.00005.00005.00037,ref-m.00005.00007.00005.00005.00056,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,מביא_אשם_תלוי דברי_רבי_עקיבא_רבי_שמעון_אומר שניהם מביאים חטאת אחת רבי_יוסי_אומר_אין שנים מביאים חטאת ,ref-m
16350,ref-y.1.1.1.1.14.58-ref-y.1.1.1.1.14.89,ref-m.06.09.1.5.46-ref-m.06.09.1.6.32,3389,3580,525,555,ref-y.00001.00001.00001.00001.00014.00058,ref-y.00001.00001.00001.00001.00014.00089,1006151,1006347,156792,156823,ref-m.00006.00009.00001.00005.00046,ref-m.00006.00009.00001.00006.00032,כד תנינן תמן ראה אחת ביום ואחת בין השמשות ואחת למחר אם יודע שמקצת הראייה מהיום ומקצתה למחר ודאי לטומאה ולקרבן ואם ספק שמקצת הראיה מהיום ומקצתה למחר ודאי לטומאה וספק לקרבן ,כדי שלש ראה אחת היום ואחת בין השמשות אחת בין השמשות ואחת למחר אם ידוע שמקצת הראיה מהיום ומקצתה למחר ודאי לקרבן ולטומאה אם ספק שמקצת הראיה מהיום ומקצתה למחר ודאי לטומאה וספק לקרבן ,ref-m
16351,ref-y.1.1.1.1.31.1-ref-y.1.1.1.1.31.22,ref-m.01.01.1.1.26-ref-m.01.01.1.1.49,12026,12130,1900,1916,ref-y.00001.00001.00001.00001.00031.00001,ref-y.00001.00001.00001.00001.00031.00022,148,264,17,35,ref-m.00001.00001.00001.00001.00026,ref-m.00001.00001.00001.00001.00049,מעשה שבאו בניו מבית המשתה אמרו_לו_לא קרינו את שמע מתני' אמר_להן_אם לא עלה עמוד השחר חייבין אתם לקרות ,שיעלה עמוד השחר מעשה שבאו בניו מבית המשתה אמרו_לו_לא קרינו את שמע אמר להם אם לא עלה עמוד השחר חייבין אתם לקרות ,ref-m
16352,ref-y.1.1.1.1.33.15-ref-y.1.1.1.1.33.28,ref-m.06.02.2.6.1-ref-m.06.02.2.6.14,12747,12826,2012,2025,ref-y.00001.00001.00001.00001.00033.00015,ref-y.00001.00001.00001.00001.00033.00028,859240,859329,134171,134184,ref-m.00006.00002.00002.00006.00001,ref-m.00006.00002.00002.00006.00014,השדרה והגולגולת מב' מתים רביעית דם מב' מתים ורובע עצמו' מב' מתי' אבר מן המת ,השדרה והגולגולת משני מתים ורביעית דם משני מתים ורובע עצמות משני מתים ואבר מן המת ,ref-m
16353,ref-y.1.1.1.1.34.20-ref-y.1.1.1.1.34.33,ref-m.01.05.9.1.39-ref-m.01.05.9.1.52,13288,13374,2099,2110,ref-y.00001.00001.00001.00001.00034.00020,ref-y.00001.00001.00001.00001.00034.00033,64613,64699,10046,10057,ref-m.00001.00005.00009.00001.00039,ref-m.00001.00005.00009.00001.00052,מותרין חוץ מספיחי כרוב שאין כיוצא בהן בירקות שדה וחכמים_אומרים_כל הספחין אסורין ,מותרין חוץ מספיחי כרוב שאין כיוצא בהם בירקות שדה וחכמים_אומרים_כל הספיחין אסורין ,ref-m
16354,ref-y.1.1.1.1.35.44-ref-y.1.1.1.1.35.64,ref-m.01.01.1.1.46-ref-m.01.01.1.1.69,13810,13919,2181,2200,ref-y.00001.00001.00001.00001.00035.00044,ref-y.00001.00001.00001.00001.00035.00064,242,363,32,54,ref-m.00001.00001.00001.00001.00046,ref-m.00001.00001.00001.00001.00069,ולא זו בלבד אלא כל שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד ,השחר חייבין אתם לקרות ולא זו בלבד אלא כל מה שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד ,ref-m
16355,ref-y.1.1.1.1.35.49-ref-y.1.1.1.1.35.57,ref-m.01.01.1.1.72-ref-m.01.01.1.1.88,13830,13876,2185,2193,ref-y.00001.00001.00001.00001.00035.00049,ref-y.00001.00001.00001.00001.00035.00057,376,461,57,71,ref-m.00001.00001.00001.00001.00072,ref-m.00001.00001.00001.00001.00088,שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר ,השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות ,ref-m
16356,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-m.04.10.1.4.38-ref-m.04.10.1.4.47,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,623571,623620,97182,97191,ref-m.00004.00010.00001.00004.00038,ref-m.00004.00010.00001.00004.00047,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,שנאמר כאן עדה ונאמר להלן עדה מה עדה האמור להלן ,ref-m
16357,ref-y.1.1.1.1.35.124-ref-y.1.1.1.1.35.162,ref-m.01.01.1.1.56-ref-m.01.01.1.1.93,14229,14419,2253,2284,ref-y.00001.00001.00001.00001.00035.00124,ref-y.00001.00001.00001.00001.00035.00162,288,487,41,76,ref-m.00001.00001.00001.00001.00056,ref-m.00001.00001.00001.00001.00093,כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה כל הנאכלין ליום אחד קדשים קלים ואם_כן_למה אמרו חכמים וכו' אם את הוא אומר עד ושיעלה ,שאמרו חכמים עד חצות מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,ref-m
