,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
21904,ref-y.1.1.1.1.2.42-ref-y.1.1.1.1.2.53,ref-mek.1.17.2.123-ref-mek.1.17.2.129,646,709,94,104,ref-y.00001.00001.00001.00001.00002.00042,ref-y.00001.00001.00001.00001.00002.00053,66086,66130,10402,10408,ref-mek.00001.00017.00002.00123,ref-mek.00001.00017.00002.00129,בירך על מזונו ספק לא בירך צריך לברך דכתיב ואכלת ושבעת וברכת ,מברכים על המזון שנאמר ואכלת ושבעת וברכת ,ref-mek
21905,ref-y.1.1.1.1.15.68-ref-y.1.1.1.1.15.82,ref-mek.1.7.5.133-ref-mek.1.7.5.147,4141,4209,640,649,ref-y.00001.00001.00001.00001.00015.00068,ref-y.00001.00001.00001.00001.00015.00082,23747,23814,3789,3799,ref-mek.00001.00007.00005.00133,ref-mek.00001.00007.00005.00147,בבקר בבוקר כדי ליתן תחום לבוקרו של בוקר אמר_רבי_יוסי_בי_ר'_בון אם ,בקר בא הכתוב ליתן תחום לבקרו של בקר ר'_יצחק_אומר_אינו_צריך ומה אם ,ref-mek
21906,ref-y.1.1.1.1.15.71-ref-y.1.1.1.1.15.83,ref-mek.1.7.5.34-ref-mek.1.7.5.42,4158,4214,643,650,ref-y.00001.00001.00001.00001.00015.00071,ref-y.00001.00001.00001.00001.00015.00083,23289,23331,3728,3734,ref-mek.00001.00007.00005.00034,ref-mek.00001.00007.00005.00042,ליתן תחום לבוקרו של בוקר אמר_רבי_יוסי_בי_ר'_בון אם אומר ,נאמר אלא_בא_הכתוב ליתן תחום לבוקרו של בקר ,ref-mek
21907,ref-y.1.1.1.1.24.111-ref-y.1.1.1.1.24.116,ref-mek.1.1.1.174-ref-mek.1.1.1.179,8145,8175,1284,1289,ref-y.00001.00001.00001.00001.00024.00111,ref-y.00001.00001.00001.00001.00024.00116,853,883,125,130,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-mek
21908,ref-y.1.1.1.1.35.49-ref-y.1.1.1.1.35.79,ref-mek.1.7.2.52-ref-mek.1.7.2.77,13830,13998,2185,2215,ref-y.00001.00001.00001.00001.00035.00049,ref-y.00001.00001.00001.00001.00035.00079,20924,21070,3347,3372,ref-mek.00001.00007.00002.00052,ref-mek.00001.00007.00002.00077,שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר אנן תנינן אכילת פסחים אית דלא תני אכילת פסחים מאן תנא אכילת ,אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות ,ref-mek
21909,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-mek.1.18.4.282-ref-mek.1.18.4.294,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,76979,77049,12046,12058,ref-mek.00001.00018.00004.00282,ref-mek.00001.00018.00004.00294,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן מימים ימימה ונאמר להלן ימים תהיה גאולתו מה ימים האמור להלן ,ref-mek
21910,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-mek.1.19.3.133-ref-mek.1.19.3.144,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,79793,79852,12521,12531,ref-mek.00001.00019.00003.00133,ref-mek.00001.00019.00003.00144,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן עריפה ונאמר להלן עריפה מה להלן אסור בהנאה אף כאן ,ref-mek
21911,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-mek.3.5.2.133-ref-mek.3.5.2.143,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,155244,155291,25259,25269,ref-mek.00003.00005.00002.00133,ref-mek.00003.00005.00002.00143,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן מטר ונאמר להלן מטר מה להלן מטר אף כאן ,ref-mek
21912,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-mek.5.3.2.18-ref-mek.5.3.2.30,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,220672,220733,36268,36280,ref-mek.00005.00003.00002.00018,ref-mek.00005.00003.00002.00030,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן שלוח ונאמר להלן שילוח מה שלוח האמור להלן גט אף כאן ,ref-mek
21913,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-mek.7.1.2.114-ref-mek.7.1.2.128,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,285420,285495,46810,46822,ref-mek.00007.00001.00002.00114,ref-mek.00007.00001.00002.00128,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן עברי ונאמר להלן עברי מה עברי האמור להלן בבן ישראל_הכתוב_מדבר אף ,ref-mek
