,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
23041,ref-y.1.1.1.1.6.9-ref-y.1.1.1.1.6.25,ref-sifra.3.04-00.13.8-ref-sifra.3.04-00.13.23,1376,1461,214,228,ref-y.00001.00001.00001.00001.00006.00009,ref-y.00001.00001.00001.00001.00006.00025,104620,104699,15129,15142,ref-sifra.00003.04-00.00013.00008,ref-sifra.00003.04-00.00013.00023,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,שני פרים חטאו שלשה מביאין שלשה או_אינו_אלא חטאו שני יחידים מביאין שני פרים חטאו ,ref-sifra
23042,ref-y.1.1.1.1.24.96-ref-y.1.1.1.1.24.103,ref-sifra.14.01-03.1.25-ref-sifra.14.01-03.1.32,8060,8098,1269,1276,ref-y.00001.00001.00001.00001.00024.00096,ref-y.00001.00001.00001.00001.00024.00103,651241,651285,99066,99073,ref-sifra.00014.01-03.00001.00025,ref-sifra.00014.01-03.00001.00032,יוצא חודש נכנס חודש יוצא' שנה נכנס שנה ,וישן מפני חדש תוציאו וישן מפני חדש תוציאו ש,ref-sifra
23043,ref-y.1.1.1.1.33.87-ref-y.1.1.1.1.34.1,ref-sifra.9.01-00.2.55-ref-sifra.9.01-00.2.64,13142,13192,2080,2087,ref-y.00001.00001.00001.00001.00033.00087,ref-y.00001.00001.00001.00001.00034.00001,395941,396007,60107,60116,ref-sifra.00009.01-00.00002.00055,ref-sifra.00009.01-00.00002.00064,וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור והן ,בכהן תאמר בזבים שטומאתם וטהרתם בכל אדם הואיל וטומאתם וטהרתם ,ref-sifra
23044,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.2.04-00.4.41-ref-sifra.2.04-00.4.50,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,24790,24847,3732,3741,ref-sifra.00002.04-00.00004.00041,ref-sifra.00002.04-00.00004.00050,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,ref-sifra
23045,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.3.03-00.5.2-ref-sifra.3.03-00.5.14,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,98077,98147,14096,14108,ref-sifra.00003.03-00.00005.00002,ref-sifra.00003.03-00.00005.00014,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,ref-sifra
23046,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.3.03-00.8.11-ref-sifra.3.03-00.8.20,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,98592,98644,14180,14189,ref-sifra.00003.03-00.00008.00011,ref-sifra.00003.03-00.00008.00020,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,ref-sifra
23047,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.3.04-00.15.17-ref-sifra.3.04-00.15.30,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,105050,105112,15199,15210,ref-sifra.00003.04-00.00015.00017,ref-sifra.00003.04-00.00015.00030,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,שנאמר כאן קהל ונאמר להלן קהל מה קהל אמור להלן בית_דין_אף כאן ,ref-sifra
23048,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.3.04-00.16.16-ref-sifra.3.04-00.16.29,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,105196,105258,15224,15235,ref-sifra.00003.04-00.00016.00016,ref-sifra.00003.04-00.00016.00029,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,שנאמר כאן קהל ולהלן נאמר קהל מה קהל אמור להלן בית_דין_אף כאן ,ref-sifra
23049,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.3.04-06.4.7-ref-sifra.3.04-06.4.22,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,105890,105971,15332,15347,ref-sifra.00003.04-06.00004.00007,ref-sifra.00003.04-06.00004.00022,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן פני פרוכת' ונאמר להלן פני פרוכת' מה פני פרוכת' אמור להלן פרוכת הקדש אף ,ref-sifra
23050,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.3.10-00.1.17-ref-sifra.3.10-00.1.26,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,136694,136747,19613,19622,ref-sifra.00003.10-00.00001.00017,ref-sifra.00003.10-00.00001.00026,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן וידוי ונאמר להלן וידוי מה וידוי האמור להלן ,ref-sifra
23051,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.3.10-00.2.5-ref-sifra.3.10-00.2.17,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,136816,136882,19637,19649,ref-sifra.00003.10-00.00002.00005,ref-sifra.00003.10-00.00002.00017,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן עליה ונאמר להלן עליה' מה עליה' האמור להלן טעון סמיכה אף ,ref-sifra
23052,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.3.10-00.3.7-ref-sifra.3.10-00.3.19,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,136943,137007,19660,19672,ref-sifra.00003.10-00.00003.00007,ref-sifra.00003.10-00.00003.00019,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן אשמו ונאמר להלן אשמו' מה אשמו' אמור להלן מותרו נדבה אף ,ref-sifra
23053,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.4.04-08.4.31-ref-sifra.4.04-08.4.43,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,185524,185592,26802,26814,ref-sifra.00004.04-08.00004.00031,ref-sifra.00004.04-08.00004.00043,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן וכפר' ונאמר להלן וכפר' מה וכפר' האמור להלן שלא כפר אף ,ref-sifra
23054,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.5.1.11.7-ref-sifra.5.1.11.19,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,240024,240091,35176,35188,ref-sifra.00005.00001.00011.00007,ref-sifra.00005.00001.00011.00019,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן מלוי' ונאמר להלן מילוי' מה מילוי האמור להלן מלא קומצו אף ,ref-sifra
23055,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.7.05-14.9.18-ref-sifra.7.05-14.9.27,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,360387,360434,54221,54230,ref-sifra.00007.05-14.00009.00018,ref-sifra.00007.05-14.00009.00027,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן ,ref-sifra
23056,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.8.06-00.9.21-ref-sifra.8.06-00.9.30,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,386222,386269,58583,58592,ref-sifra.00008.06-00.00009.00021,ref-sifra.00008.06-00.00009.00030,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן ,ref-sifra
23057,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.8.07-00.1.33-ref-sifra.8.07-00.1.45,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,388177,388238,58921,58933,ref-sifra.00008.07-00.00001.00033,ref-sifra.00008.07-00.00001.00045,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן נגע ונאמר להלן נגע מה נגע האמור להלן כב' גריסין אף ,ref-sifra
23058,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.10.02-03.11.16-ref-sifra.10.02-03.11.25,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,436783,436836,66495,66504,ref-sifra.00010.02-03.00011.00016,ref-sifra.00010.02-03.00011.00025,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו האמור להלן ,ref-sifra
23059,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifra.10.05-07.4.5-ref-sifra.10.05-07.4.19,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,451584,451667,68840,68853,ref-sifra.00010.05-07.00004.00005,ref-sifra.00010.05-07.00004.00019,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן תענו את נפשותיכם ונאמר להלן ויענך וירעיבך מה עינוי האמור להלן רעבון אף ,ref-sifra
23060,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.11.02-05.6.11-ref-sifra.11.02-05.6.26,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,497925,497999,75974,75989,ref-sifra.00011.02-05.00006.00011,ref-sifra.00011.02-05.00006.00026,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן איל אשם ונאמר להלן איל אשם מה איל האמור להלן בכסף שקלים אף כאן ,ref-sifra
23061,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.11.04-10.13.19-ref-sifra.11.04-10.13.28,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,517825,517876,79025,79034,ref-sifra.00011.04-10.00013.00019,ref-sifra.00011.04-10.00013.00028,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,אומר כאן זימה ונאמר להלן זימה מה זימה האמורה להלן ,ref-sifra
23062,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.11.04-11.1.31-ref-sifra.11.04-11.1.43,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,518626,518693,79150,79162,ref-sifra.00011.04-11.00001.00031,ref-sifra.00011.04-11.00001.00043,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן הריגה ונאמר להלן הריגה מה הריגה האמורה להלן סקילה אף כאן ,ref-sifra
23063,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.11.04-12.6.134-ref-sifra.11.04-12.6.143,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,524804,524854,80100,80109,ref-sifra.00011.04-12.00006.00134,ref-sifra.00011.04-12.00006.00143,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן דודו ונאמר להלן דודו מה דודו שנאמר להלן ,ref-sifra
23064,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifra.11.04-12.10.28-ref-sifra.11.04-12.10.37,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,525997,526047,80292,80301,ref-sifra.00011.04-12.00010.00028,ref-sifra.00011.04-12.00010.00037,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן עליה ונאמר להלן עליה מה עליה שנאמר להלן ,ref-sifra
23065,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifra.12.04-00.2.6-ref-sifra.12.04-00.2.18,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,546531,546595,83382,83394,ref-sifra.00012.04-00.00002.00006,ref-sifra.00012.04-00.00002.00018,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן חילול ונאמר להלן חילול מה חילול שנאמר להלן זמן אף כאן ,ref-sifra
