,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
28548,ref-y.1.1.1.1.18.33-ref-y.1.1.1.1.18.44,ref-sifre-n.39.1.115-ref-sifre-n.39.1.121,4982,5037,773,783,ref-y.00001.00001.00001.00001.00018.00033,ref-y.00001.00001.00001.00001.00018.00044,62931,62965,9077,9083,ref-sifre-n.00039.00001.00115,ref-sifre-n.00039.00001.00121,שיר המעלות הנה ברכו את ה' כל עבדי ה' העומדים בבית ה' ,לשרתו ולברך בשם ה' לעמוד לפני ה' ,ref-sifre-n
28549,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifre-n.10.1.196-ref-sifre-n.10.1.206,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,21732,21784,3276,3286,ref-sifre-n.00010.00001.00196,ref-sifre-n.00010.00001.00206,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן כאן ,ref-sifre-n
28550,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.12.1.11-ref-sifre-n.12.1.20,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,23299,23353,3543,3552,ref-sifre-n.00012.00001.00011,ref-sifre-n.00012.00001.00020,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן שבועה ונאמר להלן שבועה מה שבועה האמורה להלן ,ref-sifre-n
28551,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.16.1.18-ref-sifre-n.16.1.27,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,27032,27085,4122,4131,ref-sifre-n.00016.00001.00018,ref-sifre-n.00016.00001.00027,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן וכתב ונאמר להלן וכתב מה וכתב האמור להלן ,ref-sifre-n
28552,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,42856,42966,6423,6434,ref-sifre-n.00025.00001.00643,ref-sifre-n.00025.00001.00664,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה_בו_ימים_שלאחר_נזירות_כימים_שבתוך_נזירות_עד_הבאת_קרבן אף ,ref-sifre-n
28553,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.26.1.407-ref-sifre-n.26.1.416,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,45337,45384,6786,6795,ref-sifre-n.00026.00001.00407,ref-sifre-n.00026.00001.00416,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן ,ref-sifre-n
28554,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifre-n.29.1.150-ref-sifre-n.29.1.165,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,48822,48907,7299,7310,ref-sifre-n.00029.00001.00150,ref-sifre-n.00029.00001.00165,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן שמיני ונאמר להלן שמיני מה שמיני האמור להלן הכשיר_בו_שמיני_ומשמיני_והלאה אף ,ref-sifre-n
28555,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.30.1.833-ref-sifre-n.30.1.842,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,53469,53519,7814,7823,ref-sifre-n.00030.00001.00833,ref-sifre-n.00030.00001.00842,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,ref-sifre-n
28556,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.31.3.323-ref-sifre-n.31.3.332,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,57211,57261,8173,8182,ref-sifre-n.00031.00003.00323,ref-sifre-n.00031.00003.00332,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,ref-sifre-n
28557,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifre-n.39.1.88-ref-sifre-n.39.1.99,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,62788,62850,9054,9065,ref-sifre-n.00039.00001.00088,ref-sifre-n.00039.00001.00099,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ,ref-sifre-n
28558,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.73.2.58-ref-sifre-n.73.2.67,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,98021,98075,14763,14772,ref-sifre-n.00073.00002.00058,ref-sifre-n.00073.00002.00067,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן ,ref-sifre-n
28559,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.73.2.136-ref-sifre-n.73.2.145,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,98432,98486,14832,14841,ref-sifre-n.00073.00002.00136,ref-sifre-n.00073.00002.00145,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן ,ref-sifre-n
28560,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.102,ref-sifre-n.75.1.39-ref-sifre-n.75.1.48,14071,14121,2226,2235,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00102,99689,99742,15030,15039,ref-sifre-n.00075.00001.00039,ref-sifre-n.00075.00001.00048,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן ,ref-sifre-n
28561,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.104,ref-sifre-n.113.1.59-ref-sifre-n.113.1.70,14071,14129,2226,2237,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00104,167764,167823,26423,26434,ref-sifre-n.00113.00001.00059,ref-sifre-n.00113.00001.00070,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן מדבר ונאמר להלן מדבר מה מדבר האמור להלן צלפחד אף ,ref-sifre-n
28562,ref-y.1.1.1.1.35.93-ref-y.1.1.1.1.35.105,ref-sifre-n.121.1.383-ref-sifre-n.121.1.396,14071,14133,2226,2238,ref-y.00001.00001.00001.00001.00035.00093,ref-y.00001.00001.00001.00001.00035.00105,203554,203619,32207,32220,ref-sifre-n.00121.00001.00383,ref-sifre-n.00121.00001.00396,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן מלאה ונאמר להלן דברים כב מלאה מה להלן שהיא עולה אף כאן ,ref-sifre-n
