,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6066,ref-b.1.01.2b.402-ref-b.1.01.2b.407,ref-mek.3.10.1.242-ref-mek.3.10.1.246,3370,3404,489,494,ref-b.00001.00001.0002b.00402,ref-b.00001.00001.0002b.00407,175060,175086,28535,28539,ref-mek.00003.00010.00001.00242,ref-mek.00003.00010.00001.00246,שנאמר ה' ממרום ישאג וממעון קדשו ,שנאמר ה' ממרום ישאג מקדש ,ref-mek
6067,ref-b.1.01.3b.93-ref-b.1.01.3b.100,ref-mek.1.14.2.5-ref-mek.1.14.2.12,6014,6053,910,917,ref-b.00001.00001.0003b.00093,ref-b.00001.00001.0003b.00100,48728,48769,7557,7564,ref-mek.00001.00014.00002.00005,ref-mek.00001.00014.00002.00012,שלש שעות שכן דרך מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,ref-mek
6068,ref-b.1.01.4a.299-ref-b.1.01.4a.309,ref-mek.5.2.1.1001-ref-mek.5.2.1.1012,9649,9708,1475,1485,ref-b.00001.00001.0004a.00299,ref-b.00001.00001.0004a.00309,215902,215971,35327,35338,ref-mek.00005.00002.00001.01001,ref-mek.00005.00002.00001.01012,והנה אנכי עמך ושמרתיך בכל אשר תלך וכתיב ויירא יעקב מאד ,והנה אנכי עמך ושמרתיך והוא היה מפחד ויירא שנאמר ויירא יעקב מאד ,ref-mek
6069,ref-b.1.01.4a.315-ref-b.1.01.4a.336,ref-mek.3.9.5.137-ref-mek.3.9.5.144,9737,9826,1491,1508,ref-b.00001.00001.0004a.00315,ref-b.00001.00001.0004a.00336,173330,173360,28237,28244,ref-mek.00003.00009.00005.00137,ref-mek.00003.00009.00005.00144,עד יעבור עמך ה' עד יעבור עם_זו_קנית עד יעבור עמך ה' זו ביאה ראשונה עד יעבור עם_זו_קנית זו ,עד יעבור עמך ה' עד יעבור עם זו ,ref-mek
6070,ref-b.1.01.4a.390-ref-b.1.01.4b.5,ref-mek.1.7.2.75-ref-mek.1.7.2.87,10119,10193,1549,1561,ref-b.00001.00001.0004a.00390,ref-b.00001.00001.0004b.00005,21106,21176,3376,3388,ref-mek.00001.00007.00002.00075,ref-mek.00001.00007.00002.00087,אמרי עד חצות כדי להרחיק את האדם מן העבירה כדתניא חכמים עשו סייג לדבריהם ,אמרו עד חצות כדי להרחיק אדם מן העבירה ולעשות סייג לתורה ולקיים דברי ,ref-mek
6071,ref-b.1.01.5a.112-ref-b.1.01.5a.118,ref-mek.2.2.7.58-ref-mek.2.2.7.65,13417,13460,2050,2056,ref-b.00001.00001.0005a.00112,ref-b.00001.00001.0005a.00118,102262,102309,16228,16235,ref-mek.00002.00002.00007.00058,ref-mek.00002.00002.00007.00065,שנאמר רוממות אל בגרונם וחרב פיפיות בידם ,שנאמר רוממות אל בגרונם במקום חרב פיפיות בידם ,ref-mek
6072,ref-b.1.01.5a.130-ref-b.1.01.5a.140,ref-mek.1.15.1.186-ref-mek.1.15.1.194,13518,13585,2062,2072,ref-b.00001.00001.0005a.00130,ref-b.00001.00001.0005a.00140,53435,53489,8322,8330,ref-mek.00001.00015.00001.00186,ref-mek.00001.00015.00001.00194,יעלזו חסידים בכבוד ירננו על משכבותם וכתיב בתריה רוממות אל בגרונם ,יעלזו חסידים בכבוד ירננו על משכבותם רוממות אל בגרונם ,ref-mek
6073,ref-b.1.01.5a.138-ref-b.1.01.5a.143,ref-mek.2.2.7.59-ref-mek.2.2.7.65,13568,13604,2070,2075,ref-b.00001.00001.0005a.00138,ref-b.00001.00001.0005a.00143,102269,102309,16229,16235,ref-mek.00002.00002.00007.00059,ref-mek.00002.00002.00007.00065,רוממות אל בגרונם וחרב פיפיות בידם ,רוממות אל בגרונם במקום חרב פיפיות בידם ,ref-mek
6074,ref-b.1.01.5a.238-ref-b.1.01.5a.254,ref-mek.4.1.5.52-ref-mek.4.1.5.75,14105,14192,2148,2162,ref-b.00001.00001.0005a.00238,ref-b.00001.00001.0005a.00254,183169,183286,29900,29921,ref-mek.00004.00001.00005.00052,ref-mek.00004.00001.00005.00075,והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים לא אשים עליך כי_אני_ה' רופאך ,והאזנת למצותיו אלו גזרות ושמרת כל חקיו אלו הלכות כל המחלה אשר שמתי במצרים לא אשים עליך הא אם אשים כי_אני_ה' רפאך ,ref-mek
6075,ref-b.1.01.5a.238-ref-b.1.01.5a.247,ref-mek.4.1.5.142-ref-mek.4.1.5.155,14105,14163,2148,2157,ref-b.00001.00001.0005a.00238,ref-b.00001.00001.0005a.00247,183646,183725,29979,29992,ref-mek.00004.00001.00005.00142,ref-mek.00004.00001.00005.00155,והאזנת למצותיו ושמרת כל חקיו כל המחלה אשר שמתי במצרים ,והאזנת למצותיו אלו הלכות ושמרת כל חוקיו אלו עריות כל המחלה אשר שמתי במצרים ,ref-mek
6076,ref-b.1.01.5a.361-ref-b.1.01.5a.366,ref-mek.6.10.1.296-ref-mek.6.10.1.302,14739,14770,2233,2238,ref-b.00001.00001.0005a.00361,ref-b.00001.00001.0005a.00366,278520,278554,45603,45609,ref-mek.00006.00010.00001.00296,ref-mek.00006.00010.00001.00302,שנאמר אשרי הגבר אשר תיסרנו יה ,אמרי בינה אשרי הגבר אשר תיסרנו יה ,ref-mek
6077,ref-b.1.01.5a.462-ref-b.1.01.5a.467,ref-mek.6.10.1.296-ref-mek.6.10.1.302,15230,15261,2309,2314,ref-b.00001.00001.0005a.00462,ref-b.00001.00001.0005a.00467,278520,278554,45603,45609,ref-mek.00006.00010.00001.00296,ref-mek.00006.00010.00001.00302,שנאמר אשרי הגבר אשר תיסרנו יה ,אמרי בינה אשרי הגבר אשר תיסרנו יה ,ref-mek
6078,ref-b.1.01.5a.612-ref-b.1.01.5a.663,ref-mek.6.10.1.255-ref-mek.6.10.1.306,15987,16254,2421,2463,ref-b.00001.00001.0005a.00612,ref-b.00001.00001.0005a.00663,278289,278575,45568,45612,ref-mek.00006.00010.00001.00255,ref-mek.00006.00010.00001.00306,"שלש מתנות טובות נתן הקדוש_ברוך_הוא לישראל וכולן לא נתנן אלא ע""י יסורין אלו הן תורה וארץ ישראל והעולם הבא תורה מנין שנאמר אשרי הגבר אשר תיסרנו יה ומתורתך תלמדנו ארץ ישראל דכתיב כי כאשר ייסר איש את בנו ה' אלהיך מיסרך וכתיב בתריה כי_ה'_אלהיך מביאך אל ארץ טובה ",מייסרך כי ה' אלהיך מביאך אל ארץ טובה ר'_שמעון_בן_יוחאי_אומר חביבים יסורים ששלש מתנות טובות ניתנו לישראל ואומות העולם מתאווין להם ולא ניתנו להם בייסורין ואלו הן תורה וארץ ישראל ועולם הבא תורה דכתיב לדעת חכמה ומוסר להבין אמרי בינה אשרי הגבר אשר תיסרנו יה ארץ ישראל מנין דכתיב ,ref-mek
