,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
18641,ref-b.1.01.2a.123-ref-b.1.01.2a.127,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.7.18,686,712,104,108,ref-b.00001.00001.0002a.00123,ref-b.00001.00001.0002a.00127,552230,552259,84011,84016,ref-sifra.00012.04-04.00007.00013,ref-sifra.00012.04-04.00007.00018,ובא השמש וטהר ביאת שמשו ,ובא השמש וטהר מה ביאת שמשו ,ref-sifra
18642,ref-b.1.01.2a.123-ref-b.1.01.2a.141,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.8.12,686,804,104,122,ref-b.00001.00001.0002a.00123,ref-b.00001.00001.0002a.00141,552230,552367,84011,84034,ref-sifra.00012.04-04.00007.00013,ref-sifra.00012.04-04.00008.00012,ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול בתרומה וממאי דהאי ובא השמש ביאת השמש ,ובא השמש וטהר מה ביאת שמשו כולו כאחת אף במים כולו כאחת ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול ,ref-sifra
18643,ref-b.1.01.4a.390-ref-b.1.01.4a.398,ref-sifra.4.07-12.5.14-ref-sifra.4.07-12.5.20,10119,10161,1549,1556,ref-b.00001.00001.0004a.00390,ref-b.00001.00001.0004a.00398,199258,199293,28876,28882,ref-sifra.00004.07-12.00005.00014,ref-sifra.00004.07-12.00005.00020,אמרי עד חצות כדי להרחיק את האדם מן העבירה ,אמרו חכמים עד חצות להרחיק מן העבירה ,ref-sifra
18644,ref-b.1.01.5a.577-ref-b.1.01.5a.590,ref-sifra.2.12-14.6.52-ref-sifra.2.12-14.6.69,15799,15876,2391,2404,ref-b.00001.00001.0005a.00577,ref-b.00001.00001.0005a.00590,64710,64800,9671,9684,ref-sifra.00002.12-14.00006.00052,ref-sifra.00002.12-14.00006.00069,ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה דברי הברית מה ברית האמור ,ולא תשבית מלח ברית אלהיך מעל מנחתך ולהלן_הוא_אומר מאת_בני_ישראל ברית עולם מה ברית אמורה ,ref-sifra
18645,ref-b.1.01.8b.626-ref-b.1.01.8b.633,ref-sifra.4.07-12.5.14-ref-sifra.4.07-12.5.20,39891,39928,6040,6047,ref-b.00001.00001.0008b.00626,ref-b.00001.00001.0008b.00633,199258,199293,28876,28882,ref-sifra.00004.07-12.00005.00014,ref-sifra.00004.07-12.00005.00020,אמרי עד חצות כדי להרחיק אדם מן העבירה ,אמרו חכמים עד חצות להרחיק מן העבירה ,ref-sifra
18646,ref-b.1.01.17a.444-ref-b.1.01.17a.458,ref-sifra.14.01-00.5.7-ref-sifra.14.01-00.5.21,84489,84575,12589,12603,ref-b.00001.00001.0017a.00444,ref-b.00001.00001.0017a.00458,645680,645758,98258,98272,ref-sifra.00014.01-00.00005.00007,ref-sifra.00014.01-00.00005.00021,לעושיהם לעושים לשמה ולא לעושים שלא לשמה וכל העושה שלא לשמה נוח לו שלא נברא ,ועשיתם אתם הלמד לעשות לא הלמד שלא לעשות שהלמד שלא לעשות נוח לו שלא נברא ,ref-sifra
18647,ref-b.1.01.19a.928-ref-b.1.01.19a.939,ref-sifra.8.05-00.6.10-ref-sifra.8.05-00.6.20,98298,98355,14640,14648,ref-b.00001.00001.0019a.00928,ref-b.00001.00001.0019a.00939,382949,383018,57982,57992,ref-sifra.00008.05-00.00006.00010,ref-sifra.00008.05-00.00006.00020,ויטמא אמרת_לא_יטמא_יכול כשם שאינו מטמא להם כך אינו מטמא ,מטמאים בנגעים וכשם שאין אחוזתם מטמאים בנגעים כך אין בגדיהם מטמאים ,ref-sifra
18648,ref-b.1.01.21b.276-ref-b.1.01.21b.282,ref-sifra.2.12-00.3.14-ref-sifra.2.12-00.3.18,105487,105524,15628,15634,ref-b.00001.00001.0021b.00276,ref-b.00001.00001.0021b.00282,60509,60535,9040,9044,ref-sifra.00002.12-00.00003.00014,ref-sifra.00002.12-00.00003.00018,בכלל כל המכשפים היו ולמה יצאו להקיש ,בכלל היתה ולמה יצאת להקיש ,ref-sifra
18649,ref-b.1.01.21b.276-ref-b.1.01.21b.282,ref-sifra.4.02-03.1.23-ref-sifra.4.02-03.1.27,105487,105524,15628,15634,ref-b.00001.00001.0021b.00276,ref-b.00001.00001.0021b.00282,172452,172478,24849,24853,ref-sifra.00004.02-03.00001.00023,ref-sifra.00004.02-03.00001.00027,בכלל כל המכשפים היו ולמה יצאו להקיש ,בכלל היתה ולמה יצאת להקיש ,ref-sifra
18650,ref-b.1.01.21b.276-ref-b.1.01.21b.282,ref-sifra.4.08-00.4.34-ref-sifra.4.08-00.4.38,105487,105524,15628,15634,ref-b.00001.00001.0021b.00276,ref-b.00001.00001.0021b.00282,202338,202362,29345,29349,ref-sifra.00004.08-00.00004.00034,ref-sifra.00004.08-00.00004.00038,בכלל כל המכשפים היו ולמה יצאו להקיש ,בכלל היתה למה יצאת להקיש ,ref-sifra
