,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7730,ref-bible.0101.1.11.3-ref-bible.0101.1.11.12,ref-sifra.14.01-01.3.19-ref-sifra.14.01-01.3.35,619,662,101,110,ref-bible.00101.00001.00011.00003,ref-bible.00101.00001.00011.00012,646858,646947,98437,98449,ref-sifra.00014.01-01.00003.00019,ref-sifra.00014.01-01.00003.00035,תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי ,נזרעת ועושה פירות בן יומה_תלמוד_לומר זכר עשה לנפלאותיו וכן_הוא_אומר תדשא הארץ דשא עשב ,ref-sifra
7731,ref-bible.0101.1.12.2-ref-bible.0101.1.12.13,ref-sifra.14.01-01.3.19-ref-sifra.14.01-01.3.35,707,763,119,130,ref-bible.00101.00001.00012.00002,ref-bible.00101.00001.00012.00013,646858,646947,98437,98449,ref-sifra.00014.01-01.00003.00019,ref-sifra.00014.01-01.00003.00035,הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו ,נזרעת ועושה פירות בן יומה_תלמוד_לומר זכר עשה לנפלאותיו וכן_הוא_אומר תדשא הארץ דשא עשב ,ref-sifra
7732,ref-bible.0101.2.2.5-ref-bible.0101.2.2.14,ref-sifra.12.11-14.2.39-ref-sifra.12.11-14.3.15,2354,2409,387,396,ref-bible.00101.00002.00002.00005,ref-bible.00101.00002.00002.00014,588594,588674,89521,89532,ref-sifra.00012.11-14.00002.00039,ref-sifra.00012.11-14.00003.00015,מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה ,השבים וכל מלאכה לא תעשו בעצם_היום_הזה הרי זו אזהרה למלאכה וכל הנפש אשר תעשה ,ref-sifra
7733,ref-bible.0101.2.10.1-ref-bible.0101.2.10.6,ref-sifra.5.03-00.2.16-ref-sifra.5.03-00.2.23,2956,2985,494,498,ref-bible.00101.00002.00010.00001,ref-bible.00101.00002.00010.00006,268125,268170,39620,39626,ref-sifra.00005.03-00.00002.00016,ref-sifra.00005.03-00.00002.00023,ונהר יצא מעדן להשקות את הגן ,הנהרות שנאמר ונהר יוצא מעדן להשקות את הגן ,ref-sifra
7734,ref-bible.0101.3.1.11-ref-bible.0101.3.2.4,ref-sifra.5.1.39.19-ref-sifra.5.1.39.29,4051,4126,695,710,ref-bible.00101.00003.00001.00011,ref-bible.00101.00003.00002.00004,252515,252565,37152,37162,ref-sifra.00005.00001.00039.00019,ref-sifra.00005.00001.00039.00029,ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש ,שנאמר ויאמר ה' אל הנחש כי עשית זאת אל האשה אמר ,ref-sifra
7735,ref-bible.0101.3.13.4-ref-bible.0101.3.14.8,ref-sifra.5.1.39.22-ref-sifra.5.1.39.32,4864,4952,847,859,ref-bible.00101.00003.00013.00004,ref-bible.00101.00003.00014.00008,252532,252582,37155,37165,ref-sifra.00005.00001.00039.00022,ref-sifra.00005.00001.00039.00032,לאשה מה_זאת_עשית ותאמר האשה הנחש השיאני ואכל ויאמר_יהוה_אלהים אל הנחש כי עשית זאת ,אל הנחש כי עשית זאת אל האשה אמר בתחלה נתקלל נחש ,ref-sifra
7736,ref-bible.0101.8.16.4-ref-bible.0101.8.17.4,ref-sifra.5.01-01.10.1-ref-sifra.5.01-01.10.11,13522,13571,2309,2318,ref-bible.00101.00008.00016.00004,ref-bible.00101.00008.00017.00004,257472,257537,37925,37935,ref-sifra.00005.01-01.00010.00001,ref-sifra.00005.01-01.00010.00011,אתה ואשתך ובניך ונשי בניך אתך כל החיה אשר אתך ,אתה ובניך ובנותיך אתה ובניך בחלק ובנותיך במתנות או יכול אתה ,ref-sifra
7737,ref-bible.0101.12.3.5-ref-bible.0101.12.3.9,ref-sifra.14.01-01.2.12-ref-sifra.14.01-01.2.16,19479,19505,3323,3327,ref-bible.00101.00012.00003.00005,ref-bible.00101.00012.00003.00009,646472,646499,98378,98382,ref-sifra.00014.01-01.00002.00012,ref-sifra.00014.01-01.00002.00016,ונברכו בך כל משפחת האדמה ,ונברכו בך כל משפחות האדמה ,ref-sifra
7738,ref-bible.0101.13.13.1-ref-bible.0101.13.13.6,ref-sifra.14.02-00.2.76-ref-sifra.14.02-00.2.81,21544,21578,3703,3708,ref-bible.00101.00013.00013.00001,ref-bible.00101.00013.00013.00006,653957,653989,99462,99467,ref-sifra.00014.02-00.00002.00076,ref-sifra.00014.02-00.00002.00081,ואנשי סדם רעים וחטאים ליהוה מאד ,ואנשי סדום רעים וחטאים לה' מאד ,ref-sifra
7739,ref-bible.0101.17.12.1-ref-bible.0101.17.12.8,ref-sifra.6.01-01.2.41-ref-sifra.6.01-01.2.48,26802,26841,4671,4678,ref-bible.00101.00017.00012.00001,ref-bible.00101.00017.00012.00008,311784,311826,46243,46250,ref-sifra.00006.01-01.00002.00041,ref-sifra.00006.01-01.00002.00048,ובן שמנת ימים ימול לכם כל זכר לדרתיכם ,ובן שמונת ימים ימול לכם כל זכר לדורותיכם ,ref-sifra
