,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8943,ref-bible.0101.1.9.1-ref-bible.0101.1.9.9,ref-sifre-d.39.7.24-ref-sifre-d.39.7.31,469,516,74,82,ref-bible.00101.00001.00009.00001,ref-bible.00101.00001.00009.00009,63134,63175,10619,10626,ref-sifre-d.00039.00007.00024,ref-sifre-d.00039.00007.00031,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ,שנאמר יקוו המים מתחת השמים אל מקום אחד ,ref-sifre-d
8944,ref-bible.0101.2.6.2-ref-bible.0101.2.6.9,ref-sifre-d.43.8.49-ref-sifre-d.43.8.55,2673,2710,444,449,ref-bible.00101.00002.00006.00002,ref-bible.00101.00002.00006.00009,77002,77036,12943,12947,ref-sifre-d.00043.00008.00049,ref-sifre-d.00043.00008.00055,יעלה מן הארץ והשקה את כל פני האדמה ,יעלה מן הארץ והשקה את פני האדמה ,ref-sifre-d
8945,ref-bible.0101.2.14.11-ref-bible.0101.2.15.10,ref-sifre-d.41.24.13-ref-sifre-d.41.24.24,3224,3288,542,551,ref-bible.00101.00002.00014.00011,ref-bible.00101.00002.00015.00010,71848,71914,12092,12101,ref-sifre-d.00041.00024.00013,ref-sifre-d.00041.00024.00024,הוא פרת ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,כשהוא אומר ויקח ה' אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,ref-sifre-d
8946,ref-bible.0101.3.1.18-ref-bible.0101.3.3.1,ref-sifre-d.105.13.11-ref-sifre-d.105.13.18,4083,4152,702,715,ref-bible.00101.00003.00001.00018,ref-bible.00101.00003.00003.00001,143981,144019,24071,24078,ref-sifre-d.00105.00013.00011,ref-sifre-d.00105.00013.00018,לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש מפרי עץ הגן נאכל ומפרי ,"נאכלים ת""ל מפרי העץ ולא כל פרי העץ ",ref-sifre-d
8947,ref-bible.0101.3.12.1-ref-bible.0101.3.12.12,ref-sifre-d.1.14.107-ref-sifre-d.1.14.118,4787,4845,834,845,ref-bible.00101.00003.00012.00001,ref-bible.00101.00003.00012.00012,3161,3219,520,531,ref-sifre-d.00001.00014.00107,ref-sifre-d.00001.00014.00118,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל ,ויאמר האדם האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,ref-sifre-d
8948,ref-bible.0101.3.24.1-ref-bible.0101.3.24.18,ref-sifre-d.40.14.34-ref-sifre-d.40.14.51,5694,5788,997,1011,ref-bible.00101.00003.00024.00001,ref-bible.00101.00003.00024.00018,68439,68535,11503,11517,ref-sifre-d.00040.00014.00034,ref-sifre-d.00040.00014.00051,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים ,ויגרש את האדם וישכן מקדם לגן עדן את הכרובים ואת להט החרב המתהפכת לשמור את דרך עץ החיים ,ref-sifre-d
8949,ref-bible.0101.4.4.10-ref-bible.0101.4.5.6,ref-sifre-d.318.16.24-ref-sifre-d.318.16.29,6021,6065,1052,1061,ref-bible.00101.00004.00004.00010,ref-bible.00101.00004.00005.00006,329757,329783,55210,55215,ref-sifre-d.00318.00016.00024,ref-sifre-d.00318.00016.00029,אל הבל ואל מנחתו ואל קין ואל מנחתו לא שעה ,ואל קין ואל מנחתו לא שעה ,ref-sifre-d
8950,ref-bible.0101.4.7.5-ref-bible.0101.4.8.1,ref-sifre-d.45.1.93-ref-sifre-d.45.1.118,6160,6223,1079,1089,ref-bible.00101.00004.00007.00005,ref-bible.00101.00004.00008.00001,86677,86809,14580,14602,ref-sifre-d.00045.00001.00093,ref-sifre-d.00045.00001.00118,ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו ויאמר ,ואם לא תטיב לפתח חטאת רובץ ולא_עוד_אלא שמשאו ומתנו בך שנאמר ואליך תשוקתו ואם אתה רוצה אתה מושל בו שנא' ואתה תמשול בו ואומר ,ref-sifre-d
8951,ref-bible.0101.4.26.1-ref-bible.0101.4.26.13,ref-sifre-d.43.18.40-ref-sifre-d.43.18.51,7377,7432,1310,1319,ref-bible.00101.00004.00026.00001,ref-bible.00101.00004.00026.00013,80821,80875,13593,13603,ref-sifre-d.00043.00018.00040,ref-sifre-d.00043.00018.00051,ולשת גם הוא ילד בן ויקרא_את_שמו אנוש אז הוחל לקרא בשם ,ולשת גם הוא יולד בן ויקרא שמו אנוש אז הוחל לקרוא בשם ,ref-sifre-d
8952,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-sifre-d.43.8.99-ref-sifre-d.43.8.108,11505,11559,1963,1972,ref-bible.00101.00007.00011.00013,ref-bible.00101.00007.00011.00022,77266,77324,12986,12995,ref-sifre-d.00043.00008.00099,ref-sifre-d.00043.00008.00108,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום הזה נבקעו כל מעיינות תהום רבה וארובות השמים נפתחו ,ref-sifre-d
