,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10770,ref-m.1.1.1.1.60-ref-m.1.1.1.1.93,ref-mek.1.7.2.51-ref-mek.1.7.2.82,309,487,44,75,ref-m.00001.00001.00001.00001.00060,ref-m.00001.00001.00001.00001.00093,20967,21143,3352,3383,ref-mek.00001.00007.00002.00051,ref-mek.00001.00007.00002.00082,מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה ,ref-mek
10771,ref-m.1.1.1.2.24-ref-m.1.1.1.2.32,ref-mek.1.14.2.5-ref-mek.1.14.2.12,611,654,94,102,ref-m.00001.00001.00001.00002.00024,ref-m.00001.00001.00001.00002.00032,48728,48769,7557,7564,ref-mek.00001.00014.00002.00005,ref-mek.00001.00014.00002.00012,שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,ref-mek
10772,ref-m.1.1.1.4.4-ref-m.1.1.1.4.14,ref-mek.1.19.9.88-ref-mek.1.19.9.106,1075,1143,161,171,ref-m.00001.00001.00001.00004.00004,ref-m.00001.00001.00001.00004.00014,90440,90552,14262,14278,ref-mek.00001.00019.00009.00088,ref-mek.00001.00019.00009.00106,לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,שנים מלמעלה ושנים מלמטה ואחד שהיה מהלך לפניהם ר'_יאשיה_אומר ארבעה אחד לפניהם ואחד לאחריהם אחד למעלה ואחד ,ref-mek
10773,ref-m.1.1.1.5.18-ref-m.1.1.1.5.54,ref-mek.1.17.2.10-ref-mek.1.17.2.43,1352,1547,207,237,ref-m.00001.00001.00001.00005.00018,ref-m.00001.00001.00001.00005.00054,65677,65863,10308,10336,ref-mek.00001.00017.00002.00010,ref-mek.00001.00017.00002.00043,יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח ,ref-mek
10774,ref-m.1.1.7.3.24-ref-m.1.1.7.3.37,ref-mek.3.1.1.988-ref-mek.3.1.1.1002,7828,7902,1202,1215,ref-m.00001.00001.00007.00003.00024,ref-m.00001.00001.00007.00003.00037,138866,138957,22395,22407,ref-mek.00003.00001.00001.00988,ref-mek.00003.00001.00001.01002,אומר נברך לה' אלהינו במאה והוא אומר ברכו באלף אומר נברך לה' אלהינו אלהי ,ואומר לה' אלהינו הרחמים והסליחות אשירה_לה'_שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר ,ref-mek
10775,ref-m.1.1.7.3.61-ref-m.1.1.7.3.69,ref-mek.1.17.2.322-ref-mek.1.17.2.331,8038,8085,1239,1247,ref-m.00001.00001.00007.00003.00061,ref-m.00001.00001.00007.00003.00069,67246,67300,10559,10568,ref-mek.00001.00017.00002.00322,ref-mek.00001.00017.00002.00331,כענין שהוא מברך כך עונין אחריו ברוך ה' אלהינו ,לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה' ,ref-mek
10776,ref-m.1.1.7.3.63-ref-m.1.1.7.3.69,ref-mek.6.10.1.246-ref-mek.6.10.1.254,8051,8085,1241,1247,ref-m.00001.00001.00007.00003.00063,ref-m.00001.00001.00007.00003.00069,278238,278288,45559,45567,ref-mek.00006.00010.00001.00246,ref-mek.00006.00010.00001.00254,מברך כך עונין אחריו ברוך ה' אלהינו ,שברית כרותה לארץ כך ברית כרותה ליסורין ה' אלהיך ,ref-mek
10777,ref-m.1.1.7.3.106-ref-m.1.1.7.3.115,ref-mek.5.3.9.118-ref-mek.5.3.10.4,8290,8332,1277,1282,ref-m.00001.00001.00007.00003.00106,ref-m.00001.00001.00007.00003.00115,226089,226122,37041,37047,ref-mek.00005.00003.00009.00118,ref-mek.00005.00003.00010.00004,אומר ברכו את ה' רבי_ישמעאל_אומר ברכו את ה' ,ואמר ברוך ה' ויאמר יתרו ברוך ה' ,ref-mek
10778,ref-m.1.1.9.5.11-ref-m.1.1.9.5.23,ref-mek.6.9.4.70-ref-mek.6.9.4.79,10808,10875,1646,1657,ref-m.00001.00001.00009.00005.00011,ref-m.00001.00001.00009.00005.00023,275810,275860,45166,45175,ref-mek.00006.00009.00004.00070,ref-mek.00006.00009.00004.00079,שנאמר ואהבת את ה' אלהיך בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,אוכל וכל גבהי לבב קרואים תועבה שנאמר תועבת ה' כל ,ref-mek
10779,ref-m.1.1.9.5.122-ref-m.1.1.9.5.137,ref-mek.3.1.1.851-ref-mek.3.1.1.863,11403,11485,1748,1763,ref-m.00001.00001.00009.00005.00122,ref-m.00001.00001.00009.00005.00137,138144,138216,22264,22276,ref-mek.00003.00001.00001.00851,ref-mek.00003.00001.00001.00863,לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ה' עמך גבור החיל ואומר אל ,האל הגדול הגבור והנורא ואומר ה' עזוז וגבור ה' גבור מלחמה ואומר ה' ,ref-mek
