,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13055,ref-m.1.1.1.3.4-ref-m.1.1.1.3.34,ref-sifre-d.34.10.10-ref-sifre-d.34.10.41,719,898,112,134,ref-m.00001.00001.00001.00003.00004,ref-m.00001.00001.00001.00003.00034,47741,47922,8019,8042,ref-sifre-d.00034.00010.00010,ref-sifre-d.00034.00010.00041,בערב כל אדם יטו ויקראו ובבוקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה ,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה ,ref-sifre-d
13056,ref-m.1.1.1.3.4-ref-m.1.1.1.3.34,ref-sifre-d.34.13.4-ref-sifre-d.34.13.35,719,898,112,134,ref-m.00001.00001.00001.00003.00004,ref-m.00001.00001.00001.00003.00034,48282,48463,8096,8119,ref-sifre-d.00034.00013.00004,ref-sifre-d.00034.00013.00035,בערב כל אדם יטו ויקראו ובבוקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורא כדרכו שנאמר ובלכתך בדרך אם_כן_למה_נאמר ובשכבך ובקומך בשעה שבני אדם שוכבים ובשעה ,בערב כל אדם יטו ויקרו ובבקר יעמדו שנאמר ובשכבך ובקומך ובית_הלל_אומרים כל אדם קורים כדרכם שנאמר ובלכתך בדרך אם_כן_למה_נאמר בשכבך ובקומך אלא בשעה שבני אדם שוכבים ובשעה ,ref-sifre-d
13057,ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,ref-sifre-d.130.7.2-ref-sifre-d.130.7.59,1260,1547,193,237,ref-m.00001.00001.00001.00005.00001,ref-m.00001.00001.00001.00005.00054,166307,166604,27844,27890,ref-sifre-d.00130.00007.00002,ref-sifre-d.00130.00007.00059,מזכירין יציאת מצרים בלילות אמר רבי_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר'_אלעזר_בן_עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,ref-sifre-d
13058,ref-m.1.1.1.5.33-ref-m.1.1.1.5.42,ref-sifre-d.161.2.3-ref-sifre-d.161.2.12,1432,1479,221,228,ref-m.00001.00001.00001.00005.00033,ref-m.00001.00001.00001.00005.00042,185569,185616,30961,30968,ref-sifre-d.00161.00002.00003,ref-sifre-d.00161.00002.00012,כל ימי חייך ימי חייך הימים כל ימי חייך הלילות ,כל ימי חייו ימי חייו הימים כל ימי חייו הלילות ,ref-sifre-d
13059,ref-m.1.1.2.3.1-ref-m.1.1.2.3.7,ref-sifre-d.31.7.113-ref-sifre-d.31.7.119,2175,2210,341,346,ref-m.00001.00001.00002.00003.00001,ref-m.00001.00001.00002.00003.00007,39984,40019,6758,6763,ref-sifre-d.00031.00007.00113,ref-sifre-d.00031.00007.00119,הקורא את שמע ולא השמיע לאזנו יצא ,הקורא את שמע ולא השמיע לאזנו יצא ,ref-sifre-d
13060,ref-m.1.1.4.5.19-ref-m.1.1.4.5.25,ref-sifre-d.29.5.84-ref-sifre-d.29.5.89,4741,4774,729,734,ref-m.00001.00001.00004.00005.00019,ref-m.00001.00001.00004.00005.00025,34893,34926,5897,5902,ref-sifre-d.00029.00005.00084,ref-sifre-d.00029.00005.00089,יכוין את לבו כנגד בית קדש הקדשים ,מכוונים לבם כנגד בית קדשי הקדשים ,ref-sifre-d
13061,ref-m.1.1.7.3.59-ref-m.1.1.7.3.68,ref-sifre-d.306.37.13-ref-sifre-d.306.37.21,8028,8078,1237,1246,ref-m.00001.00001.00007.00003.00059,ref-m.00001.00001.00007.00003.00068,308753,308800,51661,51668,ref-sifre-d.00306.00037.00013,ref-sifre-d.00306.00037.00021,אומר ברכו כענין שהוא מברך כך עונין אחריו ברוך ה' ,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ה' ,ref-sifre-d
13062,ref-m.1.1.7.3.106-ref-m.1.1.7.3.116,ref-sifre-d.306.37.13-ref-sifre-d.306.37.20,8290,8340,1277,1283,ref-m.00001.00001.00007.00003.00106,ref-m.00001.00001.00007.00003.00116,308753,308797,51661,51667,ref-sifre-d.00306.00037.00013,ref-sifre-d.00306.00037.00020,אומר ברכו את ה' רבי_ישמעאל_אומר ברכו את ה' המבורך ,ואומר ברכו את ה' המבורך שעונים אחריהם ברוך ,ref-sifre-d
13063,ref-m.1.1.9.5.16-ref-m.1.1.9.5.21,ref-sifre-d.41.25.12-ref-sifre-d.41.25.17,10834,10865,1650,1655,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00021,72095,72126,12135,12140,ref-sifre-d.00041.00025.00012,ref-sifre-d.00041.00025.00017,בכל לבבך ובכל נפשך ובכל מאדך ,בכל לבבך ובכל נפשך ובכל מאדך ,ref-sifre-d
13064,ref-m.1.1.9.5.16-ref-m.1.1.9.5.23,ref-sifre-d.41.29.4-ref-sifre-d.41.29.13,10834,10875,1650,1657,ref-m.00001.00001.00009.00005.00016,ref-m.00001.00001.00009.00005.00023,72774,72827,12255,12262,ref-sifre-d.00041.00029.00004,ref-sifre-d.00041.00029.00013,בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,בכל לבבכם ובכל נפשכם והלא_כבר_נאמר בכל לבבך ובכל ,ref-sifre-d
