,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
20967,ref-m.1.1.1.1.60-ref-m.1.1.1.1.67,ref-y.01.01.1.00.2598-ref-y.01.01.1.00.2607,309,355,44,51,ref-m.00001.00001.00001.00001.00060,ref-m.00001.00001.00001.00001.00067,13614,13675,2174,2183,ref-y.00001.00001.00001.00000.02598,ref-y.00001.00001.00001.00000.02607,מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים ,הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר ,ref-y
20968,ref-m.1.1.1.1.61-ref-m.1.1.1.1.86,ref-y.01.01.1.00.2672-ref-y.01.01.1.00.2690,315,454,45,68,ref-m.00001.00001.00001.00001.00061,ref-m.00001.00001.00001.00001.00086,14006,14096,2241,2256,ref-y.00001.00001.00001.00000.02672,ref-y.00001.00001.00001.00000.02690,עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים ,אמרו חכמים וכו' אם את הוא אומר עד שיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא אוכל ,ref-y
20969,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.01.01.1.00.3288-ref-y.01.01.1.00.3296,655,702,103,110,ref-m.00001.00001.00001.00002.00033,ref-m.00001.00001.00001.00002.00040,17293,17344,2747,2755,ref-y.00001.00001.00001.00000.03288,ref-y.00001.00001.00001.00000.03296,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מכאן ואילך לא הפסיד כאדם שהוא קורא בתורה ,ref-y
20970,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.01.01.4.00.590-ref-y.01.01.4.00.598,655,702,103,110,ref-m.00001.00001.00001.00002.00033,ref-m.00001.00001.00001.00002.00040,80188,80239,12857,12865,ref-y.00001.00001.00004.00000.00590,ref-y.00001.00001.00004.00000.00598,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מיכן ואילך לא הפסיד כאדם שהוא קורא בתורה ,ref-y
20971,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.02.01.1.00.2995-ref-y.02.01.1.00.3003,655,702,103,110,ref-m.00001.00001.00001.00002.00033,ref-m.00001.00001.00001.00002.00040,887378,887429,134600,134608,ref-y.00002.00001.00001.00000.02995,ref-y.00002.00001.00001.00000.03003,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מיכן ואילך לא הפסיד כאדם שהוא קורא בתורה ,ref-y
20972,ref-m.1.1.1.4.2-ref-m.1.1.1.4.12,ref-y.02.10.3.00.2140-ref-y.02.10.3.00.2150,1065,1131,159,169,ref-m.00001.00001.00001.00004.00002,ref-m.00001.00001.00001.00004.00012,1859894,1859963,284108,284116,ref-y.00002.00010.00003.00000.02140,ref-y.00002.00010.00003.00000.02150,מברך שתים לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ,לפניהן ולאחריהן בלא_כך_אין הפותח והחותם בתורה מברך לפניה ולאחריה ,ref-y
20973,ref-m.1.1.1.5.15-ref-m.1.1.1.5.27,ref-y.01.01.1.00.5513-ref-y.01.01.1.00.5522,1334,1407,204,216,ref-m.00001.00001.00001.00005.00015,ref-m.00001.00001.00001.00005.00027,28780,28832,4558,4567,ref-y.00001.00001.00001.00000.05513,ref-y.00001.00001.00001.00000.05522,ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור ,בן זומא אומר עתידין הן ישראל שלא להזכיר יציאת מצרים ,ref-y
20974,ref-m.1.1.1.5.26-ref-m.1.1.1.5.36,ref-y.01.01.3.00.119-ref-y.01.01.3.00.129,1397,1447,215,223,ref-m.00001.00001.00001.00005.00026,ref-m.00001.00001.00001.00005.00036,58221,58272,9413,9421,ref-y.00001.00001.00003.00000.00119,ref-y.00001.00001.00003.00000.00129,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי ,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים ,ref-y
20975,ref-m.1.1.2.1.15-ref-m.1.1.2.1.37,ref-y.01.01.2.00.887-ref-y.01.01.2.00.910,1614,1749,250,267,ref-m.00001.00001.00002.00001.00015,ref-m.00001.00001.00002.00001.00037,34029,34164,5415,5434,ref-y.00001.00001.00002.00000.00887,ref-y.00001.00001.00002.00000.00910,בפרקים שואל מפני הכבוד ומשיב ובאמצע שואל מפני היראה ומשיב דברי_רבי_מאיר_רבי_יהודה_אומר באמצע שואל מפני היראה ומשיב מפני הכבוד ,ובפרקים שואל מפני הכבוד ומשיב מפני_מה_הוא משיב מפני היראה או מפני הכבוד נשמעינא_מן_הדא ובאמצע שואל מפני היראה ומשיב מפני הכבוד ,ref-y
20976,ref-m.1.1.2.1.16-ref-m.1.1.2.1.37,ref-y.01.01.2.00.915-ref-y.01.01.2.00.936,1622,1749,251,267,ref-m.00001.00001.00002.00001.00016,ref-m.00001.00001.00002.00001.00037,34186,34306,5439,5458,ref-y.00001.00001.00002.00000.00915,ref-y.00001.00001.00002.00000.00936,שואל מפני הכבוד ומשיב ובאמצע שואל מפני היראה ומשיב דברי_רבי_מאיר_רבי_יהודה_אומר באמצע שואל מפני היראה ומשיב מפני הכבוד ,"שואל מפני הכבוד ומשיב מפני הכבוד ובאמצע שואל מפני היראה ומשיב דברי ר""מ מפני_מה_הוא משיב מפני היראה או מפני הכבוד ",ref-y
