,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4093,ref-mek.1.1.1.481-ref-mek.1.1.1.492,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2467,2525,380,390,ref-mek.00001.00001.00001.00481,ref-mek.00001.00001.00001.00492,389217,389270,65438,65448,ref-sifre-d.00357.00040.00050,ref-sifre-d.00357.00040.00060,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,ref-sifre-d
4094,ref-mek.1.1.1.562-ref-mek.1.1.1.573,ref-sifre-d.40.3.19-ref-sifre-d.40.3.31,2872,2935,453,463,ref-mek.00001.00001.00001.00562,ref-mek.00001.00001.00001.00573,64824,64892,10930,10941,ref-sifre-d.00040.00003.00019,ref-sifre-d.00040.00003.00031,עיני ה' משוטטות בכל הארץ בכל מקום עיני ה' צופות רעים וטובים ,עיני ה' משוטטים בכל הארץ ואומר כל מקום עיני ה' צופות רעים וטובים ,ref-sifre-d
4095,ref-mek.1.1.1.799-ref-mek.1.1.1.810,ref-sifre-d.344.2.13-ref-sifre-d.344.2.23,4113,4166,676,684,ref-mek.00001.00001.00001.00799,ref-mek.00001.00001.00001.00810,361100,361150,60573,60582,ref-sifre-d.00344.00002.00013,ref-sifre-d.00344.00002.00023,במשה מה_הוא_אומר ועתה אם תשא חטאתם ואם אין מחני נא ,במשה מהו אומר ועתה אם תשא חטאתם ואם אין מחני נא ,ref-sifre-d
4096,ref-mek.1.1.1.829-ref-mek.1.1.1.839,ref-sifre-d.344.2.24-ref-sifre-d.344.2.35,4252,4310,702,712,ref-mek.00001.00001.00001.00829,ref-mek.00001.00001.00001.00839,361151,361212,60583,60593,ref-sifre-d.00344.00002.00024,ref-sifre-d.00344.00002.00035,בדוד מהו אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו ,בדוד הוא אומר אני הוא חטאתי ואני העויתי ואלה הצאן מה עשו ,ref-sifre-d
4097,ref-mek.1.1.1.858-ref-mek.1.1.1.882,ref-sifre-d.310.8.9-ref-sifre-d.310.8.15,4398,4529,728,747,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00882,317714,317743,53148,53154,ref-sifre-d.00310.00008.00009,ref-sifre-d.00310.00008.00015,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ,שנאמר ואל משה אמר עלה אל ה' ,ref-sifre-d
4098,ref-mek.1.1.1.858-ref-mek.1.1.1.883,ref-sifre-d.355.27.10-ref-sifre-d.355.27.21,4398,4536,728,748,ref-mek.00001.00001.00001.00858,ref-mek.00001.00001.00001.00883,380826,380889,63983,63994,ref-sifre-d.00355.00027.00010,ref-sifre-d.00355.00027.00021,ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת ,ref-sifre-d
4099,ref-mek.1.2.1.163-ref-mek.1.2.1.185,ref-sifre-d.140.1.8-ref-sifre-d.140.1.19,7444,7573,1245,1264,ref-mek.00001.00002.00001.00163,ref-mek.00001.00002.00001.00185,171346,171406,28653,28661,ref-sifre-d.00140.00001.00008,ref-sifre-d.00140.00001.00019,ומנין אף למלכים תלמוד לומר הוא החדש השני למלוך שלמה על ישראל ומנין אף לרגלים תלמוד לומר חג המצות וחג השבועות וחג הסכות ,ומנין אף לגבוה תלמוד לומר חג למה_נאמר_לפי שנאמר חג הסכות ,ref-sifre-d
4100,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-sifre-d.143.8.1-ref-sifre-d.143.8.6,7538,7573,1259,1264,ref-mek.00001.00002.00001.00180,ref-mek.00001.00002.00001.00185,173831,173870,29060,29065,ref-sifre-d.00143.00008.00001,ref-sifre-d.00143.00008.00006,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסכות ,ref-sifre-d
4101,ref-mek.1.2.2.21-ref-mek.1.2.2.33,ref-sifre-d.127.1.1-ref-sifre-d.127.1.13,8593,8664,1430,1440,ref-mek.00001.00002.00002.00021,ref-mek.00001.00002.00002.00033,163862,163932,27424,27435,ref-sifre-d.00127.00001.00001,ref-sifre-d.00127.00001.00013,שמור את חדש האביב וגו' שמור את הפסח לאביב ואביב לפסח שיבא בזמנו ,שמור את חדש האביב שמור החדש שהוא סמוך לאביב מפני אביב שיהא בזמנו ,ref-sifre-d
4102,ref-mek.1.5.1.106-ref-mek.1.5.2.33,ref-sifre-d.129.5.4-ref-sifre-d.129.6.21,13680,13932,2200,2234,ref-mek.00001.00005.00001.00106,ref-mek.00001.00005.00002.00033,165313,165427,27676,27695,ref-sifre-d.00129.00005.00004,ref-sifre-d.00129.00006.00021,להביא מין אחר מה_תלמוד_לומר מן הכבשים ומן העזים מזה_בפני_עצמו ומזה_בפני_עצמו והיה לכם להביא פסח דורות שלא יבוא אלא מן הכשבים ומן העזים דברי_ר'_אליעזר ר'_יאשיה_אומר תקחו למה_נאמר_לפי_שנאמר וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובקר לחגיגה ,לשם המיוחד צאן ובקר והלא אין פסח בא אלא מן הכבשים ומן העזים אם_כן_למה_נאמר צאן ובקר צאן לפסח ובקר לחגיגה ,ref-sifre-d
