,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4872,ref-mek.1.1.1.40-ref-mek.1.1.1.47,ref-sifre-n.123.1.188-ref-sifre-n.123.1.195,189,228,25,32,ref-mek.00001.00001.00001.00040,ref-mek.00001.00001.00001.00047,206201,206239,32579,32586,ref-sifre-n.00123.00001.00188,ref-sifre-n.00123.00001.00195,שכשם שהיה משה כלל לדברות כך היה אהרן ,וכשם שהיה משה גזבר לדבר כך היה אהרן ,ref-sifre-n
4873,ref-mek.1.1.1.372-ref-mek.1.1.1.377,ref-sifre-n.118.1.1063-ref-sifre-n.118.1.1068,1896,1921,281,286,ref-mek.00001.00001.00001.00372,ref-mek.00001.00001.00001.00377,194482,194507,30715,30720,ref-sifre-n.00118.00001.01063,ref-sifre-n.00118.00001.01068,ברית מלח עולם היא לפני ה' ,ברית מלח עולם היא לפני ה' ,ref-sifre-n
4874,ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-sifre-n.84.4.164-ref-sifre-n.84.4.178,4183,4251,688,701,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00828,115045,115117,17557,17570,ref-sifre-n.00084.00004.00164,ref-sifre-n.00084.00004.00178,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עושה לי הרגני נא הרוג ואם מצאתי חן בעיניך ואל אראה ברעתי ,ref-sifre-n
4875,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.73-ref-sifre-n.91.1.80,4183,4214,688,694,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00821,127954,127985,19774,19780,ref-sifre-n.00091.00001.00073,ref-sifre-n.00091.00001.00080,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,ref-sifre-n
4876,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.133-ref-sifre-n.91.1.140,4183,4214,688,694,ref-mek.00001.00001.00001.00814,ref-mek.00001.00001.00001.00821,128263,128294,19824,19830,ref-sifre-n.00091.00001.00133,ref-sifre-n.00091.00001.00140,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,ref-sifre-n
4877,ref-mek.1.2.1.20-ref-mek.1.2.1.28,ref-sifre-n.61.1.13-ref-sifre-n.61.1.22,6703,6745,1121,1127,ref-mek.00001.00002.00001.00020,ref-mek.00001.00002.00001.00028,85721,85770,12754,12761,ref-sifre-n.00061.00001.00013,ref-sifre-n.00061.00001.00022,ר'_עקיבא_אומר זה אחד מג' דברים שנתקשה משה ,ר'_עקיבא_אומר זה אחד משלשה דברים שנתקשה בהם משה ,ref-sifre-n
4878,ref-mek.1.2.1.242-ref-mek.1.2.1.254,ref-sifre-n.108.1.19-ref-sifre-n.108.1.25,7899,7966,1317,1329,ref-mek.00001.00002.00001.00242,ref-mek.00001.00002.00001.00254,154836,154878,24301,24307,ref-sifre-n.00108.00001.00019,ref-sifre-n.00108.00001.00025,מנה בו אדם הראשון אתה אומר לכם ולא מנה בו אדם הראשון או_אינו_אלא ,מין הדמים אתה אומר מין הדמים או_אינו_אלא ,ref-sifre-n
4879,ref-mek.1.2.2.3-ref-mek.1.2.2.16,ref-sifre-n.145.2.34-ref-sifre-n.145.2.50,8495,8593,1417,1429,ref-mek.00001.00002.00002.00003,ref-mek.00001.00002.00002.00016,259182,259276,41319,41331,ref-sifre-n.00145.00002.00034,ref-sifre-n.00145.00002.00050,שומעני מיעוט חדשים שנים מנין לשאר חדשים תלמוד לומר לחדשי השנה ראשון הוא למה_נאמר_לפי_שהוא_אומר ש,"למה_נאמר_לפי_שהוא_אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה ",ref-sifre-n
4880,ref-mek.1.4.2.107-ref-mek.1.4.2.134,ref-sifre-n.153.4.258-ref-sifre-n.153.4.277,11786,11937,1921,1947,ref-mek.00001.00004.00002.00107,ref-mek.00001.00004.00002.00134,267049,267156,42622,42640,ref-sifre-n.00153.00004.00258,ref-sifre-n.00153.00004.00277,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב אחד שומע אני שה אחד לכולם תלמוד לומר שה לבית אבות ,אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה שכל נעוריה בבית אביה אמרתי ,ref-sifre-n
4881,ref-mek.1.5.1.38-ref-mek.1.5.1.51,ref-sifre-n.107.2.139-ref-sifre-n.107.2.150,13338,13405,2154,2167,ref-mek.00001.00005.00001.00038,ref-mek.00001.00005.00001.00051,148649,148705,23266,23275,ref-sifre-n.00107.00002.00139,ref-sifre-n.00107.00002.00150,עולה חמורה כשרה לבא כל שנתה כבת שנתה פסח שהוא קל אינו דין שיוכשר ,עולת חמורה כשרה לבא_מין_אחד פסח הקל אינו דין הוא שיכשר ,ref-sifre-n
