,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5929,ref-mek.1.1.1.171-ref-mek.1.1.1.179,ref-y.02.12.2.00.2467-ref-y.02.12.2.00.2477,833,882,123,131,ref-mek.00001.00001.00001.00171,ref-mek.00001.00001.00001.00179,1968232,1968289,301027,301037,ref-y.00002.00012.00002.00000.02467,ref-y.00002.00012.00002.00000.02477,במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,"ה' אלהים ארץ ושמים שמים בראשון כב""ש עשה שלשה ימים ועשו ",ref-y
5930,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.01.01.1.00.1540-ref-y.01.01.1.00.1545,852,882,126,131,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,8082,8112,1292,1297,ref-y.00001.00001.00001.00000.01540,ref-y.00001.00001.00001.00000.01545,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-y
5931,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.02.12.2.00.2378-ref-y.02.12.2.00.2383,852,882,126,131,ref-mek.00001.00001.00001.00174,ref-mek.00001.00001.00001.00179,1967748,1967778,300946,300951,ref-y.00002.00012.00002.00000.02378,ref-y.00002.00012.00002.00000.02383,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,ref-y
5932,ref-mek.1.1.1.531-ref-mek.1.1.1.538,ref-y.04.04.11.00.1246-ref-y.04.04.11.00.1251,2723,2766,424,431,ref-mek.00001.00001.00001.00531,ref-mek.00001.00001.00001.00538,3225771,3225803,491528,491533,ref-y.00004.00004.00011.00000.01246,ref-y.00004.00004.00011.00000.01251,ויקם יונה לברוח תרשישה וגו' וכי מלפני ה' ,ויקם יונה לברוח תרשישה מלפני ה' ,ref-y
5933,ref-mek.1.1.1.657-ref-mek.1.1.1.662,ref-y.01.01.9.00.2950-ref-y.01.01.9.00.2954,3367,3393,540,545,ref-mek.00001.00001.00001.00657,ref-mek.00001.00001.00001.00662,174816,174840,27540,27544,ref-y.00001.00001.00009.00000.02950,ref-y.00001.00001.00009.00000.02954,וה' הטיל רוח גדולה אל הים ,וה' הטיל רוח גדולה בימי ,ref-y
5934,ref-mek.1.1.1.761-ref-mek.1.1.1.767,ref-y.04.04.10.00.2692-ref-y.04.04.10.00.2698,3915,3945,641,647,ref-mek.00001.00001.00001.00761,ref-mek.00001.00001.00001.00767,3195841,3195874,486565,486571,ref-y.00004.00004.00010.00000.02692,ref-y.00004.00004.00010.00000.02698,ויהי דבר ה' אל יונה שנית לאמר ,ויהי דבר ה' אל אליהו התשבי לאמר ,ref-y
5935,ref-mek.1.1.1.761-ref-mek.1.1.1.767,ref-y.04.04.10.00.3362-ref-y.04.04.10.00.3368,3915,3945,641,647,ref-mek.00001.00001.00001.00761,ref-mek.00001.00001.00001.00767,3199236,3199269,487133,487139,ref-y.00004.00004.00010.00000.03362,ref-y.00004.00004.00010.00000.03368,ויהי דבר ה' אל יונה שנית לאמר ,ויהי דבר ה' אל ישעיה הנביא לאמר ,ref-y
5936,ref-mek.1.1.1.1049-ref-mek.1.1.1.1067,ref-y.02.09.3.00.734-ref-y.02.09.3.00.752,5466,5557,897,913,ref-mek.00001.00001.00001.01049,ref-mek.00001.00001.00001.01067,1742361,1742457,265653,265670,ref-y.00002.00009.00003.00000.00734,ref-y.00002.00009.00003.00000.00752,"שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ","שכל ל""ח שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ",ref-y
5937,ref-mek.1.1.1.1168-ref-mek.1.1.1.1172,ref-y.03.02.2.00.2532-ref-y.03.02.2.00.2536,6071,6101,1005,1009,ref-mek.00001.00001.00001.01168,ref-mek.00001.00001.00001.01172,2224250,2224280,338654,338658,ref-y.00003.00002.00002.00000.02532,ref-y.00003.00002.00002.00000.02536,יגעתי באנחתי ומנוחה לא מצאתי ,יגעתי באנחתי ומנוחה לא מצאתי ,ref-y
5938,ref-mek.1.1.1.1168-ref-mek.1.1.1.1172,ref-y.03.05.1.00.1761-ref-y.03.05.1.00.1765,6071,6101,1005,1009,ref-mek.00001.00001.00001.01168,ref-mek.00001.00001.00001.01172,2540542,2540572,385888,385892,ref-y.00003.00005.00001.00000.01761,ref-y.00003.00005.00001.00000.01765,יגעתי באנחתי ומנוחה לא מצאתי ,יגעתי באנחתי ומנוחה לא מצאתי ,ref-y
5939,ref-mek.1.1.1.1237-ref-mek.1.1.1.1246,ref-y.04.04.10.00.2813-ref-y.04.04.10.00.2827,6423,6462,1071,1078,ref-mek.00001.00001.00001.01237,ref-mek.00001.00001.00001.01246,3196450,3196515,486675,486686,ref-y.00004.00004.00010.00000.02813,ref-y.00004.00004.00010.00000.02827,אם אין כרם אין סייג אם אין צאן אין רועה ,אם אין גדיים אין תיישים אם אין תיישים אין צאן אם אין צאן אין רועה ,ref-y
