,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.4.04.85b.684-ref-b.4.04.85b.691,11,44,1,6,ref-sifra.00001.00001.00003,ref-sifra.00001.00002.00005,6118158,6118201,890208,890215,ref-b.00004.00004.0085b.00684,ref-b.00004.00004.0085b.00691,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,ref-b
1,ref-sifra.1.1.3-ref-sifra.1.2.5,ref-b.4.04.85b.720-ref-b.4.04.85b.727,11,44,1,6,ref-sifra.00001.00001.00003,ref-sifra.00001.00002.00005,6118352,6118395,890232,890239,ref-b.00004.00004.0085b.00720,ref-b.00004.00004.0085b.00727,אומ' בשלש עשרה מדות התורה נדרשת ,אמרת צא ולמד משלש עשרה מדות שהתורה נדרשת ,ref-b
2,ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.3.01.7a.246-ref-b.3.01.7a.252,524,573,78,84,ref-sifra.00001.00002.00102,ref-sifra.00001.00002.00108,2772520,2772565,404436,404442,ref-b.00003.00001.0007a.00246,ref-b.00003.00001.0007a.00252,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש ,ref-b
3,ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.3.01.7a.264-ref-b.3.01.7a.270,524,573,78,84,ref-sifra.00001.00002.00102,ref-sifra.00001.00002.00108,2772619,2772664,404447,404453,ref-b.00003.00001.0007a.00264,ref-b.00003.00001.0007a.00270,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש ,ref-b
4,ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.5.01.49a.116-ref-b.5.01.49a.122,524,573,78,84,ref-sifra.00001.00002.00102,ref-sifra.00001.00002.00108,6947357,6947406,1011681,1011687,ref-b.00005.00001.0049a.00116,ref-b.00005.00001.0049a.00122,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,ref-b
5,ref-sifra.1.3.8-ref-sifra.1.3.15,ref-b.2.12.16a.467-ref-b.2.12.16a.474,720,761,108,115,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00015,2613576,2613617,380775,380782,ref-b.00002.00012.0016a.00467,ref-b.00002.00012.0016a.00474,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ref-b
6,ref-sifra.1.3.8-ref-sifra.1.3.21,ref-b.4.01.25a.18-ref-b.4.01.25a.27,720,796,108,121,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00021,4620109,4620162,671967,671976,ref-b.00004.00001.0025a.00018,ref-b.00004.00001.0025a.00027,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' קל וחומד לשכינה ,"ואביה ירק ירק בפניה הלא תכלם שבעת ימים ק""ו לשכינה ",ref-b
7,ref-sifra.1.3.8-ref-sifra.1.3.25,ref-b.4.03.111a.89-ref-b.4.03.111a.102,720,814,108,125,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00025,5636615,5636688,820476,820488,ref-b.00004.00003.0111a.00089,ref-b.00004.00003.0111a.00102,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' קל וחומד לשכינה ארבעה עשר יום אלא ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים קל וחומר לשכינה ארבעה עשר אלא ,ref-b
8,ref-sifra.1.5.27-ref-sifra.1.5.32,ref-b.6.07.55b.2-ref-b.6.07.55b.9,1246,1280,201,206,ref-sifra.00001.00005.00027,ref-sifra.00001.00005.00032,8679466,8679509,1261620,1261627,ref-b.00006.00007.0055b.00002,ref-b.00006.00007.0055b.00009,לטמא אדם במגע וכמשא ולטמא בגדים ,במשא מטמא אדם ובגדים במגע אדם מטמא בגדים ,ref-b
9,ref-sifra.1.7.2-ref-sifra.1.7.11,ref-b.3.04.35a.125-ref-b.3.04.35a.132,1599,1647,261,270,ref-sifra.00001.00007.00002,ref-sifra.00001.00007.00011,3724639,3724676,542126,542133,ref-b.00003.00004.0035a.00125,ref-b.00003.00004.0035a.00132,ופרט כיצד מן הבהמה כלל מן הבקר ומן הצאן פרט ,מן פרט הבהמה כלל בקר וצאן חזר ופרט ,ref-b
10,ref-sifra.1.8.18-ref-sifra.1.8.25,ref-b.4.01.64a.113-ref-b.4.01.64a.120,1757,1794,295,302,ref-sifra.00001.00008.00018,ref-sifra.00001.00008.00025,4753384,4753421,691596,691603,ref-b.00004.00001.0064a.00113,ref-b.00004.00001.0064a.00120,כלל פרט וכלל' נעשה כלל מוסף על הפרט ,כלל פרט וכלל נעשה כלל מוסיף על הפרט ,ref-b
11,ref-sifra.1.8.18-ref-sifra.1.8.25,ref-b.5.02.55b.216-ref-b.5.02.55b.226,1757,1794,295,302,ref-sifra.00001.00008.00018,ref-sifra.00001.00008.00025,7308637,7308690,1064206,1064216,ref-b.00005.00002.0055b.00216,ref-b.00005.00002.0055b.00226,כלל פרט וכלל' נעשה כלל מוסף על הפרט ,כלל ופרט הוא פרט וכלל הוא ונעשה כלל מוסיף על הפרט ,ref-b
12,ref-sifra.1.8.19-ref-sifra.1.8.25,ref-b.2.04.94b.351-ref-b.2.04.94b.357,1761,1794,296,302,ref-sifra.00001.00008.00019,ref-sifra.00001.00008.00025,1547983,1548020,224147,224153,ref-b.00002.00004.0094b.00351,ref-b.00002.00004.0094b.00357,פרט וכלל' נעשה כלל מוסף על הפרט ,כפרט וכלל ונעשה כלל מוסיף על הפרט ,ref-b
13,ref-sifra.1.9.39-ref-sifra.1.9.52,ref-b.2.03.27b.397-ref-b.2.03.27b.403,1990,2064,339,349,ref-sifra.00001.00009.00039,ref-sifra.00001.00009.00052,988824,988855,145020,145026,ref-b.00002.00003.0027b.00397,ref-b.00002.00003.0027b.00403,וולד וולדות הארץ וגדולי קרקע אף_אין_לי_אלא כל דבר' שהוא וולד וולדות ,ולד ולדות הארץ אף כל ולד ולדות ,ref-b
14,ref-sifra.1.10.1-ref-sifra.1.10.40,ref-b.5.04.19a.30-ref-b.5.04.19a.69,2104,2299,356,394,ref-sifra.00001.00010.00001,ref-sifra.00001.00010.00040,7980072,7980269,1160271,1160308,ref-b.00005.00004.0019a.00030,ref-b.00005.00004.0019a.00069,מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כיצד קדש לי כל בכור יכול אף נקבה במשמע תל זכר אי זכר' יכול אפילו יצאת לפניו תלמוד לומר פטר רחם אי פטר רחם' יכול אפילו לאחר יוצא דופן תלמוד לומד בכור ,"מכלל הצריך לפרט ומפרט הצריך לכלל כיצד קדש לי כל בכור יכול אפילו נקבה במשמע תלמוד לומר זכר אי זכר יכול אפי' יצתה נקבה לפניו תלמוד לומר פטר רחם אי פטר רחם יכול אפילו יצא אחר יוצא דופן ת""ל בכור ",ref-b
15,ref-sifra.1.10.20-ref-sifra.1.10.37,ref-b.5.04.19a.109-ref-b.5.04.19a.117,2197,2283,375,391,ref-sifra.00001.00010.00020,ref-sifra.00001.00010.00037,7980457,7980495,1160339,1160347,ref-b.00005.00004.0019a.00109,ref-b.00005.00004.0019a.00117,אי זכר' יכול אפילו יצאת לפניו תלמוד לומר פטר רחם אי פטר רחם' יכול אפילו לאחר יוצא דופן ,"אי זכר יכול אפי' יוצא דופן ת""ל פטר רחם ",ref-b
16,ref-sifra.1.10.25-ref-sifra.1.10.40,ref-b.5.04.19a.136-ref-b.5.04.19a.159,2221,2299,380,394,ref-sifra.00001.00010.00025,ref-sifra.00001.00010.00040,7980582,7980702,1160360,1160378,ref-b.00005.00004.0019a.00136,ref-b.00005.00004.0019a.00159,לפניו תלמוד לומר פטר רחם אי פטר רחם' יכול אפילו לאחר יוצא דופן תלמוד לומד בכור ,בכור דכתב_רחמנא_למה_לי אי למעוטי היכא דיצתה נקבה לפניו מפטר רחם נפקא אלא_שמע_מינה בכור למעוטי היכא דיוצא אחר יוצא דופן ,ref-b
17,ref-sifra.1.11.25-ref-sifra.1.11.39,ref-b.3.01.7a.168-ref-b.3.01.7a.176,2450,2536,421,435,ref-sifra.00001.00011.00025,ref-sifra.00001.00011.00039,2772132,2772185,404382,404390,ref-b.00003.00001.0007a.00168,ref-b.00003.00001.0007a.00176,מזבח השלמים אשר ליי' וטמאתו עליו ונכרתה הנפש ההיא והלא שלמים בכלל כל הקדשים היו ,מזבח השלמים וטומאתו עליו והלא שלמים בכלל קדשים היו ,ref-b
