,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5239,ref-sifra.1.3.8-ref-sifra.1.3.18,ref-bible.0104.12.14.5-ref-bible.0104.12.14.15,720,778,108,118,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00018,283099,283156,47701,47711,ref-bible.00104.00012.00014.00005,ref-bible.00104.00012.00014.00015,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים ,ref-bible
5240,ref-sifra.1.3.32-ref-sifra.1.3.39,ref-bible.0104.12.14.16-ref-bible.0104.12.15.6,845,889,131,138,ref-sifra.00001.00003.00032,ref-sifra.00001.00003.00039,283157,283216,47712,47721,ref-bible.00104.00012.00014.00016,ref-bible.00104.00012.00015.00006,תסגר מרי' שבעת ימים מחוץ למחנה ואחר תאסף ,מחוץ למחנה ואחר תאסף ותסגר מרים מחוץ למחנה שבעת ימים ,ref-bible
5241,ref-sifra.1.8.9-ref-sifra.1.8.17,ref-bible.0102.22.9.6-ref-bible.0102.22.9.13,1719,1756,286,294,ref-sifra.00001.00008.00009,ref-sifra.00001.00008.00017,149300,149332,26288,26295,ref-bible.00102.00022.00009.00006,ref-bible.00102.00022.00009.00013,חמור או שור או שה פרט וכל בהמה לשמור ,חמור או שור או שה וכל בהמה לשמר ,ref-bible
5242,ref-sifra.1.9.5-ref-sifra.1.9.20,ref-bible.0105.14.26.1-ref-bible.0105.14.26.14,1818,1903,307,322,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00020,371130,371209,61988,62001,ref-bible.00105.00014.00026.00001,ref-bible.00105.00014.00026.00014,ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך ,ונתתה הכסף בכל אשר תאוה נפשך בבקר ובצאן וביין ובשכר ובכל אשר תשאלך נפשך ,ref-bible
5243,ref-sifra.1.11.21-ref-sifra.1.11.32,ref-bible.0103.7.20.1-ref-bible.0103.7.21.1,2430,2498,417,428,ref-sifra.00001.00011.00021,ref-sifra.00001.00011.00032,202965,203051,35149,35160,ref-bible.00103.00007.00020.00001,ref-bible.00103.00007.00021.00001,והנפש אשר תאכל בשר מזבח השלמים אשר ליי' וטמאתו עליו ונכרתה הנפש ,והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה_הנפש_ההוא_מעמיה ונפש ,ref-bible
5244,ref-sifra.1.11.41-ref-sifra.1.11.49,ref-bible.0103.7.37.1-ref-bible.0103.7.37.9,2543,2606,437,445,ref-sifra.00001.00011.00041,ref-sifra.00001.00011.00049,204089,204152,35320,35328,ref-bible.00103.00007.00037.00001,ref-bible.00103.00007.00037.00009,זאת התורה לעולה ולמנחה לחטאת ולאשם ולמלוא' ולזבח השלמים ,זאת התורה לעלה למנחה ולחטאת ולאשם ולמלואים ולזבח השלמים ,ref-bible
5245,ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.14.13.1-ref-bible.0103.14.13.17,3521,3626,593,609,ref-sifra.00001.00014.00022,ref-sifra.00001.00014.00041,219546,219632,37895,37909,ref-bible.00103.00014.00013.00001,ref-bible.00103.00014.00013.00017,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,ושחט את הכבש במקום אשר ישחט את החטאת ואת העלה במקום הקדש כי כחטאת האשם הוא לכהן ,ref-bible
5246,ref-sifra.1.14.22-ref-sifra.1.14.41,ref-bible.0103.4.24.6-ref-bible.0103.4.25.2,3521,3626,593,609,ref-sifra.00001.00014.00022,ref-sifra.00001.00014.00041,197114,197177,34157,34168,ref-bible.00103.00004.00024.00006,ref-bible.00103.00004.00025.00002,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו' הקדש שאין תלמוד לו' כי כחטאת האשם הוא לכהן ,ושחט אתו במקום אשר ישחט את העלה לפני יהוה חטאת הוא ולקח הכהן ,ref-bible
5247,ref-sifra.1.15.20-ref-sifra.1.15.27,ref-bible.0103.13.42.1-ref-bible.0103.13.42.8,3957,3997,671,678,ref-sifra.00001.00015.00020,ref-sifra.00001.00015.00027,217094,217134,37451,37458,ref-bible.00103.00013.00042.00001,ref-bible.00103.00013.00042.00008,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,וכי יהיה בקרחת או בגבחת נגע לבן אדמדם ,ref-bible
5248,ref-sifra.1.15.22-ref-sifra.1.15.27,ref-bible.0103.13.42.12-ref-bible.0103.13.43.8,3967,3997,673,678,ref-sifra.00001.00015.00022,ref-sifra.00001.00015.00027,217149,217212,37462,37472,ref-bible.00103.00013.00042.00012,ref-bible.00103.00013.00043.00008,בקרחת או בגבחת נגע לבן אדמדם ,בקרחתו או בגבחתו וראה אתו הכהן והנה שאת הנגע לבנה אדמדמת ,ref-bible
