,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
6397,ref-sifra.1.2.18-ref-sifra.1.2.32,ref-mek.6.8.3.61-ref-mek.6.8.3.75,112,191,17,30,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00032,271144,271217,44414,44425,ref-mek.00006.00008.00003.00061,ref-mek.00006.00008.00003.00075,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא ,וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה_הפרט_מפורש בדבר שהוא ,ref-mek
6398,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-mek.7.8.4.129-ref-mek.7.8.4.143,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,317539,317609,51520,51533,ref-mek.00007.00008.00004.00129,ref-mek.00007.00008.00004.00143,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל כלל הראשון אמרת לאו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-mek
6399,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-mek.7.15.2.235-ref-mek.7.15.2.249,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,342915,342985,55463,55476,ref-mek.00007.00015.00002.00235,ref-mek.00007.00015.00002.00249,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל כלל הראשון אמרת לאו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-mek
6400,ref-sifra.1.2.96-ref-sifra.1.2.106,ref-mek.7.10.2.239-ref-mek.7.10.2.244,496,558,73,82,ref-sifra.00001.00002.00096,ref-sifra.00001.00002.00106,325840,325878,52746,52751,ref-mek.00007.00010.00002.00239,ref-mek.00007.00010.00002.00244,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,לידון בדבר חדש והחזירו הכתוב לכללו ,ref-mek
6401,ref-sifra.1.2.96-ref-sifra.1.2.106,ref-mek.7.11.2.114-ref-mek.7.11.2.119,496,558,73,82,ref-sifra.00001.00002.00096,ref-sifra.00001.00002.00106,328372,328410,53154,53159,ref-mek.00007.00011.00002.00114,ref-mek.00007.00011.00002.00119,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,לידון בדבר חדש והחזירו הכתוב לכללו ,ref-mek
6402,ref-sifra.1.3.23-ref-sifra.1.3.31,ref-mek.7.1.2.199-ref-mek.7.1.2.206,803,844,123,130,ref-sifra.00001.00003.00023,ref-sifra.00001.00003.00031,286632,286671,46858,46864,ref-mek.00007.00001.00002.00199,ref-mek.00007.00001.00002.00206,עשר יום אלא דיו לבא מן הדין להיות כנדון ,עשרה אמרת דיו לבא מן הדין להיות כנדון ,ref-mek
6403,ref-sifra.1.4.7-ref-sifra.1.4.13,ref-mek.7.16.2.69-ref-mek.7.16.2.77,923,955,144,149,ref-sifra.00001.00004.00007,ref-sifra.00001.00004.00013,345765,345807,55912,55919,ref-mek.00007.00016.00002.00069,ref-mek.00007.00016.00002.00077,אם לא שלח ידו במלאכת רעהו ונא' ,אם לא שלח ידו במלאכת רעהו לצרכו אתה אומר ,ref-mek
6404,ref-sifra.1.7.11-ref-sifra.1.7.16,ref-mek.1.16.1.44-ref-mek.1.16.1.49,1644,1674,270,275,ref-sifra.00001.00007.00011,ref-sifra.00001.00007.00016,57112,57141,8921,8926,ref-mek.00001.00016.00001.00044,ref-mek.00001.00016.00001.00049,פרט כלל ופרט' אין בכלל אלא מה ,פרט כלל ופרט אין בכלל אלא מה ,ref-mek
6405,ref-sifra.1.7.11-ref-sifra.1.8.1,ref-mek.1.19.3.165-ref-mek.1.19.3.172,1644,1688,270,278,ref-sifra.00001.00007.00011,ref-sifra.00001.00008.00001,80173,80209,12543,12549,ref-mek.00001.00019.00003.00165,ref-mek.00001.00019.00003.00172,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט ,פרט כלל ופרט אין בכלל אלא מה שבפרט ,ref-mek
6406,ref-sifra.1.7.11-ref-sifra.1.8.1,ref-mek.6.8.3.37-ref-mek.6.8.3.44,1644,1688,270,278,ref-sifra.00001.00007.00011,ref-sifra.00001.00008.00001,271029,271065,44391,44397,ref-mek.00006.00008.00003.00037,ref-mek.00006.00008.00003.00044,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט ,פרט כלל ופרט אין בכלל אלא מה שבפרט ,ref-mek
6407,ref-sifra.1.7.11-ref-sifra.1.8.1,ref-mek.7.8.4.112-ref-mek.7.8.4.119,1644,1688,270,278,ref-sifra.00001.00007.00011,ref-sifra.00001.00008.00001,317457,317493,51504,51510,ref-mek.00007.00008.00004.00112,ref-mek.00007.00008.00004.00119,פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט ,פרט כלל ופרט אין בכלל אלא מה שבפרט ,ref-mek
