,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8955,ref-sifra.1.9.5-ref-sifra.1.9.10,ref-sifre-d.107.8.1-ref-sifre-d.107.8.6,1818,1848,307,312,ref-sifra.00001.00009.00005,ref-sifra.00001.00009.00010,146955,146987,24546,24551,ref-sifre-d.00107.00008.00001,ref-sifre-d.00107.00008.00006,ונתת הכסף בכל אשר תאוה נפשך ,ונתתה הכסף בכל אשר תאווה נפשך ,ref-sifre-d
8956,ref-sifra.1.9.6-ref-sifra.1.9.13,ref-sifre-d.107.9.34-ref-sifre-d.107.10.6,1824,1865,308,315,ref-sifra.00001.00009.00006,ref-sifra.00001.00009.00013,147241,147280,24593,24600,ref-sifre-d.00107.00009.00034,ref-sifre-d.00107.00010.00006,הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ,כסף שני בכל אשר תאוה נפשך בבקר ובצאן ,ref-sifre-d
8957,ref-sifra.1.9.7-ref-sifra.1.9.19,ref-sifre-d.107.12.27-ref-sifre-d.107.13.9,1830,1898,309,321,ref-sifra.00001.00009.00007,ref-sifra.00001.00009.00019,147550,147619,24641,24653,ref-sifre-d.00107.00012.00027,ref-sifre-d.00107.00013.00009,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך ,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר ",ref-sifre-d
8958,ref-sifra.2.01-01.1.2-ref-sifra.2.01-01.2.11,ref-sifre-d.235.4.24-ref-sifre-d.235.4.35,5378,5592,917,944,ref-sifra.00002.01-01.00001.00002,ref-sifra.00002.01-01.00002.00011,236006,236071,39387,39397,ref-sifre-d.00235.00004.00024,ref-sifre-d.00235.00004.00035,וידבר הקדים_קריאה_לדיבור הלא_דין_הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים_קריאה_לדיבור אף דיבור האמור כאן הקדים_קריאה_לדיבור לא_אם_אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,מה עלילות דברים האמור להלן טענת בתולים אף עלילת דברים האמור כאן ,ref-sifre-d
8959,ref-sifra.2.02-00.3.50-ref-sifra.2.02-00.3.61,ref-sifre-d.110.2.6-ref-sifre-d.110.2.18,12078,12145,1902,1913,ref-sifra.00002.02-00.00003.00050,ref-sifra.00002.02-00.00003.00061,150119,150174,25097,25108,ref-sifre-d.00110.00002.00006,ref-sifre-d.00110.00002.00018,אף מומרים בני מקבלי ברית יצאו גרים שאינם בני מקבלי ברית תלמוד לומר ,"שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ברית ",ref-sifre-d
8960,ref-sifra.2.02-00.4.44-ref-sifra.2.02-00.4.75,ref-sifre-d.306.36.82-ref-sifre-d.306.36.99,12504,12663,1969,1993,ref-sifra.00002.02-00.00004.00044,ref-sifra.00002.02-00.00004.00075,308485,308566,51616,51633,ref-sifre-d.00306.00036.00082,ref-sifre-d.00306.00036.00099,יאמר אדם קרבן לה'  שיקדים הקדשו להקרבתו דברי_ר'_יהודה אמר_ר'_שמעון מנין שלא יאמר אדם לה' עולה' עולה לה' מנחה לה' שלמים' שלמים תלמוד לומר תלמוד לומר קרבן לה' ,"יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה' ",ref-sifre-d
8961,ref-sifra.2.02-00.4.104-ref-sifra.2.02-00.4.108,ref-sifre-d.306.36.94-ref-sifre-d.306.36.99,12796,12819,2010,2013,ref-sifra.00002.02-00.00004.00104,ref-sifra.00002.02-00.00004.00108,308540,308566,51628,51633,ref-sifre-d.00306.00036.00094,ref-sifre-d.00306.00036.00099,לה' תלמוד לומר קרבן לה' ,"לה' שלמים לה' ת""ל קרבן לה' ",ref-sifre-d
8962,ref-sifra.2.02-00.6.3-ref-sifra.2.02-00.6.14,ref-sifre-d.100.2.7-ref-sifre-d.100.3.2,13172,13235,2060,2071,ref-sifra.00002.02-00.00006.00003,ref-sifra.00002.02-00.00006.00014,139509,139593,23330,23344,ref-sifre-d.00100.00002.00007,ref-sifre-d.00100.00003.00002,הבהמה יכול אף חיה שהיא קרויה בהמה שנאמר זאת הבהמה אשר תאכלו ,זאת החיה אשר תאכלו מכל הבהמה מלמד שחיה קרויה בהמה ובהמה קרויה חיה ומלמד שבהמה ,ref-sifre-d
8963,ref-sifra.2.02-00.6.10-ref-sifra.2.02-00.6.19,ref-sifre-d.100.3.14-ref-sifre-d.100.3.19,13208,13260,2067,2076,ref-sifra.00002.02-00.00006.00010,ref-sifra.00002.02-00.00006.00019,139655,139690,23355,23360,ref-sifre-d.00100.00003.00014,ref-sifre-d.00100.00003.00019,שנאמר זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,שנאמר זאת הבהמה איל וצבי ויחמור ,ref-sifre-d
8964,ref-sifra.2.02-00.6.11-ref-sifra.2.02-00.6.19,ref-sifre-d.100.1.1-ref-sifre-d.100.1.12,13215,13260,2068,2076,ref-sifra.00002.02-00.00006.00011,ref-sifra.00002.02-00.00006.00019,139397,139459,23308,23319,ref-sifre-d.00100.00001.00001,ref-sifre-d.00100.00001.00012,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,זאת הבהמה אשר תאכלו שור שה כשבים ושה עזים איל וצבי ויחמור ,ref-sifre-d
