,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10615,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-sifre-n.118.1.343-ref-sifre-n.118.1.351,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,190780,190822,30140,30148,ref-sifre-n.00118.00001.00343,ref-sifre-n.00118.00001.00351,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,ref-sifre-n
10616,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-sifre-n.118.1.438-ref-sifre-n.118.1.446,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,191256,191298,30214,30222,ref-sifre-n.00118.00001.00438,ref-sifre-n.00118.00001.00446,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,ref-sifre-n
10617,ref-sifra.1.2.96-ref-sifra.1.2.106,ref-sifre-n.19.1.197-ref-sifre-n.19.1.202,496,558,73,82,ref-sifra.00001.00002.00096,ref-sifra.00001.00002.00106,30975,31012,4717,4722,ref-sifre-n.00019.00001.00197,ref-sifre-n.00019.00001.00202,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,לידון בדבר החדש החזירה הכתוב לכלל ,ref-sifre-n
10618,ref-sifra.1.2.96-ref-sifra.1.2.107,ref-sifre-n.37.1.147-ref-sifre-n.37.1.158,496,565,73,83,ref-sifra.00001.00002.00096,ref-sifra.00001.00002.00107,60713,60783,8707,8717,ref-sifre-n.00037.00001.00147,ref-sifre-n.00037.00001.00158,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב לכללו ,לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו ,ref-sifre-n
10619,ref-sifra.1.3.8-ref-sifra.1.3.15,ref-sifre-n.138.1.174-ref-sifre-n.138.1.181,720,761,108,115,ref-sifra.00001.00003.00008,ref-sifra.00001.00003.00015,249286,249325,39657,39664,ref-sifre-n.00138.00001.00174,ref-sifre-n.00138.00001.00181,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירוק ירק בפניה הלא תכלם ז' ימים ,ref-sifre-n
10620,ref-sifra.1.3.22-ref-sifra.1.3.31,ref-sifre-n.106.1.35-ref-sifre-n.106.1.42,797,844,122,130,ref-sifra.00001.00003.00022,ref-sifra.00001.00003.00031,145034,145073,22671,22677,ref-sifre-n.00106.00001.00035,ref-sifre-n.00106.00001.00042,ארבעה עשר יום אלא דיו לבא מן הדין להיות כנדון ,ארבעה עשר דיו לבא מן הדין להיות כנדון ,ref-sifre-n
10621,ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.334-ref-sifre-n.118.1.353,1904,1964,323,334,ref-sifra.00001.00009.00021,ref-sifra.00001.00009.00033,190739,190830,30131,30150,ref-sifre-n.00118.00001.00334,ref-sifre-n.00118.00001.00353,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,ref-sifre-n
10622,ref-sifra.1.9.21-ref-sifra.1.9.33,ref-sifre-n.118.1.429-ref-sifre-n.118.1.448,1904,1964,323,334,ref-sifra.00001.00009.00021,ref-sifra.00001.00009.00033,191215,191306,30205,30224,ref-sifre-n.00118.00001.00429,ref-sifre-n.00118.00001.00448,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,ref-sifre-n
10623,ref-sifra.1.9.24-ref-sifra.1.9.35,ref-sifre-n.24.1.253-ref-sifre-n.24.1.268,1918,1973,326,336,ref-sifra.00001.00009.00024,ref-sifra.00001.00009.00035,39377,39462,5983,5997,ref-sifre-n.00024.00001.00253,ref-sifre-n.00024.00001.00268,ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל עד שיפרוט לך הכתוב בדרך שפרט ,ref-sifre-n
10624,ref-sifra.1.11.50-ref-sifra.1.11.62,ref-sifre-n.107.1.286-ref-sifre-n.107.1.292,2607,2668,446,458,ref-sifra.00001.00011.00050,ref-sifra.00001.00011.00062,147810,147843,23124,23130,ref-sifre-n.00107.00001.00286,ref-sifre-n.00107.00001.00292,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,ויצא מוצא מן הכלל ללמד על הכלל ,ref-sifre-n
