,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
14252,ref-sifra.1.2.16-ref-sifra.1.2.23,ref-y.03.04.6.00.416-ref-y.03.04.6.00.442,99,147,15,22,ref-sifra.00001.00002.00016,ref-sifra.00001.00002.00023,2479848,2479973,376762,376782,ref-y.00003.00004.00006.00000.00416,ref-y.00003.00004.00006.00000.00442,משני כתובים מכלל ופרט מפרט וכלל מכלל ופרט ,"שכלל ופרט במקום אחד כלל_ופרט_הוא אלא תמן כלל ואח""כ פרט וכא פרט ואח""כ כלל והא רבי_יוסי_אמר לא שנייה בין כלל ואחר כך פרט ",ref-y
14253,ref-sifra.1.2.18-ref-sifra.1.2.38,ref-y.02.01.7.00.2083-ref-y.02.01.7.00.2112,112,225,17,36,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00038,978959,979100,148510,148532,ref-y.00002.00001.00007.00000.02083,ref-y.00002.00001.00007.00000.02112,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל ,"פרט בעכו""ם פרט ואחר כך כלל ר'_יוסי_אמר לא_שנייא_בין שכלל ואחר כך פרט בין שפרט ואחר כך כלל בין שכלל ופרט וכלל כלל ופרט היא בשבת כלל ",ref-y
14254,ref-sifra.1.2.18-ref-sifra.1.2.38,ref-y.03.04.6.00.236-ref-y.03.04.6.00.259,112,225,17,36,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00038,2478888,2478997,376615,376630,ref-y.00003.00004.00006.00000.00236,ref-y.00003.00004.00006.00000.00259,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל ,"כלל ואחר כך פרט ובע""ז פרט ואחר כך כלל רבי_יוסי_אומר לא_שנייא_בין שכלל ואחר כך פרט בין שפרט ואחר כך כלל ",ref-y
14255,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-y.01.08.1.00.2020-ref-y.01.08.1.00.2030,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,692281,692330,106229,106238,ref-y.00001.00008.00001.00000.02020,ref-y.00001.00008.00001.00000.02030,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל אחר כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,ref-y
14256,ref-sifra.1.2.18-ref-sifra.1.2.30,ref-y.02.02.3.00.206-ref-y.02.02.3.00.216,112,179,17,28,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00030,1121742,1121794,169732,169741,ref-y.00002.00002.00003.00000.00206,ref-y.00002.00002.00003.00000.00216,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל אחר כלל ופרט וכלל ואין אתה דן אלא כעין הפרט ,ref-y
14257,ref-sifra.1.2.18-ref-sifra.1.2.57,ref-y.03.05.7.00.1089-ref-y.03.05.7.00.1121,112,308,17,49,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00057,2606881,2607041,396209,396231,ref-y.00003.00005.00007.00000.01089,ref-y.00003.00005.00007.00000.01121,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל_דבר_שהיה_בכלל_ויצא_מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר_ליה_כן_אמר_רבי_יוחנן משום_רבי_שמעון כל שהיה בכלל ויצא מן_הכלל_ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,ref-y
14258,ref-sifra.1.2.18-ref-sifra.1.2.32,ref-y.03.07.1.00.4901-ref-y.03.07.1.00.4917,112,191,17,30,ref-sifra.00001.00002.00018,ref-sifra.00001.00002.00032,2779720,2779803,421892,421908,ref-y.00003.00007.00001.00000.04901,ref-y.00003.00007.00001.00000.04917,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא ,וכשהוא אומר ואת כל שערו יגלח חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,ref-y
14259,ref-sifra.1.2.113-ref-sifra.1.3.1,ref-y.02.12.3.00.1933-ref-y.02.12.3.00.1942,599,696,89,102,ref-sifra.00001.00002.00113,ref-sifra.00001.00003.00001,1992664,1992726,304817,304825,ref-y.00002.00012.00003.00000.01933,ref-y.00002.00012.00003.00000.01942,הלמד מסופו וכן שני כתובין המכחישין זה_את_זה עד שיבא הכתוב השלישי ויכריע ביניהן מקל וחומר ,"למדנו לראשון ולשני מן הכתוב ולשלישי מן הדין ולרביעי מק""ו ",ref-y
14260,ref-sifra.1.2.113-ref-sifra.1.3.1,ref-y.03.05.5.00.1446-ref-y.03.05.5.00.1455,599,696,89,102,ref-sifra.00001.00002.00113,ref-sifra.00001.00003.00001,2590325,2590393,393652,393660,ref-y.00003.00005.00005.00000.01446,ref-y.00003.00005.00005.00000.01455,הלמד מסופו וכן שני כתובין המכחישין זה_את_זה עד שיבא הכתוב השלישי ויכריע ביניהן מקל וחומר ,למדנו לראשון ולשני מן הכתוב ולשלישי מן הדין ולרביעי מקל וחומר ,ref-y
14261,ref-sifra.1.5.6-ref-sifra.1.5.13,ref-y.04.01.1.00.452-ref-y.04.01.1.00.462,1130,1177,182,189,ref-sifra.00001.00005.00006,ref-sifra.00001.00005.00013,2885963,2886015,437823,437833,ref-y.00004.00001.00001.00000.00452,ref-y.00004.00001.00001.00000.00462,לא המשכב כהרי המושב ולא המושב כהרי המשכב ,משכב ולא הרי משכב כהרי מושב ניחא לא הרי מושב כהרי ,ref-y
14262,ref-sifra.1.6.6-ref-sifra.1.6.15,ref-y.04.01.1.00.510-ref-y.04.01.1.00.517,1438,1490,236,245,ref-sifra.00001.00006.00006,ref-sifra.00001.00006.00015,2886259,2886303,437878,437885,ref-y.00004.00001.00001.00000.00510,ref-y.00004.00001.00001.00000.00517,לא פרשת הנידות כהרי פרשת שלוח טמאים ולא פרשת שלוח ,פרשת שילוח טמאין ולא פרשת שילוח טמאין כהרי ,ref-y
14263,ref-sifra.1.8.14-ref-sifra.1.9.41,ref-y.01.08.1.00.2009-ref-y.01.08.1.00.2040,1737,2009,291,341,ref-sifra.00001.00008.00014,ref-sifra.00001.00009.00041,692223,692383,106220,106247,ref-y.00001.00008.00001.00000.02009,ref-y.00001.00008.00001.00000.02040,פרט וכל בהמה לשמור כלל פרט וכלל' נעשה כלל מוסף על הפרט מכלל ופרט וכלל כיצד ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר_תאוה_נפשך הרי כלל אחר כלל ופרט וכלל אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ref-y
14264,ref-sifra.1.8.18-ref-sifra.1.9.41,ref-y.02.02.3.00.193-ref-y.02.02.3.00.225,1757,2009,295,341,ref-sifra.00001.00008.00018,ref-sifra.00001.00009.00041,1121677,1121844,169721,169749,ref-y.00002.00002.00003.00000.00193,ref-y.00002.00002.00003.00000.00225,כלל פרט וכלל' נעשה כלל מוסף על הפרט מכלל ופרט וכלל כיצד ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,בבקר ובצאן ביין ובשכר הרי זה פרט ובכל אשר תשאלך נפשך הרי זה כלל אחר כלל ופרט וכלל ואין אתה דן אלא כעין הפרט לומר מה הפרט מפורש דבר שהוא וולד וולדות הארץ ,ref-y
14265,ref-sifra.1.9.21-ref-sifra.1.9.36,ref-y.03.07.1.00.4902-ref-y.03.07.1.00.4922,1904,1979,323,337,ref-sifra.00001.00009.00021,ref-sifra.00001.00009.00036,2779728,2779826,421893,421913,ref-y.00003.00007.00001.00000.04902,ref-y.00003.00007.00001.00000.04922,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,אומר ואת כל שערו יגלח חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,ref-y
