,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
0,ref-sifre-d.1.2.33-ref-sifre-d.1.2.40,ref-b.2.02.32b.439-ref-b.2.02.32b.446,365,407,59,66,ref-sifre-d.00001.00002.00033,ref-sifre-d.00001.00002.00040,444663,444705,66047,66054,ref-b.00002.00002.0032b.00439,ref-b.00002.00002.0032b.00446,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר ,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר ,ref-b
1,ref-sifre-d.1.3.47-ref-sifre-d.1.3.60,ref-b.4.04.98b.209-ref-b.4.04.98b.222,671,736,110,123,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00060,6188613,6188677,901289,901302,ref-b.00004.00004.0098b.00209,ref-b.00004.00004.0098b.00222,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,ref-b
2,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.2.03.56a.130-ref-b.2.03.56a.140,1153,1203,187,196,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00034,1081550,1081608,158031,158041,ref-b.00002.00003.0056a.00130,ref-b.00002.00003.0056a.00140,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון ,ref-b
3,ref-sifre-d.1.5.25-ref-sifre-d.1.5.33,ref-b.2.03.56a.141-ref-b.2.03.56a.157,1153,1196,187,195,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00033,1081609,1081694,158042,158058,ref-b.00002.00003.0056a.00141,ref-b.00002.00003.0056a.00157,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ,הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב ,ref-b
4,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.4.03.24b.659-ref-b.4.03.24b.665,1153,1203,187,196,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00034,5455402,5455436,793908,793914,ref-b.00004.00003.0024b.00659,ref-b.00004.00003.0024b.00665,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,שנאמר הולך אל דרום וסובב אל צפון ,ref-b
5,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-b.4.03.25b.1-ref-b.4.03.25b.7,1153,1180,187,192,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,5455443,5455476,793916,793922,ref-b.00004.00003.0025b.00001,ref-b.00004.00003.0025b.00007,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,ref-b
6,ref-sifre-d.1.8.14-ref-sifre-d.1.8.77,ref-b.5.05.16b.149-ref-b.5.05.16b.197,1624,1961,269,324,ref-sifre-d.00001.00008.00014,ref-sifre-d.00001.00008.00077,8159684,8159929,1186114,1186151,ref-b.00005.00005.0016b.00149,ref-b.00005.00005.0016b.00197,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה לקיים מה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אמר רבי_אלעזר_בן_עזריה תמיהני אם יש בדור הזה שיודע להוכיח ואמר רבי_יוחנן_בן_נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים_מה_שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,ref-b
7,ref-sifre-d.1.8.69-ref-sifre-d.1.8.77,ref-b.3.01.65b.110-ref-b.3.01.65b.120,1916,1961,316,324,ref-sifre-d.00001.00008.00069,ref-sifre-d.00001.00008.00077,2964825,2964880,432364,432374,ref-b.00003.00001.0065b.00110,ref-b.00003.00001.0065b.00120,שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אומר חובה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,ref-b
8,ref-sifre-d.1.14.22-ref-sifre-d.1.14.35,ref-b.5.05.15a.245-ref-b.5.05.15a.252,2718,2785,441,452,ref-sifre-d.00001.00014.00022,ref-sifre-d.00001.00014.00035,8152384,8152419,1184985,1184992,ref-b.00005.00005.0015a.00245,ref-b.00005.00005.0015a.00252,הימרו בתוך הים והימרו על הים וכן_הוא_אומר וימרו על ים בים סוף ,מרי מאי דכתיב וימרו על ים בים סוף ,ref-b
9,ref-sifre-d.1.14.109-ref-sifre-d.1.14.118,ref-b.4.08.5a.542-ref-b.4.08.5a.551,3174,3219,522,531,ref-sifre-d.00001.00014.00109,ref-sifre-d.00001.00014.00118,6519802,6519848,949633,949642,ref-b.00004.00008.0005a.00542,ref-b.00004.00008.0005a.00551,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,האשה אשר נתתה עמדי היא נתנה לי מן העץ ואוכל ,ref-b
