,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2541,ref-sifre-d.1.2.5-ref-sifre-d.1.2.12,ref-bible.0212.1.1.1-ref-bible.0212.1.1.8,219,260,35,42,ref-sifre-d.00001.00002.00005,ref-sifre-d.00001.00002.00012,1098925,1098965,185785,185792,ref-bible.00212.00001.00001.00001,ref-bible.00212.00001.00001.00008,דברי עמוס אשר היה בנוקדים מתקוע אשר חזה ,דברי עמוס אשר היה בנקדים מתקוע אשר חזה ,ref-bible
2542,ref-sifre-d.1.3.41-ref-sifre-d.1.3.69,ref-bible.0208.30.5.5-ref-bible.0208.30.7.13,641,781,104,132,ref-sifre-d.00001.00003.00041,ref-sifre-d.00001.00003.00069,925908,926094,157065,157100,ref-bible.00208.00030.00005.00005,ref-bible.00208.00030.00007.00013,קול חרדה שמענו פחד ואין שלום שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה הוי כי היום ההוא עת צרה ליעקב וממנה יושע ,קול חרדה שמענו פחד ואין שלום שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ונהפכו כל פנים לירקון הוי כי גדול היום ההוא מאין כמהו ועת צרה היא ליעקב וממנה יושע ,ref-bible
2543,ref-sifre-d.1.4.22-ref-sifre-d.1.4.31,ref-bible.0204.23.2.1-ref-bible.0204.23.3.2,890,934,145,154,ref-sifre-d.00001.00004.00022,ref-sifre-d.00001.00004.00031,640471,640511,108210,108218,ref-bible.00204.00023.00002.00001,ref-bible.00204.00023.00003.00002,"רוח ה' דבר בי ומלתו על לשוני ומה ת""ל ואלה ",רוח יהוה דבר בי ומלתו על לשוני אמר אלהי ,ref-bible
2544,ref-sifre-d.1.4.44-ref-sifre-d.1.4.47,ref-bible.0204.23.6.1-ref-bible.0204.23.6.4,1008,1032,167,170,ref-sifre-d.00001.00004.00044,ref-sifre-d.00001.00004.00047,640709,640732,108260,108263,ref-bible.00204.00023.00006.00001,ref-bible.00204.00023.00006.00004,ובליעל כקוץ מונד כולהם ,ובליעל כקוץ מנד כלהם ,ref-bible
2545,ref-sifre-d.1.8.70-ref-sifre-d.1.8.77,ref-bible.0302.9.8.1-ref-bible.0302.9.8.8,1923,1961,317,324,ref-sifre-d.00001.00008.00070,ref-sifre-d.00001.00008.00077,1266479,1266517,215873,215880,ref-bible.00302.00009.00008.00001,ref-bible.00302.00009.00008.00008,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,ref-bible
2546,ref-sifre-d.1.9.26-ref-sifre-d.1.9.37,ref-bible.0101.26.27.1-ref-bible.0101.26.28.1,2104,2176,345,356,ref-sifre-d.00001.00009.00026,ref-sifre-d.00001.00009.00037,48707,48778,8594,8605,ref-bible.00101.00026.00027.00001,ref-bible.00101.00026.00028.00001,ויאמר אליהם יצחק מדוע באתם אלי ואתם שנאתם אותי ותשלחוני מאתכם ואומר ,ויאמר אלהם יצחק מדוע באתם אלי ואתם שנאתם אתי ותשלחוני מאתכם ויאמרו ,ref-bible
2547,ref-sifre-d.1.9.29-ref-sifre-d.1.9.34,ref-bible.0202.11.7.6-ref-bible.0202.11.7.14,2122,2152,348,353,ref-sifre-d.00001.00009.00029,ref-sifre-d.00001.00009.00034,491903,491953,82129,82137,ref-bible.00202.00011.00007.00006,ref-bible.00202.00011.00007.00014,מדוע באתם אלי ואתם שנאתם אותי ,אתם שנאתם אותי ותגרשוני מבית אבי ומדוע באתם אלי ,ref-bible
2548,ref-sifre-d.1.9.32-ref-sifre-d.1.9.40,ref-bible.0211.2.19.3-ref-bible.0211.2.19.16,2136,2196,351,359,ref-sifre-d.00001.00009.00032,ref-sifre-d.00001.00009.00040,1096317,1096394,185345,185357,ref-bible.00211.00002.00019.00003,ref-bible.00211.00002.00019.00016,ואתם שנאתם אותי ותשלחוני מאתכם ואומר וישלחם יצחק וילכו ,ויאמר לעמו הנני שלח לכם את הדגן והתירוש והיצהר ושבעתם אתו ולא אתן אתכם ,ref-bible
2549,ref-sifre-d.1.9.38-ref-sifre-d.1.9.42,ref-bible.0101.26.31.6-ref-bible.0101.26.31.10,2177,2209,357,361,ref-sifre-d.00001.00009.00038,ref-sifre-d.00001.00009.00042,49016,49048,8650,8654,ref-bible.00101.00026.00031.00006,ref-bible.00101.00026.00031.00010,וישלחם יצחק וילכו מאתו בשלום ,וישלחם יצחק וילכו מאתו בשלום ,ref-bible
2550,ref-sifre-d.1.11.37-ref-sifre-d.1.11.46,ref-bible.0102.16.3.1-ref-bible.0102.16.3.10,2453,2507,399,407,ref-sifre-d.00001.00011.00037,ref-sifre-d.00001.00011.00046,137134,137191,24125,24133,ref-bible.00102.00016.00003.00001,ref-bible.00102.00016.00003.00010,ויאמרו להם בני ישראל מי יתן מותנו ביד ה' בארץ מצרים ,ויאמרו אלהם בני ישראל מי יתן מותנו ביד יהוה בארץ מצרים ,ref-bible
