,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
4608,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-m.4.6.1.6.15-ref-m.4.6.1.6.19,8730,8772,1445,1449,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,549108,549150,85770,85774,ref-m.00004.00006.00001.00006.00015,ref-m.00004.00006.00001.00006.00019,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,ref-m
4609,ref-sifre-d.6.1.25-ref-sifre-d.6.1.31,ref-m.1.5.9.2.42-ref-m.1.5.9.2.51,10564,10597,1758,1764,ref-sifre-d.00006.00001.00025,ref-sifre-d.00006.00001.00031,65019,65076,10074,10083,ref-m.00001.00005.00009.00002.00042,ref-m.00001.00005.00009.00002.00051,בהר זה הר המלך בשפלה זה שפילות ,שפלה והעמק ושפלת לוד כשפלת הדרום וההר שלה כהר המלך ,ref-m
4610,ref-sifre-d.6.3.7-ref-sifre-d.6.3.17,ref-m.2.5.6.8.70-ref-m.2.5.6.8.77,11122,11187,1854,1863,ref-sifre-d.00006.00003.00007,ref-sifre-d.00006.00003.00017,225153,225200,34882,34889,ref-m.00002.00005.00006.00008.00070,ref-m.00002.00005.00006.00008.00077,מלבין עונותיהם של ישראל שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,מלבין שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,ref-m
4611,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,ref-m.2.1.9.3.37-ref-m.2.1.9.3.43,11146,11187,1857,1863,ref-sifre-d.00006.00003.00011,ref-sifre-d.00006.00003.00017,140498,140539,21623,21629,ref-m.00002.00001.00009.00003.00037,ref-m.00002.00001.00009.00003.00043,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,ref-m
4612,ref-sifre-d.11.1.83-ref-sifre-d.11.1.100,ref-m.4.9.3.7.6-ref-m.4.9.3.7.25,14971,15050,2517,2532,ref-sifre-d.00011.00001.00083,ref-sifre-d.00011.00001.00100,606121,606217,94192,94207,ref-m.00004.00009.00003.00007.00006,ref-m.00004.00009.00003.00007.00025,בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי ,תן לו משלו שאתה ושלך שלו וכן בדוד הוא אומר כי ממך הכל ומידך נתנו לך רבי_שמעון_אומר המהלך ,ref-m
4613,ref-sifre-d.16.1.46-ref-sifre-d.16.1.51,ref-m.4.9.1.1.23-ref-m.4.9.1.1.28,18409,18448,3100,3105,ref-sifre-d.00016.00001.00046,ref-sifre-d.00016.00001.00051,598778,598817,92978,92983,ref-m.00004.00009.00001.00001.00023,ref-m.00004.00009.00001.00001.00028,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,ref-m
4614,ref-sifre-d.16.3.130-ref-sifre-d.16.4.1,ref-m.4.9.1.1.23-ref-m.4.9.1.2.1,19227,19271,3222,3228,ref-sifre-d.00016.00003.00130,ref-sifre-d.00016.00004.00001,598778,598823,92978,92984,ref-m.00004.00009.00001.00001.00023,ref-m.00004.00009.00001.00002.00001,והעמידו תלמידים הרבה ועשו סייג לתורה שמוע ,והעמידו תלמידים הרבה ועשו סייג לתורה שמעון ,ref-m
4615,ref-sifre-d.16.5.11-ref-sifre-d.16.5.41,ref-m.5.2.10.3.41-ref-m.5.2.10.3.64,19508,19652,3270,3299,ref-sifre-d.00016.00005.00011,ref-sifre-d.00016.00005.00041,674724,674837,105038,105061,ref-m.00005.00002.00010.00003.00041,ref-m.00005.00002.00010.00003.00064,זה אומר שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא וזה יושב בתוך ביתו וזה אומר שלי הוא זה מחזיק בשדהו וזה אומר שלי היא לכך נאמר ,אומרים הין מגל זו אומרים הין מגל זו אומרים הין קופה זו אומרים הין קופה זו אומרים הין בשבת אומר להם שבת זו אומרים ,ref-m
4616,ref-sifre-d.16.5.13-ref-sifre-d.16.5.24,ref-m.2.3.9.10.27-ref-m.2.3.9.10.41,19516,19570,3272,3283,ref-sifre-d.00016.00005.00013,ref-sifre-d.00016.00005.00024,196759,196835,30276,30290,ref-m.00002.00003.00009.00010.00027,ref-m.00002.00003.00009.00010.00041,שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא ,אומרים אם שלנו הוא הפסח הזה ידיך משוכות משלך ונמנית על שלנו ואם שלך הוא ,ref-m
4617,ref-sifre-d.16.5.13-ref-sifre-d.16.5.24,ref-m.2.3.9.11.34-ref-m.2.3.9.11.48,19516,19570,3272,3283,ref-sifre-d.00016.00005.00013,ref-sifre-d.00016.00005.00024,197117,197187,30345,30359,ref-m.00002.00003.00009.00011.00034,ref-m.00002.00003.00009.00011.00048,שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא ,אומרים אם שלי הוא פסח זה ידיך משוכות משלך ונמנית על שלי ואם שלך הוא ,ref-m
4618,ref-sifre-d.16.7.1-ref-sifre-d.16.7.17,ref-m.4.3.8.1.29-ref-m.4.3.8.1.46,19745,19822,3314,3328,ref-sifre-d.00016.00007.00001,ref-sifre-d.00016.00007.00017,500482,500576,78183,78196,ref-m.00004.00003.00008.00001.00029,ref-m.00004.00003.00008.00001.00046,בין איש ובין אחיו ובין גרו אין_לי_אלא בין איש לאשתו בין אשה לאיש בין אומה ,האיש את אמו והאיש את אשתו ובני אחיות נוחלין ולא מנחילין האשה את בניה והאשה את בעלה ואחי ,ref-m
