,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
7910,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-t.2.2.4.6.73-ref-t.2.2.4.6.83,1153,1203,187,196,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00034,308188,308244,47985,47995,ref-t.00002.00002.00004.00006.00073,ref-t.00002.00002.00004.00006.00083,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,מזרח ושוקעת בחצי מערב שנ' הולך אל דרום וסובב אל צפון ,ref-t
7911,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-t.2.2.4.6.84-ref-t.2.2.4.6.90,1153,1180,187,192,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,308245,308278,47996,48002,ref-t.00002.00002.00004.00006.00084,ref-t.00002.00002.00004.00006.00090,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,ref-t
7912,ref-sifre-d.1.14.95-ref-sifre-d.1.14.103,ref-t.3.2.6.8.113-ref-t.3.2.6.8.120,3099,3146,508,516,ref-sifre-d.00001.00014.00095,ref-sifre-d.00001.00014.00103,571288,571321,89392,89399,ref-t.00003.00002.00006.00008.00113,ref-t.00003.00002.00006.00008.00120,שאמרתי לו אעשה לו עזר כנגדו בטובה שהיטבתי לו ,שנ' להלן אעשה לו עזר כנגדו מה לו ,ref-t
7913,ref-sifre-d.1.20.142-ref-sifre-d.1.20.171,ref-t.5.3.13.23.9-ref-t.5.3.13.23.36,5332,5502,883,912,ref-sifre-d.00001.00020.00142,ref-sifre-d.00001.00020.00171,1157582,1157727,182509,182536,ref-t.00005.00003.00013.00023.00009,ref-t.00005.00003.00013.00023.00036,ואומר והיה באחרית הימים נכון יהיה הר בית ה' בראש ההרים ונשא מגבעות ונהרו אליו כל הגוים ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ויורנו מדרכיו ,נאמר בו והיה באחרית הימים נכון יהיה הר בית ייי בראש ההרים וגו' והלכו עמים רבים ואמרו לכו ונעלה אל הר ייי אל בית אלי יעקב ויורנו מדרכיו ,ref-t
7914,ref-sifre-d.2.2.43-ref-sifre-d.2.2.51,ref-t.3.5.7.18.22-ref-t.3.5.7.18.31,6443,6493,1074,1082,ref-sifre-d.00002.00002.00043,ref-sifre-d.00002.00002.00051,653549,653598,103070,103078,ref-t.00003.00005.00007.00018.00022,ref-t.00003.00005.00007.00018.00031,היו נכנסים לארץ שנאמר וארון ברית ה' נוסע לפניהם ,היה בו ספר תורה שנאמ' וארון ברית ייי נסע לפניהם ,ref-t
7915,ref-sifre-d.2.2.46-ref-sifre-d.2.2.51,ref-t.3.5.4.2.128-ref-t.3.5.4.2.133,6460,6493,1077,1082,ref-sifre-d.00002.00002.00046,ref-sifre-d.00002.00002.00051,633222,633255,99582,99587,ref-t.00003.00005.00004.00002.00128,ref-t.00003.00005.00004.00002.00133,שנאמר וארון ברית ה' נוסע לפניהם ,שנא' וארון ברית ייי נוסע לפניהם ,ref-t
7916,ref-sifre-d.2.2.64-ref-sifre-d.2.2.70,ref-t.5.1.13.20.16-ref-t.5.1.13.20.22,6552,6580,1093,1097,ref-sifre-d.00002.00002.00064,ref-sifre-d.00002.00002.00070,1069293,1069321,168734,168738,ref-t.00005.00001.00013.00020.00016,ref-t.00005.00001.00013.00020.00022,כי לא באתם עד עתה אל המנוחה ,כי לא באתם עד עתה אל המנוחה ,ref-t
7917,ref-sifre-d.2.3.29-ref-sifre-d.2.3.43,ref-t.4.3.2.10.50-ref-t.4.3.2.10.68,7036,7116,1177,1190,ref-sifre-d.00002.00003.00029,ref-sifre-d.00002.00003.00043,849813,849912,134255,134272,ref-t.00004.00003.00002.00010.00050,ref-t.00004.00003.00002.00010.00068,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ואיזה זה חודש העבור ",ולשלמה שנים עשר נצבים על כל ישראל וכלכלו וגו' ואו' ונציב אחד אשר בארץ הוי או' זה חודש העיבור ,ref-t
7918,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,ref-t.3.5.11.7.6-ref-t.3.5.11.7.23,7199,7296,1205,1222,ref-sifre-d.00002.00003.00061,ref-sifre-d.00002.00003.00079,668234,668329,105541,105558,ref-t.00003.00005.00011.00007.00006,ref-t.00003.00005.00011.00007.00023,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",שנ' ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין ת'ל היום מה ת'ל היום שהיום מלאו שנותיו ,ref-t
7919,ref-sifre-d.2.3.64-ref-sifre-d.2.3.75,ref-t.3.5.11.7.27-ref-t.3.5.11.7.39,7215,7275,1208,1218,ref-sifre-d.00002.00003.00064,ref-sifre-d.00002.00003.00075,668341,668406,105561,105572,ref-t.00003.00005.00011.00007.00027,ref-t.00003.00005.00011.00007.00039,"מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום ",ת'ל היום מלמד שהן מאה ועשרים שנה מיום ליום מכונות דבר אחר מה ,ref-t
