,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
8681,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.01.05.6.00.383-ref-y.01.05.6.00.388,671,696,110,115,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00052,473998,474023,73750,73755,ref-y.00001.00005.00006.00000.00383,ref-y.00001.00005.00006.00000.00388,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,ref-y
8682,ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.03.07.1.00.11624-ref-y.03.07.1.00.11629,671,696,110,115,ref-sifre-d.00001.00003.00047,ref-sifre-d.00001.00003.00052,2814575,2814600,427175,427180,ref-y.00003.00007.00001.00000.11624,ref-y.00003.00007.00001.00000.11629,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,ref-y
8683,ref-sifre-d.1.3.64-ref-sifre-d.1.3.69,ref-y.02.09.1.00.1022-ref-y.02.09.1.00.1030,750,781,127,132,ref-sifre-d.00001.00003.00064,ref-sifre-d.00001.00003.00069,1702980,1703027,259427,259435,ref-y.00002.00009.00001.00000.01022,ref-y.00002.00009.00001.00000.01030,ההוא עת צרה ליעקב וממנה יושע ,"והן נגאלין מ""ט ועת צרה היא ליעקב וממנה יושע ",ref-y
8684,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-y.02.02.5.00.859-ref-y.02.02.5.00.864,1153,1180,187,192,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,1146278,1146305,173427,173432,ref-y.00002.00002.00005.00000.00859,ref-y.00002.00002.00005.00000.00864,הולך אל דרום וסובב אל צפון ,הולך אל דרום וסובב אל צפון ,ref-y
8685,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-y.02.02.5.00.865-ref-y.02.02.5.00.871,1153,1180,187,192,ref-sifre-d.00001.00005.00025,ref-sifre-d.00001.00005.00030,1146306,1146339,173433,173439,ref-y.00002.00002.00005.00000.00865,ref-y.00002.00002.00005.00000.00871,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,ref-y
8686,ref-sifre-d.1.18.162-ref-sifre-d.1.18.170,ref-y.01.01.1.00.3964-ref-y.01.01.1.00.3972,4386,4435,730,737,ref-sifre-d.00001.00018.00162,ref-sifre-d.00001.00018.00170,20728,20772,3282,3290,ref-y.00001.00001.00001.00000.03964,ref-y.00001.00001.00001.00000.03972,אתה מעוות עלינו את הכתובים מעידני עלי שמים וארץ ,אני עליך כאלו העדת עלי שלא בראתי שמים וארץ ,ref-y
8687,ref-sifre-d.1.20.39-ref-sifre-d.1.20.47,ref-y.01.01.1.00.3964-ref-y.01.01.1.00.3972,4767,4816,789,796,ref-sifre-d.00001.00020.00039,ref-sifre-d.00001.00020.00047,20728,20772,3282,3290,ref-y.00001.00001.00001.00000.03964,ref-y.00001.00001.00001.00000.03972,אתה מעוות עלינו את הכתובים מעידני עלי שמים וארץ ,אני עליך כאלו העדת עלי שלא בראתי שמים וארץ ,ref-y
8688,ref-sifre-d.1.20.174-ref-sifre-d.1.20.179,ref-y.04.04.1.00.3236-ref-y.04.04.1.00.3245,5521,5548,915,920,ref-sifre-d.00001.00020.00174,ref-sifre-d.00001.00020.00179,3068289,3068338,466481,466490,ref-y.00004.00004.00001.00000.03236,ref-y.00004.00004.00001.00000.03245,כי מציון תצא תורה ודבר ה' ,ודבר ה' מנהר פקוד אמרין ליה כי מציון תצא תורה ,ref-y
8689,ref-sifre-d.1.21.8-ref-sifre-d.1.21.13,ref-y.01.04.8.00.1023-ref-y.01.04.8.00.1028,5592,5625,925,930,ref-sifre-d.00001.00021.00008,ref-sifre-d.00001.00021.00013,412964,412997,64243,64248,ref-y.00001.00004.00008.00000.01023,ref-y.00001.00004.00008.00000.01028,וירכב אותו במרכבת המשנה אשר לו ,וירכב אותו במרכבת המשנה אשר לו ,ref-y
8690,ref-sifre-d.1.21.31-ref-sifre-d.1.21.39,ref-y.01.01.1.00.3964-ref-y.01.01.1.00.3972,5707,5756,944,951,ref-sifre-d.00001.00021.00031,ref-sifre-d.00001.00021.00039,20728,20772,3282,3290,ref-y.00001.00001.00001.00000.03964,ref-y.00001.00001.00001.00000.03972,אתה מעוות עלינו את הכתובים מעידני עלי שמים וארץ ,אני עליך כאלו העדת עלי שלא בראתי שמים וארץ ,ref-y
8691,ref-sifre-d.2.1.27-ref-sifre-d.2.1.32,ref-y.02.09.4.00.4248-ref-y.02.09.4.00.4253,5994,6021,993,998,ref-sifre-d.00002.00001.00027,ref-sifre-d.00002.00001.00032,1773106,1773133,270573,270578,ref-y.00002.00009.00004.00000.04248,ref-y.00002.00009.00004.00000.04253,ויסעו מהר ה' דרך שלשת ימים ,ויסעו מהר ה' דרך שלשת ימים ,ref-y
8692,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-y.02.10.1.00.9611-ref-y.02.10.1.00.9618,6552,6592,1093,1099,ref-sifre-d.00002.00002.00064,ref-sifre-d.00002.00002.00072,1838214,1838247,280761,280766,ref-y.00002.00010.00001.00000.09611,ref-y.00002.00010.00001.00000.09618,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה נחלה ,ref-y
8693,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-y.02.05.8.00.1973-ref-y.02.05.8.00.1977,8730,8772,1445,1449,ref-sifre-d.00002.00008.00016,ref-sifre-d.00002.00008.00020,1536810,1536846,233860,233864,ref-y.00002.00005.00008.00000.01973,ref-y.00002.00005.00008.00000.01977,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה קלות וחמורות זדונות ושגגות ,ref-y
8694,ref-sifre-d.6.1.25-ref-sifre-d.6.1.32,ref-y.01.05.9.00.867-ref-y.01.05.9.00.875,10564,10602,1758,1765,ref-sifre-d.00006.00001.00025,ref-sifre-d.00006.00001.00032,506855,506899,78749,78757,ref-y.00001.00005.00009.00000.00867,ref-y.00001.00005.00009.00000.00875,בהר זה הר המלך בשפלה זה שפילות דרום ,הר שביהודה זה הר המלך ושפלתו זו שפלת דרום ,ref-y
8695,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,ref-y.02.01.9.00.1456-ref-y.02.01.9.00.1465,11146,11187,1857,1863,ref-sifre-d.00006.00003.00011,ref-sifre-d.00006.00003.00017,1018125,1018172,154287,154295,ref-y.00002.00001.00009.00000.01456,ref-y.00002.00001.00009.00000.01465,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,אמרי אם יהיו חטאיו של אדם כפי שניו כשלג ילבינו ,ref-y
