,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
3612,ref-sifre-n.1.3.75-ref-sifre-n.1.4.10,ref-sifra.4.09-14.2.17-ref-sifra.4.09-14.2.23,1763,1861,224,241,ref-sifre-n.00001.00003.00075,ref-sifre-n.00001.00004.00010,209336,209366,30338,30344,ref-sifra.00004.09-14.00002.00017,ref-sifra.00004.09-14.00002.00023,כל צרוע וכל זב אלא בא הכתוב ליתן להם את המחיצות וישלחו_מן_המחנה כל צרוע וכל זב וכל טמא לנפש ,כל צרוע וכל זב וכל טמא לנפש ,ref-sifra
3613,ref-sifre-n.1.4.53-ref-sifre-n.1.4.91,ref-sifra.4.09-00.2.6-ref-sifra.4.09-00.2.25,2095,2283,282,319,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00091,206703,206816,29976,29992,ref-sifra.00004.09-00.00002.00006,ref-sifra.00004.09-00.00002.00025,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,טומאות חמורות טומאת מת ובועל נדה וכל המטמאין את האדם מנין_תלמוד_לומר בכל טמא בכל טמא ואפילו במחוסר כפורים ,ref-sifra
3614,ref-sifre-n.1.4.53-ref-sifre-n.1.4.64,ref-sifra.4.09-14.2.34-ref-sifra.4.09-14.3.11,2095,2156,282,293,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00064,209431,209532,30355,30370,ref-sifra.00004.09-14.00002.00034,ref-sifra.00004.09-14.00003.00011,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת ,מתים חייבים אין זבים ומצורעים חייבים וטומאתו עליו טומאת הגוף או יכול טומאת בשר תלמוד לומר וטומאתו ,ref-sifra
3615,ref-sifre-n.1.4.53-ref-sifre-n.1.4.63,ref-sifra.7.05-16.12.83-ref-sifra.7.05-16.12.97,2095,2153,282,292,ref-sifre-n.00001.00004.00053,ref-sifre-n.00001.00004.00063,364585,364662,54899,54913,ref-sifra.00007.05-16.00012.00083,ref-sifra.00007.05-16.00012.00097,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא ,מטמא בביאה אף כולם מטמאים בביאה אי מה בגד מטמא בכל הטומאות אף כולם מטמאים ,ref-sifra
3616,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.3.10-ref-sifra.9.01-00.3.25,2098,2164,283,295,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396343,396428,60121,60134,ref-sifra.00009.01-00.00003.00010,ref-sifra.00009.01-00.00003.00025,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,טמא ודין_הוא_טימא בזב וטימא בזבה מה זבה מקום שמטמא בטומאה קלה מטמאה טומאה חמורה ,ref-sifra
3617,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.3.27-ref-sifra.9.01-00.4.4,2098,2164,283,295,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396432,396493,60136,60145,ref-sifra.00009.01-00.00003.00027,ref-sifra.00009.01-00.00004.00004,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,זב במקום שמטמא בטומאה קלה מטמא טומאה חמורה לא_אם_אמרת בזבה ,ref-sifra
3618,ref-sifre-n.1.4.54-ref-sifre-n.1.4.66,ref-sifra.9.01-00.5.6-ref-sifra.9.01-00.5.18,2098,2164,283,295,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00066,396675,396747,60181,60193,ref-sifra.00009.01-00.00005.00006,ref-sifra.00009.01-00.00005.00018,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,טימא בזב וטימא בזבה מה זבה מקום שמטמאה בטומאה קלה מטמאה טומאה חמורה ,ref-sifra
3619,ref-sifre-n.1.4.54-ref-sifre-n.1.4.70,ref-sifra.9.01-01.7.14-ref-sifra.9.01-01.7.22,2098,2184,283,299,ref-sifre-n.00001.00004.00054,ref-sifre-n.00001.00004.00070,399609,399661,60647,60655,ref-sifra.00009.01-01.00007.00014,ref-sifra.00009.01-01.00007.00022,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא ,הזבה שאינה מטמאה בלובן מטמאה בדם הזב שהוא מטמא ,ref-sifra
3620,ref-sifre-n.1.4.55-ref-sifre-n.1.4.67,ref-sifra.7.05-12.8.31-ref-sifra.7.05-12.9.12,2104,2169,284,296,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00067,355365,355452,53362,53374,ref-sifra.00007.05-12.00008.00031,ref-sifra.00007.05-12.00009.00012,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,וטמא טמא יקרא טמא יקרא ארבה_אני_את הטמאים החמורים ולא_ארבה_את הטמאים הקלים טמא מת ,ref-sifra
3621,ref-sifre-n.1.4.55-ref-sifre-n.1.4.67,ref-sifra.9.01-00.13.51-ref-sifra.9.01-01.1.5,2104,2169,284,296,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00067,398204,398297,60426,60440,ref-sifra.00009.01-00.00013.00051,ref-sifra.00009.01-01.00001.00005,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,טמאים טומאת משקים זובו ורוקו ומימי רגליו מטמאים טומאה חמורה וזאת תהיה טומאתו בזובו טומאתו ,ref-sifra
3622,ref-sifre-n.1.4.55-ref-sifre-n.1.4.86,ref-sifra.9.03-05.11.29-ref-sifra.9.03-05.11.43,2104,2256,284,315,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00086,411331,411418,62371,62385,ref-sifra.00009.03-05.00011.00029,ref-sifra.00009.03-05.00011.00043,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,הטומאה הקל לטמא באב הטומאה הקל מקום שעשה ולד הטומאה חמור כולד הטומאה חמור לטמא ,ref-sifra
3623,ref-sifre-n.1.4.55-ref-sifre-n.1.4.85,ref-sifra.7.05-12.4.25-ref-sifra.7.05-12.5.1,2104,2251,284,314,ref-sifre-n.00001.00004.00055,ref-sifre-n.00001.00004.00085,354545,354641,53235,53251,ref-sifra.00007.05-12.00004.00025,ref-sifra.00007.05-12.00005.00001,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא ,הוא טמא יטמאנו הכהן הוא טמא יטמאנו הכהן זה טומאתו בכהן ואין שאר הטמאים טומאתם בכהן והצרוע ,ref-sifra
