,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
5188,ref-sifre-n.1.7.42-ref-sifre-n.1.7.47,ref-sifre-d.255.5.17-ref-sifre-d.255.5.28,4427,4462,615,620,ref-sifre-n.00001.00007.00042,ref-sifre-n.00001.00007.00047,249326,249380,41588,41599,ref-sifre-d.00255.00005.00017,ref-sifre-d.00255.00005.00028,מחנה ישראל ומחנה לויה ומחנה שכינה ,למחנה זו מחנה לויה לא יבא אל תוך המחנה זו מחנה שכינה ,ref-sifre-d
5189,ref-sifre-n.3.1.105-ref-sifre-n.3.1.126,ref-sifre-d.292.5.2-ref-sifre-d.293.1.9,7956,8066,1174,1190,ref-sifre-n.00003.00001.00105,ref-sifre-n.00003.00001.00126,278333,278454,46563,46579,ref-sifre-d.00292.00005.00002,ref-sifre-d.00293.00001.00009,אין_לי_אלא לו ולשלוחו מנין לרבות שליח בית דין והיורש תלמוד לומר ונתן לאשר אשם לו הרי שהיה חייב לחברו מנה ,"אין_לי_אלא מבושיו מנין לרבות כל דבר שיש בו סכנה ת""ל והחזיקה מכל מקום וקצתה את כפה מלמד שאתה חייב להצילה להצילו מנין ",ref-sifre-d
5190,ref-sifre-n.5.1.30-ref-sifre-n.5.1.40,ref-sifre-d.166.1.1-ref-sifre-d.166.1.6,10321,10381,1527,1533,ref-sifre-n.00005.00001.00030,ref-sifre-n.00005.00001.00040,188570,188606,31474,31479,ref-sifre-d.00166.00001.00001,ref-sifre-d.00166.00001.00006,ראשית דגנך תירושך ויצהרך רבי עקיבא אומר_בא_הכתוב_ללמדך שאם ,ראשית דגנך תירושך ויצהרך מלמד שאין ,ref-sifre-d
5191,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.196.2.9-ref-sifre-d.196.2.15,14087,14123,2069,2074,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,207564,207608,34646,34651,ref-sifre-d.00196.00002.00009,ref-sifre-d.00196.00002.00015,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5192,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.215.9.28-ref-sifre-d.215.9.34,14087,14123,2069,2074,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,218325,218367,36463,36468,ref-sifre-d.00215.00009.00028,ref-sifre-d.00215.00009.00034,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5193,ref-sifre-n.7.1.97-ref-sifre-n.7.1.102,ref-sifre-d.271.1.35-ref-sifre-d.271.1.41,14087,14123,2069,2074,ref-sifre-n.00007.00001.00097,ref-sifre-n.00007.00001.00102,260031,260077,43429,43434,ref-sifre-d.00271.00001.00035,ref-sifre-d.00271.00001.00041,"אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט ",ואלמנה לכהן גדול וגרושה וחלוצה לכהן הדיוט ,ref-sifre-d
5194,ref-sifre-n.7.3.148-ref-sifre-n.7.3.161,ref-sifre-d.36.4.18-ref-sifre-d.36.4.32,15968,16030,2346,2357,ref-sifre-n.00007.00003.00148,ref-sifre-n.00007.00003.00161,52085,52157,8746,8759,ref-sifre-d.00036.00004.00018,ref-sifre-d.00036.00004.00032,זה בנה אב כל מקום שנאמר עד הרי בכלל שנים עד שיפרוט לך הכתוב ,זה בנה אב בכל מקום שנאמר מזוזות הרי אין בכלל שתים עד שיפרוט לך הכתוב ,ref-sifre-d
5195,ref-sifre-n.7.3.359-ref-sifre-n.7.3.375,ref-sifre-d.303.16.6-ref-sifre-d.303.17.1,17034,17112,2508,2523,ref-sifre-n.00007.00003.00359,ref-sifre-n.00007.00003.00375,290134,290181,48561,48570,ref-sifre-d.00303.00016.00006,ref-sifre-d.00303.00017.00001,היא נטמאה והיא לא נטמאה אם היא טמאה למה אינה משקה שותה ואם טהורה היא למה הוא ,שהיא טמא ואני טהור או הוא טהור ואני טמא ולא ,ref-sifre-d
5196,ref-sifre-n.10.1.184-ref-sifre-n.10.1.202,ref-sifre-d.190.14.62-ref-sifre-d.190.15.15,21685,21780,3259,3275,ref-sifre-n.00010.00001.00184,ref-sifre-n.00010.00001.00202,203356,203455,33938,33952,ref-sifre-d.00190.00014.00062,ref-sifre-d.00190.00015.00015,שלא יביא מתוך קופתו ומן העפר לפי_שהוא_אומר ולקחו לטמא מעפר נאמר כאן עפר ונאמר להלן עפר מה ,ולא כמיתת אחותו מיתתו ומנין שהמבייש משלם ממון נאמר כאן לא_תחוס_עינך ונאמר להלן לא_תחוס_עינך מה ,ref-sifre-d
5197,ref-sifre-n.10.1.196-ref-sifre-n.10.1.205,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,21749,21797,3269,3278,ref-sifre-n.00010.00001.00196,ref-sifre-n.00010.00001.00205,51448,51495,8632,8641,ref-sifre-d.00036.00002.00056,ref-sifre-d.00036.00002.00065,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,ref-sifre-d
