,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
11154,ref-t.1.1.1.9.41-ref-t.1.1.1.10.5,ref-mek.1.17.2.4-ref-mek.1.17.2.15,2478,2519,389,395,ref-t.00001.00001.00001.00009.00041,ref-t.00001.00001.00001.00010.00005,65645,65715,10304,10313,ref-mek.00001.00017.00002.00004,ref-mek.00001.00017.00002.00015,עם המברך מזכירין יציאת מצרים בלילות אמ' ,העם וגו' אין_לי_אלא שמזכירים יציאת מצרים בימים בלילות מנין שנאמר ,ref-mek
11155,ref-t.1.1.1.10.19-ref-t.1.1.1.10.65,ref-mek.1.17.2.9-ref-mek.1.17.2.47,2585,2829,406,447,ref-t.00001.00001.00001.00010.00019,ref-t.00001.00001.00001.00010.00065,65667,65879,10307,10339,ref-mek.00001.00017.00002.00009,ref-mek.00001.00017.00002.00047,יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח אמ' להם בן זומא וכי מזכירין יציאת מצרים לימות ,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן זומא ,ref-mek
11156,ref-t.1.1.1.10.62-ref-t.1.1.1.10.94,ref-mek.1.17.2.51-ref-mek.1.17.2.89,2803,2960,444,471,ref-t.00001.00001.00001.00010.00062,ref-t.00001.00001.00001.00010.00094,65898,66077,10343,10375,ref-mek.00001.00017.00002.00051,ref-mek.00001.00017.00002.00089,מזכירין יציאת מצרים לימות המשיח והלא_כבר_נאמ' לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים כי אם חי ייי אשר העלה ואשר הביא ,להזכיר יציאת מצרים לעתיד לבוא שנאמר לכן הנה ימים באים נאם ה' לא יאמר עוד חי ה' אשר העלה את ישראל ממצרים כי אם חי ה' אשר העלה את ישראל מארץ צפון ר'_נתן_אומר אשר העלה ואשר הביא ,ref-mek
11157,ref-t.1.1.1.10.70-ref-t.1.1.1.10.78,ref-mek.1.17.1.493-ref-mek.1.17.1.502,2852,2889,450,458,ref-t.00001.00001.00001.00010.00070,ref-t.00001.00001.00001.00010.00078,64618,64657,10125,10134,ref-mek.00001.00017.00001.00493,ref-mek.00001.00017.00001.00502,לכן הנה ימים נאם ייי ולא יאמר עוד חי ,לכן הנה ימים באים נאם ה' לא יאמר עוד חי ,ref-mek
11158,ref-t.1.1.1.10.70-ref-t.1.1.1.10.86,ref-mek.3.8.1.633-ref-mek.3.8.1.647,2852,2927,450,464,ref-t.00001.00001.00001.00010.00070,ref-t.00001.00001.00001.00010.00086,168469,168537,27399,27413,ref-mek.00003.00008.00001.00633,ref-mek.00003.00008.00001.00647,לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים ,לכן הנה ימים באים נאום ה' ולא יאמר עוד חי ה' אשר העלה ישראל ממצרים ,ref-mek
11159,ref-t.1.1.1.10.120-ref-t.1.1.1.10.130,ref-mek.1.17.1.595-ref-mek.1.17.1.603,3096,3144,493,502,ref-t.00001.00001.00001.00010.00120,ref-t.00001.00001.00001.00010.00130,65121,65163,10216,10224,ref-mek.00001.00017.00001.00595,ref-mek.00001.00017.00001.00603,כיוצא בו לא יקרא עוד שמך יעקב כי אם ישראל וגו' ,כיוצא בו דרש ולא יקרא שמך עוד יעקב וגו' ,ref-mek
11160,ref-t.1.1.1.11.38-ref-t.1.1.1.11.74,ref-mek.1.17.1.536-ref-mek.1.17.1.560,3416,3606,550,585,ref-t.00001.00001.00001.00011.00038,ref-t.00001.00001.00001.00011.00074,64822,64944,10158,10182,ref-mek.00001.00017.00001.00536,ref-mek.00001.00017.00001.00560,שהיה מהלך בדרך ופגע בו זאב וניצל ממנו והיה מספר והולך מעשה הזאב פגע בו ארי וניצל מידו שכח מעשה הזאב והיה מספר במעשה הארי אחר כך פגע בו נחש וניצל מידו שכח מעשה שניהם והיה מספר ,שהיה מהלך בדרך ופגע בו זאב ניצל והיה מספר מעשה זאב פגע בו ארי וניצל הימנו הניח מעשה זאב והיה מספר מעשה ארי כיוצא בו ,ref-mek
11161,ref-t.1.1.1.11.85-ref-t.1.1.1.12.10,ref-mek.1.17.1.569-ref-mek.1.17.1.581,3662,3716,595,604,ref-t.00001.00001.00001.00011.00085,ref-t.00001.00001.00001.00012.00010,64980,65046,10190,10202,ref-mek.00001.00017.00001.00569,ref-mek.00001.00017.00001.00581,הראשונות כיוצא בהן לא יקרא עוד את שמך אברם והיה שמך ,הראשון ונתקיים השני כיוצא בו דרש ולא יקרא עוד שמך אברם עבר שם ,ref-mek
11162,ref-t.1.1.1.13.1-ref-t.1.1.1.13.8,ref-mek.1.17.1.575-ref-mek.1.17.1.591,3805,3838,621,627,ref-t.00001.00001.00001.00013.00001,ref-t.00001.00001.00001.00013.00008,65017,65099,10196,10212,ref-mek.00001.00017.00001.00575,ref-mek.00001.00017.00001.00591,כיוצא בו שרי אשתך לא תקרא את שמה ,ולא יקרא עוד שמך אברם עבר שם הראשון ונתקיים השני כיוצא בו דרש שרי אשתך עבר שם ,ref-mek
11163,ref-t.1.1.1.15.3-ref-t.1.1.1.15.7,ref-mek.2.2.3.169-ref-mek.2.2.3.173,4300,4332,713,717,ref-t.00001.00001.00001.00015.00003,ref-t.00001.00001.00001.00015.00007,96174,96206,15205,15209,ref-mek.00002.00002.00003.00169,ref-mek.00002.00002.00003.00173,ויהי בשלם סוכו ומעונתו בציון ,ויהי בשלם סוכו והעונתו בציון ,ref-mek
11164,ref-t.1.1.1.15.98-ref-t.1.1.1.15.103,ref-mek.3.10.1.234-ref-mek.3.10.1.239,4800,4828,803,808,ref-t.00001.00001.00001.00015.00098,ref-t.00001.00001.00001.00015.00103,175023,175048,28527,28532,ref-mek.00003.00010.00001.00234,ref-mek.00003.00010.00001.00239,האמרים ערו ערו עד היסוד בה ,אמרו ערו ערו עד היסוד בה ,ref-mek
