,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
18489,ref-t.1.1.1.4.40-ref-t.1.1.1.4.54,ref-sifra.5.1.23.86-ref-sifra.5.1.23.103,1268,1337,188,200,ref-t.00001.00001.00001.00004.00040,ref-t.00001.00001.00001.00004.00054,244445,244530,35874,35889,ref-sifra.00005.00001.00023.00086,ref-sifra.00005.00001.00023.00103,אמ' לו ישמעאל אחי לאחד או' לו מפני מה זקנך מגודל והוא או' להם יהיה ,אמר לו אהרן אחי מסיני נאמר לי עתיד אני לקדש את הבית הזה באדם גדול אני מקדשו הייתי ,ref-sifra
18490,ref-t.1.1.1.10.37-ref-t.1.1.1.10.54,ref-sifra.5.04-06.5.20-ref-sifra.5.04-06.5.39,2675,2767,422,437,ref-t.00001.00001.00001.00010.00037,ref-t.00001.00001.00001.00010.00054,276600,276700,40869,40885,ref-sifra.00005.04-06.00005.00020,ref-sifra.00005.04-06.00005.00039,ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא ,הים זו חיה טהורה חיה טמאה מנין_תלמוד_לומר ההולכת על ארבע בכל החיה בכל החיה להביא את הפיל להביא ,ref-sifra
18491,ref-t.1.1.1.14.17-ref-t.1.1.1.14.25,ref-sifra.2.01-01.12.15-ref-sifra.2.01-01.12.23,4016,4061,662,669,ref-t.00001.00001.00001.00014.00017,ref-t.00001.00001.00001.00014.00025,7204,7244,1192,1199,ref-sifra.00002.01-01.00012.00015,ref-sifra.00002.01-01.00012.00023,הוא אברם עד שלא נדבר עמו והוא אברהם משנדבר ,הוא משה עד שלא נדבר עמו הוא משה משנדבר ,ref-sifra
18492,ref-t.1.1.1.14.37-ref-t.1.1.1.14.58,ref-sifra.2.01-01.12.1-ref-sifra.2.01-01.12.23,4124,4231,680,700,ref-t.00001.00001.00001.00014.00037,ref-t.00001.00001.00001.00014.00058,7133,7244,1179,1199,ref-sifra.00002.01-01.00012.00001,ref-sifra.00002.01-01.00012.00023,משה משה אברהם אברהם יעקב יעקב שמואל שמואל כולן לשון חיבה לשון זירוז הן הן עד שלא נדבר עמהן והן הן משנדבר ,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז דבר אחר הוא משה עד שלא נדבר עמו הוא משה משנדבר ,ref-sifra
18493,ref-t.1.1.3.6.82-ref-t.1.1.3.6.87,ref-sifra.5.1.20.81-ref-sifra.5.1.20.86,10870,10905,1799,1804,ref-t.00001.00001.00003.00006.00082,ref-t.00001.00001.00003.00006.00087,243203,243236,35657,35662,ref-sifra.00005.00001.00020.00081,ref-sifra.00005.00001.00020.00086,רננו צדיקים בייי לישרים נאוה תהלה ,רננו צדיקים בה' לישרים נאוה תהלה ,ref-sifra
18494,ref-t.1.1.3.16.31-ref-t.1.1.3.16.37,ref-sifra.10.03-04.10.8-ref-sifra.10.03-04.10.14,13513,13559,2193,2199,ref-t.00001.00001.00003.00016.00031,ref-t.00001.00001.00003.00016.00037,442068,442116,67313,67319,ref-sifra.00010.03-04.00010.00008,ref-sifra.00010.03-04.00010.00014,בצפון פניהם לדרום בדרום פניהם לצפון במזרח ,צפונית צפונית מערבית מערבית דרומית דרומית מזרחית ,ref-sifra
18495,ref-t.1.1.4.15.53-ref-t.1.1.4.15.57,ref-sifra.3.09-15.6.5-ref-sifra.3.09-15.6.9,18243,18269,2957,2961,ref-t.00001.00001.00004.00015.00053,ref-t.00001.00001.00004.00015.00057,133780,133808,19322,19326,ref-sifra.00003.09-15.00006.00005,ref-sifra.00003.09-15.00006.00009,חטין פת שעורין ופת כוסמין ,חטין ופת שעורים ופת כוסמין ,ref-sifra
18496,ref-t.1.1.5.6.21-ref-t.1.1.5.6.35,ref-sifra.5.1.39.8-ref-sifra.5.1.39.15,22574,22657,3656,3670,ref-t.00001.00001.00005.00006.00021,ref-t.00001.00001.00005.00006.00035,252450,252500,37141,37148,ref-sifra.00005.00001.00039.00008,ref-sifra.00005.00001.00039.00015,מתחילין מן הגדול לאחר המזון מתחילין מן המברך רצה לחלוק כבוד לרבו או למי שגדול ,רבי אומר בגדולה מתחילין מן הגדול ובקללה מתחילין ,ref-sifra
18497,ref-t.1.1.6.19.1-ref-t.1.1.6.19.12,ref-sifra.11.03-07.9.3-ref-sifra.11.03-07.9.13,32793,32858,5326,5337,ref-t.00001.00001.00006.00019.00001,ref-t.00001.00001.00006.00019.00012,504947,505019,76992,77002,ref-sifra.00011.03-07.00009.00003,ref-sifra.00011.03-07.00009.00013,לא יכנס אדם להר הבית במעות צרורין לו בסדינו ובאבק שעל רגליו ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ,ref-sifra
18498,ref-t.1.2.1.5.1-ref-t.1.2.1.5.29,ref-sifra.11.01-01.9.19-ref-sifra.11.01-01.9.29,35291,35438,5740,5764,ref-t.00001.00002.00001.00005.00001,ref-t.00001.00002.00001.00005.00029,487268,487319,74183,74192,ref-sifra.00011.01-01.00009.00019,ref-sifra.00011.01-01.00009.00029,נותן אדם פיאה מבתחילה ובאמצעה ובסוף ואם נתן בין בתחילה בין באמצע בין בסוף יצא ר'_שמעון_או'_אם נתן בין בתחילה בין באמצע בין בסוף הרי זו פיאה ,בסוף מיכן אמרו נתן בין בתחלה בין באמצע הרי זו פאה ,ref-sifra
