,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
21389,ref-t.1.2.1.11.8-ref-t.1.2.1.11.15,ref-sifre-n.110.2.129-ref-sifre-n.110.2.145,37496,37540,6096,6103,ref-t.00001.00002.00001.00011.00008,ref-t.00001.00002.00001.00011.00015,158873,158972,24944,24958,ref-sifre-n.00110.00002.00129,ref-sifre-n.00110.00002.00145,פטור מן הלקט ומן השכחה ומן הפיאה וחייב ,שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
21390,ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.126-ref-sifre-n.110.2.145,39210,39281,6377,6388,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00011.00003,158858,158972,24941,24958,ref-sifre-n.00110.00002.00126,ref-sifre-n.00110.00002.00145,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות הלקט והשכחה והפאה ,לקט שכחה ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן ,ref-sifre-n
21391,ref-t.1.2.2.10.20-ref-t.1.2.2.11.3,ref-sifre-n.110.2.169-ref-sifre-n.110.2.180,39210,39281,6377,6388,ref-t.00001.00002.00002.00010.00020,ref-t.00001.00002.00002.00011.00003,159115,159181,24982,24991,ref-sifre-n.00110.00002.00169,ref-sifre-n.00110.00002.00180,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות הלקט והשכחה והפאה ,שפטורים מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר ,ref-sifre-n
21392,ref-t.1.2.3.6.21-ref-t.1.2.3.6.36,ref-sifre-n.134.2.193-ref-sifre-n.134.2.207,43298,43368,7019,7032,ref-t.00001.00002.00003.00006.00021,ref-t.00001.00002.00003.00006.00036,241173,241244,38267,38280,ref-sifre-n.00134.00002.00193,ref-sifre-n.00134.00002.00207,שהורע כח עני בה הרי היא מצלת את העומר עומר שייפה כח עני בו אינו דין ,שהורע כחה במקום הבן הרי היא יורשת בת הבן בן שיפה כחו במקום הבן דין ,ref-sifre-n
21393,ref-t.1.3.2.6.2-ref-t.1.3.2.7.7,ref-sifre-n.122.1.126-ref-sifre-n.122.1.134,56540,56635,9146,9162,ref-t.00001.00003.00002.00006.00002,ref-t.00001.00003.00002.00007.00007,204762,204807,32358,32365,ref-sifre-n.00122.00001.00126,ref-sifre-n.00122.00001.00134,שקבל עליו כל מתנות עבודות כהונה חוץ מדבר אחד אין מקבלין אותו בן לוי שקבל עליו כל עבודות לויה ,בן לוי שקיבל עליו כל עבודת לויה חוץ מדבר אחד ,ref-sifre-n
21394,ref-t.1.3.2.7.67-ref-t.1.3.2.7.74,ref-sifre-n.5.1.26-ref-sifre-n.5.1.33,56985,57032,9216,9223,ref-t.00001.00003.00002.00007.00067,ref-t.00001.00003.00002.00007.00074,10301,10346,1524,1530,ref-sifre-n.00005.00001.00026,ref-sifre-n.00005.00001.00033,אף ממתנות גבילין ת'ל ראשית דגנך תירושך ויצהרך ,אף משמרה תלמוד לומר ראשית דגנך תירושך ויצהרך ,ref-sifre-n
21395,ref-t.1.3.4.14.2-ref-t.1.3.4.15.11,ref-sifre-n.120.1.125-ref-sifre-n.120.1.137,66152,66292,10647,10671,ref-t.00001.00003.00004.00014.00002,ref-t.00001.00003.00004.00015.00011,201659,201733,31877,31889,ref-sifre-n.00120.00001.00125,ref-sifre-n.00120.00001.00137,מפירות חוצה לארץ על פירות הארץ כדי שירבו על פירות הארץ לפוטרן מן המעשרות מצרפין מפירות חוצה לארץ על פירות שנייה כדי שירבו על פירות ,"מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו ",ref-sifre-n
21396,ref-t.1.4.1.11.18-ref-t.1.4.1.11.24,ref-sifre-n.110.1.215-ref-sifre-n.110.1.222,91086,91125,14654,14660,ref-t.00001.00004.00001.00011.00018,ref-t.00001.00004.00001.00011.00024,157550,157588,24737,24744,ref-sifre-n.00110.00001.00215,ref-sifre-n.00110.00001.00222,תרום לי גרני ותרמה וחזרה תרומה לגורן ,כתרומת גרן כן תרימו אותה מה תרומת גרן ,ref-sifre-n
21397,ref-t.1.4.1.11.18-ref-t.1.4.1.11.24,ref-sifre-n.110.1.281-ref-sifre-n.110.1.287,91086,91125,14654,14660,ref-t.00001.00004.00001.00011.00018,ref-t.00001.00004.00001.00011.00024,157875,157912,24794,24800,ref-sifre-n.00110.00001.00281,ref-sifre-n.00110.00001.00287,תרום לי גרני ותרמה וחזרה תרומה לגורן ,כתרומת גרן כן תרימו אותה לתרומת גרן ,ref-sifre-n
21398,ref-t.1.4.2.6.3-ref-t.1.4.2.6.22,ref-sifre-n.120.1.82-ref-sifre-n.120.1.109,92070,92172,14812,14830,ref-t.00001.00004.00002.00006.00003,ref-t.00001.00004.00002.00006.00022,201433,201579,31834,31861,ref-sifre-n.00120.00001.00082,ref-sifre-n.00120.00001.00109,תורמין מן החדש על הישן אין תורמין מפירות שנה זו על פירות שנה שעברה ולא מפרות שנה שעברה על פירו' ,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות ,ref-sifre-n
