,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
22050,ref-t.1.1.1.1.6-ref-t.1.1.1.1.20,ref-y.01.01.1.00.3-ref-y.01.01.1.00.19,28,113,4,14,ref-t.00001.00001.00001.00001.00006,ref-t.00001.00001.00001.00001.00020,10,107,2,14,ref-y.00001.00001.00001.00000.00003,ref-y.00001.00001.00001.00000.00019,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים ,משעה שהכהנים נכנסין לוכל בתרומתן תני_רבי_חייא משעה שדרך_בני_אדם נכנסין לאכול פיתן בלילי שבת ,ref-y
22051,ref-t.1.1.1.1.6-ref-t.1.1.1.1.19,ref-y.01.01.1.00.38-ref-y.01.01.1.00.47,28,104,4,13,ref-t.00001.00001.00001.00001.00006,ref-t.00001.00001.00001.00001.00019,213,264,33,40,ref-y.00001.00001.00001.00000.00038,ref-y.00001.00001.00001.00000.00047,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה ,משעה שדרך_בני_אדם נכנסין לאכול פתן בלילי שבת שעה ,ref-y
22052,ref-t.1.1.1.1.24-ref-t.1.1.1.1.41,ref-y.01.01.1.00.181-ref-y.01.01.1.00.203,130,235,18,29,ref-t.00001.00001.00001.00001.00024,ref-t.00001.00001.00001.00001.00041,938,1073,145,159,ref-y.00001.00001.00001.00000.00181,ref-y.00001.00001.00001.00000.00203,וסימן לדבר צאת הכוכבים אע'פ_שאין_ראיה_לדבר_זכר_לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,סימן לדבר משיצאו הכוכבים ואף_על_פי_שאין_ראיה_לדבר_זכר_לדבר ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-y
22053,ref-t.1.1.1.1.52-ref-t.1.1.1.1.69,ref-y.01.01.1.00.2222-ref-y.01.01.1.00.2237,288,377,38,52,ref-t.00001.00001.00001.00001.00052,ref-t.00001.00001.00001.00001.00069,11641,11722,1871,1884,ref-y.00001.00001.00001.00000.02222,ref-y.00001.00001.00001.00000.02237,אחת עד שלא עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,אחת לפני עמוד השחר ואחת לאחר עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,ref-y
22054,ref-t.1.1.1.1.55-ref-t.1.1.1.1.62,ref-y.01.01.1.00.2680-ref-y.01.01.1.00.2689,300,345,40,47,ref-t.00001.00001.00001.00001.00055,ref-t.00001.00001.00001.00001.00062,14040,14091,2246,2255,ref-y.00001.00001.00001.00000.02680,ref-y.00001.00001.00001.00000.02689,עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא ,שיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא ,ref-y
22055,ref-t.1.1.1.2.16-ref-t.1.1.1.2.27,ref-y.01.01.1.00.2882-ref-y.01.01.1.00.2892,679,740,100,111,ref-t.00001.00001.00001.00002.00016,ref-t.00001.00001.00001.00002.00027,15117,15180,2419,2429,ref-y.00001.00001.00001.00000.02882,ref-y.00001.00001.00001.00000.02892,מצותה עם הנץ החמה כדי שיהא סומך לה תפלה ונמצא מתפלל ביום ,מצותה עם הנץ החמה כדי שיסמוך גאולה לתפילה ונמצא מתפלל ביום ,ref-y
22056,ref-t.1.1.1.2.20-ref-t.1.1.1.2.46,ref-y.01.01.1.00.2910-ref-y.01.01.1.00.2939,699,829,104,123,ref-t.00001.00001.00001.00002.00020,ref-t.00001.00001.00001.00002.00046,15274,15431,2444,2467,ref-y.00001.00001.00001.00000.02910,ref-y.00001.00001.00001.00000.02939,כדי שיהא סומך לה תפלה ונמצא מתפלל ביום אמ' ר' יהוד' פעם אחת הייתי מהלך אחר ר' עקיבא ואחר ר' אלעזר_בן_עזריה והגיע זמן קרית שמע ,כדי שיסמכו לה תפילתן עם הנץ החמה תני_אמר_רבי_יודה מעשה שהייתי מהלך בדרך אחרי רבי_אלעזר_בן_עזריה ואחרי רבי עקיבה והיו עסוקים במצות והגיע עונת קרית שמע ,ref-y
22057,ref-t.1.1.1.2.56-ref-t.1.1.1.3.8,ref-y.01.01.1.00.2934-ref-y.01.01.1.00.2957,888,998,133,151,ref-t.00001.00001.00001.00002.00056,ref-t.00001.00001.00001.00003.00008,15397,15534,2462,2484,ref-y.00001.00001.00001.00000.02934,ref-y.00001.00001.00001.00000.02957,קריתי ושניתי ואחר כך התחילו הן וכבר נראת חמה על ראשי ההרים החתנים וכל העסוקין במצות פטורין מן קרית שמע ,עסוקים במצות והגיע עונת קרית שמע והייתי סבור שמא נתייאשו מקרית שמע וקריתי ושניתי ואחר כך התחילו הם וכבר היתה החמה על ראשי ההרים ,ref-y
22058,ref-t.1.1.1.3.12-ref-t.1.1.1.4.25,ref-y.01.01.1.00.3355-ref-y.01.01.1.00.3382,1016,1204,155,179,ref-t.00001.00001.00001.00003.00012,ref-t.00001.00001.00001.00004.00025,17663,17824,2809,2835,ref-y.00001.00001.00001.00000.03355,ref-y.00001.00001.00001.00000.03382,בשבתך בביתיך פרט לעסוקים במצות ובלכתך בדרך פרט לחתנים מעשה בר' ישמעאל ור' אלעזר_בן_עזריה שהיו שרויין במקום אחד והיה ר' ישמעאל מוטה ור' אלעזר_בן_עזריה זקוף הגיע זמן קרית שמע נזקף ,"בשבתך בביתך פרט לעוסקים במצות ובלכתך בדרך פרט לחתן ותני מעשה בראב""ע ור' ישמעאל שהיו שרויין במקום אחד והוה ראב""ע מוטה ור' ישמעאל זקוף הגיע זמן ק""ש נזקף ",ref-y
22059,ref-t.1.1.1.4.46-ref-t.1.1.1.4.86,ref-y.01.01.1.00.3396-ref-y.01.01.1.00.3428,1296,1514,193,228,ref-t.00001.00001.00001.00004.00046,ref-t.00001.00001.00001.00004.00086,17891,18080,2844,2876,ref-y.00001.00001.00001.00000.03396,ref-y.00001.00001.00001.00000.03428,לו מפני מה זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי אתה שהיית מוטה נזקפתה אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים בית הלל דבר אחר שלא יראו התלמידים ויעשו קבע הלכה כדבריך ,"לך זקנך מגודל והוא אומר יהיה כנגד המשחיתים אני שהייתי מוטה נזקפתי ואתה שהיית זקוף הטית א""ל אתה נזקפת כדברי ב""ש ואני הטיתי כדברי ב""ה ד""א שלא יראוני התלמידים ויעשו הלכה קבע כדברי ",ref-y
