,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
12034,ref-y.01.01.1.00.193-ref-y.01.01.1.00.203,ref-bible.0310.4.15.1-ref-bible.0310.4.15.11,1000,1073,150,159,ref-y.00001.00001.00001.00000.00193,ref-y.00001.00001.00001.00000.00203,1402000,1402071,240961,240970,ref-bible.00310.00004.00015.00001,ref-bible.00310.00004.00015.00011,ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-bible
12035,ref-y.01.01.1.00.194-ref-y.01.01.1.00.198,ref-bible.0310.4.10.7-ref-bible.0310.4.10.11,1008,1045,151,155,ref-y.00001.00001.00001.00000.00194,ref-y.00001.00001.00001.00000.00198,1401606,1401642,240899,240903,ref-bible.00310.00004.00010.00007,ref-bible.00310.00004.00010.00011,עושים במלאכה וחציים מחזיקים ברמחים ,עשים במלאכה וחצים מחזיקים והרמחים ,ref-bible
12036,ref-y.01.01.1.00.741-ref-y.01.01.1.00.747,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,3890,3923,607,612,ref-y.00001.00001.00001.00000.00741,ref-y.00001.00001.00001.00000.00747,32047,32079,5610,5615,ref-bible.00101.00019.00023.00001,ref-bible.00101.00019.00023.00007,השמש יצא על הארץ ולוט בא צוערה ,השמש יצא על הארץ ולוט בא צערה ,ref-bible
12037,ref-y.01.01.1.00.922-ref-y.01.01.1.00.931,ref-bible.0301.103.21.1-ref-bible.0301.103.22.4,4850,4895,760,768,ref-y.00001.00001.00001.00000.00922,ref-y.00001.00001.00001.00000.00931,1225314,1225368,208405,208415,ref-bible.00301.00103.00021.00001,ref-bible.00301.00103.00022.00004,ברכו את ה' כל צבאיו בשלישית ברכו ה' כל מעשיו ,ברכו יהוה כל צבאיו משרתיו עשי רצונו ברכו יהוה כל מעשיו ,ref-bible
12038,ref-y.01.01.1.00.937-ref-y.01.01.1.00.957,ref-bible.0301.134.1.1-ref-bible.0301.134.3.3,4929,5040,773,792,ref-y.00001.00001.00001.00000.00937,ref-y.00001.00001.00001.00000.00957,1247601,1247715,212432,212449,ref-bible.00301.00134.00001.00001,ref-bible.00301.00134.00003.00003,שיר המעלות הנה ברכו את ה' כל עבדי ה' העומדים בבית ה' בלילות בשנייה שאו ידיכם קודש בשלישית יברכך ה' מציון ,שיר המעלות הנה ברכו_את_יהוה כל עבדי יהוה העמדים בבית יהוה בלילות שאו ידכם קדש וברכו_את_יהוה יברכך יהוה מציון ,ref-bible
12039,ref-y.01.01.1.00.999-ref-y.01.01.1.00.1005,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,5284,5317,830,835,ref-y.00001.00001.00001.00000.00999,ref-y.00001.00001.00001.00000.01005,32047,32079,5610,5615,ref-bible.00101.00019.00023.00001,ref-bible.00101.00019.00023.00007,השמש יצא על הארץ ולוט בא צוערה ,השמש יצא על הארץ ולוט בא צערה ,ref-bible
12040,ref-y.01.01.1.00.1119-ref-y.01.01.1.00.1129,ref-bible.0308.6.10.9-ref-bible.0308.6.11.5,5917,5974,930,938,ref-y.00001.00001.00001.00000.01119,ref-y.00001.00001.00001.00000.01129,1366771,1366881,234893,234912,ref-bible.00308.00006.00010.00009,ref-bible.00308.00006.00011.00005,יושב בשער המלך ואחר כך ויקח המן את הלבוש ואת הסוס ,הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך אל תפל דבר מכל אשר דברת ויקח המן את הלבוש ואת ,ref-bible
12041,ref-y.01.01.1.00.1215-ref-y.01.01.1.00.1222,ref-bible.0302.8.27.2-ref-bible.0302.8.27.9,6420,6460,1016,1022,ref-y.00001.00001.00001.00000.01215,ref-y.00001.00001.00001.00000.01222,1265829,1265863,215747,215753,ref-bible.00302.00008.00027.00002,ref-bible.00302.00008.00027.00009,שמים יתהלך וכתיב בחוקו חוג על פני תהום ,שמים שם אני בחוקו חוג על פני תהום ,ref-bible
12042,ref-y.01.01.1.00.1255-ref-y.01.01.1.00.1261,ref-bible.0301.1.3.1-ref-bible.0301.1.3.9,6614,6646,1047,1053,ref-y.00001.00001.00001.00000.01255,ref-y.00001.00001.00001.00000.01261,1153718,1153759,195134,195142,ref-bible.00301.00001.00003.00001,ref-bible.00301.00001.00003.00009,והיה כעץ שתול על פלגי מים תני ,והיה כעץ שתול על פלגי מים אשר פריו יתן ,ref-bible
12043,ref-y.01.01.1.00.1262-ref-y.01.01.1.00.1276,ref-bible.0101.2.9.12-ref-bible.0101.2.10.6,6647,6722,1054,1067,ref-y.00001.00001.00001.00000.01262,ref-y.00001.00001.00001.00000.01276,2914,2985,486,498,ref-bible.00101.00002.00009.00012,ref-bible.00101.00002.00010.00006,עץ חיים אחד מששים לגן הגן אחד מששים לעדן ונהר יוצא מעדן להשקות את הגן ,ועץ החיים בתוך הגן ועץ הדעת טוב ורע ונהר יצא מעדן להשקות את הגן ,ref-bible
