,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
15385,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,ref-m.5.7.5.5.37-ref-m.5.7.5.5.56,1332,1417,204,217,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00270,759002,759102,118211,118220,ref-m.00005.00007.00005.00005.00037,ref-m.00005.00007.00005.00005.00056,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,מביא_אשם_תלוי דברי_רבי_עקיבא_רבי_שמעון_אומר שניהם מביאים חטאת אחת רבי_יוסי_אומר_אין שנים מביאים חטאת ,ref-m
15386,ref-y.01.01.1.00.254-ref-y.01.01.1.00.271,ref-m.5.7.5.7.17-ref-m.5.7.5.7.30,1332,1431,204,218,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00271,759455,759522,118270,118278,ref-m.00005.00007.00005.00007.00017,ref-m.00005.00007.00005.00007.00030,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים מביא_אשם_תלוי ,מביא חטאת רבי_עקיבא_אומר מביא_אשם_תלוי אכל את השניה מביא שתי חטאות ,ref-m
15387,ref-y.01.01.1.00.254-ref-y.01.01.1.00.271,ref-m.5.7.5.7.41-ref-m.5.7.5.7.52,1332,1431,204,218,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00271,759572,759638,118287,118296,ref-m.00005.00007.00005.00007.00041,ref-m.00005.00007.00005.00007.00052,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים מביא_אשם_תלוי ,השניה זה מביא חטאת וזה מביא חטאת רבי_עקיבא_אומר זה מביא_אשם_תלוי ,ref-m
15388,ref-y.01.01.1.00.635-ref-y.01.01.1.00.669,ref-m.6.9.1.5.46-ref-m.6.9.1.6.32,3331,3538,519,551,ref-y.00001.00001.00001.00000.00635,ref-y.00001.00001.00001.00000.00669,1007179,1007378,156868,156899,ref-m.00006.00009.00001.00005.00046,ref-m.00006.00009.00001.00006.00032,כד תנינן תמן ראה אחת ביום ואחת בין השמשות אחת בין השמשות ואחת למחר אם יודע שמקצת הראייה מהיום ומקצתה למחר ודאי לטומאה ולקרבן ואם ספק שמקצת הראיה מהיום ומקצתה למחר ודאי לטומאה וספק לקרבן ,כדי שלש ראה אחת היום ואחת בין השמשות אחת בין השמשות ואחת למחר אם ידוע שמקצת הראיה מהיום ומקצתה למחר ודאי לקרבן ולטומאה אם ספק שמקצת הראיה מהיום ומקצתה למחר ודאי לטומאה וספק לקרבן ,ref-m
15389,ref-y.01.01.1.00.2397-ref-y.01.01.1.00.2413,ref-m.6.2.2.6.1-ref-m.6.2.2.6.17,12525,12613,2002,2017,ref-y.00001.00001.00001.00000.02397,ref-y.00001.00001.00001.00000.02413,860117,860217,134239,134254,ref-m.00006.00002.00002.00006.00001,ref-m.00006.00002.00002.00006.00017,השדרה והגולגולת מב' מתים רביעית דם מב' מתים ורובע עצמות מב' מתים אבר מן המת מב' מתים ,השדרה והגולגולת משני מתים ורביעית דם משני מתים ורובע עצמות משני מתים ואבר מן המת משני מתים ,ref-m
15390,ref-y.01.01.1.00.2496-ref-y.01.01.1.00.2509,ref-m.1.5.9.1.39-ref-m.1.5.9.1.52,13068,13153,2088,2099,ref-y.00001.00001.00001.00000.02496,ref-y.00001.00001.00001.00000.02509,64681,64767,10025,10036,ref-m.00001.00005.00009.00001.00039,ref-m.00001.00005.00009.00001.00052,מותרין חוץ מספיחי כרוב שאין כיוצא בהן בירקות שדה וחכמים_אומרים_כל הספחין אסורין ,מותרין חוץ מספיחי כרוב שאין כיוצא בהם בירקות שדה וחכמים_אומרים_כל הספיחין אסורין ,ref-m
15391,ref-y.01.01.1.00.2598-ref-y.01.01.1.00.2607,ref-m.1.1.1.1.62-ref-m.1.1.1.1.69,13614,13675,2174,2183,ref-y.00001.00001.00001.00000.02598,ref-y.00001.00001.00001.00000.02607,318,364,46,53,ref-m.00001.00001.00001.00001.00062,ref-m.00001.00001.00001.00001.00069,הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר ,שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד ,ref-m
15392,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-m.4.10.1.4.38-ref-m.4.10.1.4.47,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,624107,624156,97184,97193,ref-m.00004.00010.00001.00004.00038,ref-m.00004.00010.00001.00004.00047,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,שנאמר כאן עדה ונאמר להלן עדה מה עדה האמור להלן ,ref-m
15393,ref-y.01.01.1.00.2664-ref-y.01.01.1.00.2687,ref-m.1.1.1.1.62-ref-m.1.1.1.1.87,13963,14080,2233,2253,ref-y.00001.00001.00001.00000.02664,ref-y.00001.00001.00001.00000.02687,318,457,46,69,ref-m.00001.00001.00001.00001.00062,ref-m.00001.00001.00001.00001.00087,"כל הנאכלין ליום אחד קדשים קלים וא""כ למה אמרו חכמים וכו' אם את הוא אומר עד שיעלה עמוד השחר הוא סבור שלא עלה עמוד ",שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם_כן_למה אמרו חכמים עד ,ref-m
15394,ref-y.01.01.1.00.3212-ref-y.01.01.1.00.3223,ref-m.2.1.1.2.23-ref-m.2.1.1.2.30,16867,16938,2677,2686,ref-y.00001.00001.00001.00000.03212,ref-y.00001.00001.00001.00000.03223,129354,129406,19886,19892,ref-m.00002.00001.00001.00002.00023,ref-m.00002.00001.00001.00002.00030,"מפסיקין לק""ש ואין מפסיקין לתפילה ר'_חנינא_בן עקביא אומר כשם שמפסיקין ",מפסיקים מפסיקים לקרות קריאת שמע ואין מפסיקין לתפלה ,ref-m
