,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
25888,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2645,ref-sifre-n.10.1.196-ref-sifre-n.10.1.206,13806,13868,2206,2218,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02645,21749,21801,3269,3279,ref-sifre-n.00010.00001.00196,ref-sifre-n.00010.00001.00206,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף כאן ,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן כאן ,ref-sifre-n
25889,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.12.1.11-ref-sifre-n.12.1.20,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,23318,23372,3535,3544,ref-sifre-n.00012.00001.00011,ref-sifre-n.00012.00001.00020,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן שבועה ונאמר להלן שבועה מה שבועה האמורה להלן ,ref-sifre-n
25890,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.16.1.18-ref-sifre-n.16.1.27,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,27053,27106,4116,4125,ref-sifre-n.00016.00001.00018,ref-sifre-n.00016.00001.00027,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן וכתב ונאמר להלן וכתב מה וכתב האמור להלן ,ref-sifre-n
25891,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-n.25.1.643-ref-sifre-n.25.1.664,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,42885,42995,6419,6430,ref-sifre-n.00025.00001.00643,ref-sifre-n.00025.00001.00664,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה_בו_ימים_שלאחר_נזירות_כימים_שבתוך_נזירות_עד_הבאת_קרבן אף ,ref-sifre-n
25892,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.26.1.407-ref-sifre-n.26.1.416,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,45379,45426,6782,6791,ref-sifre-n.00026.00001.00407,ref-sifre-n.00026.00001.00416,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן ,ref-sifre-n
25893,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-n.29.1.150-ref-sifre-n.29.1.165,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,48867,48952,7300,7311,ref-sifre-n.00029.00001.00150,ref-sifre-n.00029.00001.00165,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן שמיני ונאמר להלן שמיני מה שמיני האמור להלן הכשיר_בו_שמיני_ומשמיני_והלאה אף ,ref-sifre-n
25894,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.30.1.833-ref-sifre-n.30.1.842,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,53512,53562,7816,7825,ref-sifre-n.00030.00001.00833,ref-sifre-n.00030.00001.00842,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,ref-sifre-n
25895,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.31.3.323-ref-sifre-n.31.3.332,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,57253,57303,8176,8185,ref-sifre-n.00031.00003.00323,ref-sifre-n.00031.00003.00332,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן ,ref-sifre-n
25896,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-sifre-n.39.1.88-ref-sifre-n.39.1.99,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,62837,62899,9056,9067,ref-sifre-n.00039.00001.00088,ref-sifre-n.00039.00001.00099,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ,ref-sifre-n
25897,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2642,ref-sifre-n.73.2.58-ref-sifre-n.73.2.67,13806,13856,2206,2215,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02642,98137,98191,14768,14777,ref-sifre-n.00073.00002.00058,ref-sifre-n.00073.00002.00067,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן ,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן ,ref-sifre-n
