,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
27653,ref-y.01.01.1.00.3-ref-y.01.01.1.00.19,ref-t.1.1.1.1.6-ref-t.1.1.1.1.22,10,107,2,14,ref-y.00001.00001.00001.00000.00003,ref-y.00001.00001.00001.00000.00019,28,121,4,16,ref-t.00001.00001.00001.00001.00006,ref-t.00001.00001.00001.00001.00022,משעה שהכהנים נכנסין לוכל בתרומתן תני_רבי_חייא משעה שדרך_בני_אדם נכנסין לאכול פיתן בלילי שבת ,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים זכ לוכל ,ref-t
27654,ref-y.01.01.1.00.28-ref-y.01.01.1.00.46,ref-t.1.1.1.1.6-ref-t.1.1.1.1.22,152,260,23,39,ref-y.00001.00001.00001.00000.00028,ref-y.00001.00001.00001.00000.00046,28,121,4,16,ref-t.00001.00001.00001.00001.00006,ref-t.00001.00001.00001.00001.00022,משעה שהכהנים נכנסין לוכל בתרומתן יממא הוא ועם כוכביא הוא משעה שדרך_בני_אדם נכנסין לאכול פתן בלילי שבת ,משעה שבני אדן נכנסין לוכל פיתן בלילי שבתות דברי_ר'_מאיר_וחכמים_אומ' משעה שהכהנים זכ לוכל ,ref-t
27655,ref-y.01.01.1.00.181-ref-y.01.01.1.00.203,ref-t.1.1.1.1.24-ref-t.1.1.1.1.41,938,1073,145,159,ref-y.00001.00001.00001.00000.00181,ref-y.00001.00001.00001.00000.00203,130,235,18,29,ref-t.00001.00001.00001.00001.00024,ref-t.00001.00001.00001.00001.00041,סימן לדבר משיצאו הכוכבים ואף_על_פי_שאין_ראיה_לדבר_זכר_לדבר ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,וסימן לדבר צאת הכוכבים אע'פ_שאין_ראיה_לדבר_זכר_לדבר וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ref-t
27656,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,ref-t.5.8.3.7.30-ref-t.5.8.3.7.41,1332,1417,204,217,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00270,1241543,1241609,195755,195766,ref-t.00005.00008.00003.00007.00030,ref-t.00005.00008.00003.00007.00041,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,שנייה בהיעלם אחת מביא שתי חטאות ואשם בשתי העלמות מביא שלש חטאות ,ref-t
27657,ref-y.01.01.1.00.254-ref-y.01.01.1.00.270,ref-t.5.8.3.8.39-ref-t.5.8.3.8.51,1332,1417,204,217,ref-y.00001.00001.00001.00000.00254,ref-y.00001.00001.00001.00000.00270,1241804,1241876,195792,195804,ref-t.00005.00008.00003.00008.00039,ref-t.00005.00008.00003.00008.00051,שנים מביא_אשם_תלוי שלשה מביא חטאת במוצאי שבת ראה כוכב אחד ועשה מלאכה מביא חטאת שנים ,שנייה בהיעלם אחד מביא שלש חטאות ואשם ודאי בשני העלמות מביא ארבע חטאות ,ref-t
27658,ref-y.01.01.1.00.2222-ref-y.01.01.1.00.2237,ref-t.1.1.1.1.52-ref-t.1.1.1.1.69,11641,11722,1871,1884,ref-y.00001.00001.00001.00000.02222,ref-y.00001.00001.00001.00000.02237,288,377,38,52,ref-t.00001.00001.00001.00001.00052,ref-t.00001.00001.00001.00001.00069,אחת לפני עמוד השחר ואחת לאחר עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,אחת עד שלא עלה עמוד השחר ואחת משעלה עמוד השחר ונמצא יוצא ידי חובתו של יום ושל לילה ,ref-t
27659,ref-y.01.01.1.00.2363-ref-y.01.01.1.00.2368,ref-t.2.1.12.12.33-ref-t.2.1.12.12.38,12354,12384,1975,1980,ref-y.00001.00001.00001.00000.02363,ref-y.00001.00001.00001.00000.02368,269444,269475,41954,41959,ref-t.00002.00001.00012.00012.00033,ref-t.00002.00001.00012.00012.00038,רבי דבריך מבטל בחייך ואמר לן ,רבינו תבטל דבריך בחייך אמ' לנו ,ref-t
27660,ref-y.01.01.1.00.2398-ref-y.01.01.1.00.2418,ref-t.4.7.1.7.46-ref-t.4.7.1.7.66,12532,12634,2003,2020,ref-y.00001.00001.00001.00000.02398,ref-y.00001.00001.00001.00000.02418,969254,969364,153371,153388,ref-t.00004.00007.00001.00007.00046,ref-t.00004.00007.00001.00007.00066,והגולגולת מב' מתים רביעית דם מב' מתים ורובע עצמות מב' מתים אבר מן המת מב' מתים אבר_מן_החי מב' אנשים ,והגולגולת משני מתים רביעית דם משני מתים רובע עצמות משני מתים אבר מן המת משני מתים אבר_מן_החי משני אנשים ,ref-t
27661,ref-y.01.01.1.00.2425-ref-y.01.01.1.00.2476,ref-t.6.4.4.2.12-ref-t.6.4.4.2.64,12668,12967,2027,2076,ref-y.00001.00001.00001.00000.02425,ref-y.00001.00001.00001.00000.02476,1326571,1326868,208805,208853,ref-t.00006.00004.00004.00002.00012,ref-t.00006.00004.00004.00002.00064,מעשה שהביאו קופה מליאה עצמות מכפר טבי והניחוה באויר הכנסת בלוד ונכנס תודרוס הרופא ונכנסו כל הרופאים עמו אמר תודרוס הרופא אין כאן שדרה ממת אחד ולא גולגולת ממת אחד אמרו הואיל ויש כאן מטהרין ויש כאן מטמאין נעמוד על המניין התחילו מרבי עקיבה וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור ,מעשה שהביאו קופות של עצמות מכפר טביא והניחום באויר בית הכנסת בלוד ונכנס תיאודו רוס הרופא וכל הרופאים עמו אמרו אין כאן שדרה ממת אחד ולא גולגולת ממת אחר אמרו הואיל ויש כאן מטמאין ויש כאן מטהרין נעמוד למניין התחילו מר' עקיבא וטיהר אמרו לו הואיל ואתה הי שהייתה מטמא טיהרתה יהו טהורין ,ref-t
27662,ref-y.01.01.1.00.2463-ref-y.01.01.1.00.2476,ref-t.4.4.7.1.168-ref-t.4.4.7.1.176,12886,12967,2064,2076,ref-y.00001.00001.00001.00000.02463,ref-y.00001.00001.00001.00000.02476,905929,905979,143292,143300,ref-t.00004.00004.00007.00001.00168,ref-t.00004.00004.00007.00001.00176,נעמוד על המניין התחילו מרבי עקיבה וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור ,עומדין למניין אם רבו מטמין טימאו רבו מטהרין טיהרו ,ref-t
27663,ref-y.01.01.1.00.2463-ref-y.01.01.1.00.2476,ref-t.2.12.2.9.155-ref-t.2.12.2.9.163,12886,12967,2064,2076,ref-y.00001.00001.00001.00000.02463,ref-y.00001.00001.00001.00000.02476,501663,501714,78235,78243,ref-t.00002.00012.00002.00009.00155,ref-t.00002.00012.00002.00009.00163,נעמוד על המניין התחילו מרבי עקיבה וטיהר אמרו לו הואיל והיית מטמא וטיהרת טהור ,עומדין במנין אם רבו המטמאין או רבו המטהרין טיהרו ,ref-t
27664,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-t.3.5.7.22.82-ref-t.3.5.7.22.93,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,655867,655922,103463,103474,ref-t.00003.00005.00007.00022.00082,ref-t.00003.00005.00007.00022.00093,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמ' כאן אחר ונאמ' להלן אחר מה אחר שנאמ' להלן נכרי אף ,ref-t
27665,ref-y.01.01.1.00.2633-ref-y.01.01.1.00.2644,ref-t.4.4.13.9.55-ref-t.4.4.13.9.68,13806,13864,2206,2217,ref-y.00001.00001.00001.00000.02633,ref-y.00001.00001.00001.00000.02644,929151,929227,146962,146975,ref-t.00004.00004.00013.00009.00055,ref-t.00004.00004.00013.00009.00068,נאמר כאן לילה ונאמר להלן לילה מה לילה שנאמר להלן חצות אף ,נאמ' כאן אבדה ונאמרה להלן אבדה מתבקשת מה אבידה האמורה להלן אבידה מתבקשת אף ,ref-t
