,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-bible.0105.16.3.16-ref-bible.0105.16.3.22,ref-m.1.1.1.5.26-ref-m.1.1.1.5.32,373467,373500,62386,62391,ref-bible.105.16.3.16,ref-bible.105.16.3.22,1397,1431,215,220,ref-m.1.1.1.5.26,ref-m.1.1.1.5.32,מצרים למען תזכר את יום צאתך מארץ ,למען תזכור את יום צאתך מארץ מצרים ,7,7,225,0,0.38235294117647056,0.0
2,ref-bible.0101.49.26.1-ref-bible.0101.49.26.10,ref-m.1.1.9.2.12-ref-m.1.1.9.2.21,103299,103344,18472,18481,ref-bible.101.49.26.1,ref-bible.101.49.26.10,10032,10087,1519,1528,ref-m.1.1.9.2.12,ref-m.1.1.9.2.21,ברכת אביך גברו על ברכת הורי עד תאות גבעת עולם ,ברוך שכחו וגבורתו מלא עולם על ההרים ועל הגבעות ועל ,10,10,18,2,0.5882352941176471,0.7857142857142857
3,ref-bible.0206.23.25.10-ref-bible.0206.23.25.16,ref-m.1.1.9.5.16-ref-m.1.1.9.5.22,772739,772775,130315,130321,ref-bible.206.23.25.10,ref-bible.206.23.25.16,10834,10870,1650,1656,ref-m.1.1.9.5.16,ref-m.1.1.9.5.22,בכל לבבו ובכל נפשו ובכל מאדו ככל ,בכל לבבך ובכל נפשך ובכל מאדך בכל ,7,7,303,3,0.12121212121212122,0.75
4,ref-bible.0305.2.4.1-ref-bible.0305.2.5.1,ref-m.1.1.9.5.118-ref-m.1.1.9.5.131,1344149,1344227,230775,230788,ref-bible.305.2.4.1,ref-bible.305.2.5.1,11383,11457,1744,1757,ref-m.1.1.9.5.118,ref-m.1.1.9.5.131,והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ויאמרו לו יברכך יהוה ויאמר ,והנה בעז בא מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו יברכך ה' ואומר ,14,14,444,4,0.1111111111111111,0.11111111111111116
5,ref-bible.0207.7.24.9-ref-bible.0207.7.25.5,ref-m.1.2.2.2.11-ref-m.1.2.2.2.15,788214,788251,132940,132946,ref-bible.207.7.24.9,ref-bible.207.7.25.5,12890,12919,1970,1974,ref-m.1.2.2.2.11,ref-m.1.2.2.2.15,כל הארץ וכל ההרים אשר במעדר יעדרון ,וכל ההרים אשר במעדר יעדרון ,7,5,308,5,0.22857142857142856,0.2857142857142857
6,ref-bible.0105.24.21.1-ref-bible.0105.24.21.5,ref-m.1.2.7.7.16-ref-m.1.2.7.7.29,388789,388810,65073,65077,ref-bible.105.24.21.1,ref-bible.105.24.21.5,22313,22379,3398,3407,ref-m.1.2.7.7.16,ref-m.1.2.7.7.29,כי תבצר כרמך לא תעולל ,כי תבצור לא תעולל אם אין בציר מנין עוללות אמר לו רבי עקיבא וכרמך ,5,14,252,6,0.7384615384615385,0.8181818181818181
7,ref-bible.0208.17.7.1-ref-bible.0208.17.7.8,ref-m.1.2.8.9.44-ref-m.1.2.8.9.51,899406,899449,152811,152818,ref-bible.208.17.7.1,ref-bible.208.17.7.8,24491,24529,3753,3760,ref-m.1.2.8.9.44,ref-m.1.2.8.9.51,ברוך הגבר אשר יבטח ביהוה והיה יהוה מבטחו ,ברוך הגבר אשר יבטח בה' והיה ה' מבטחו ,8,8,330,7,0.14634146341463414,0.19999999999999996
8,ref-bible.0102.23.8.1-ref-bible.0102.23.8.7,ref-m.1.2.8.9.98-ref-m.1.2.8.9.104,150687,150719,26573,26579,ref-bible.102.23.8.1,ref-bible.102.23.8.7,24761,24795,3804,3810,ref-m.1.2.8.9.98,ref-m.1.2.8.9.104,ושחד לא תקח כי השחד יעור פקחים ,ושוחד לא תקח כי השוחד יעור פקחים ,7,7,43,8,0.06060606060606061,0.0
9,ref-bible.0104.15.19.4-ref-bible.0104.15.20.9,ref-m.1.6.1.5.64-ref-m.1.6.1.6.6,289532,289606,48764,48776,ref-bible.104.15.19.4,ref-bible.104.15.20.9,69109,69173,10691,10702,ref-m.1.6.1.5.64,ref-m.1.6.1.6.6,הארץ תרימו תרומה ליהוה ראשית ערסתכם חלה תרימו תרומה כתרומת גרן כן תרימו ,הארץ ואם תרמו אין תרומתן תרומה חמשה לא יתרומו ואם תרמו תרומתן ,13,12,180,9,0.5833333333333334,0.8181818181818181
10,ref-bible.0102.22.28.1-ref-bible.0102.22.28.5,ref-m.1.6.3.6.21-ref-m.1.6.3.7.3,150216,150241,26474,26478,ref-bible.102.22.28.1,ref-bible.102.22.28.5,72648,72692,11263,11269,ref-m.1.6.3.6.21,ref-m.1.6.3.7.3,מלאתך ודמעך לא תאחר בכור ,מלאתך ודמעך לא תאחר ומנין שיקדמו הבכורים ,5,7,42,10,0.3902439024390244,0.5714285714285714
