,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-bible.0101.1.9.1-ref-bible.0101.1.9.9,ref-sifre-d.39.7.24-ref-sifre-d.39.7.31,469,516,74,82,ref-bible.101.1.9.1,ref-bible.101.1.9.9,63134,63175,10619,10626,ref-sifre-d.39.7.24,ref-sifre-d.39.7.31,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ,שנאמר יקוו המים מתחת השמים אל מקום אחד ,9,8,0,234,0.17777777777777778,0.21276595744680848,0.17777777777777778
1,ref-bible.0101.2.6.2-ref-bible.0101.2.6.9,ref-sifre-d.43.8.49-ref-sifre-d.43.8.55,2673,2710,444,449,ref-bible.101.2.6.2,ref-bible.101.2.6.9,77002,77036,12943,12947,ref-sifre-d.43.8.49,ref-sifre-d.43.8.55,יעלה מן הארץ והשקה את כל פני האדמה ,יעלה מן הארץ והשקה את פני האדמה ,8,7,1,312,0.08571428571428572,0.08571428571428574,0.08571428571428572
2,ref-bible.0101.2.14.11-ref-bible.0101.2.15.10,ref-sifre-d.41.24.13-ref-sifre-d.41.24.24,3224,3288,542,551,ref-bible.101.2.14.11,ref-bible.101.2.15.10,71848,71914,12092,12101,ref-sifre-d.41.24.13,ref-sifre-d.41.24.24,הוא פרת ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,כשהוא אומר ויקח ה' אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,12,12,2,288,0.14754098360655737,0.1384615384615384,0.09836065573770492
3,ref-bible.0101.3.1.18-ref-bible.0101.3.3.1,ref-sifre-d.105.13.11-ref-sifre-d.105.13.18,4083,4152,702,715,ref-bible.101.3.1.18,ref-bible.101.3.3.1,143981,144019,24071,24078,ref-sifre-d.105.13.11,ref-sifre-d.105.13.18,לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש מפרי עץ הגן נאכל ומפרי ,"נאכלים ת""ל מפרי העץ ולא כל פרי העץ ",14,8,3,603,0.7096774193548387,0.5076923076923077,0.6290322580645161
4,ref-bible.0101.3.12.1-ref-bible.0101.3.12.12,ref-sifre-d.1.14.107-ref-sifre-d.1.14.118,4787,4845,834,845,ref-bible.101.3.12.1,ref-bible.101.3.12.12,3161,3219,520,531,ref-sifre-d.1.14.107,ref-sifre-d.1.14.118,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל ,ויאמר האדם האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,12,12,4,10,0.05555555555555555,0.036363636363636376,0.037037037037037035
5,ref-bible.0101.3.24.1-ref-bible.0101.3.24.18,ref-sifre-d.40.14.34-ref-sifre-d.40.14.51,5694,5788,997,1011,ref-bible.101.3.24.1,ref-bible.101.3.24.18,68439,68535,11503,11517,ref-sifre-d.40.14.34,ref-sifre-d.40.14.51,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים ,ויגרש את האדם וישכן מקדם לגן עדן את הכרובים ואת להט החרב המתהפכת לשמור את דרך עץ החיים ,18,18,5,261,0.022988505747126436,0.02298850574712641,0.022988505747126436
6,ref-bible.0101.4.4.10-ref-bible.0101.4.5.6,ref-sifre-d.318.16.24-ref-sifre-d.318.16.29,6021,6065,1052,1061,ref-bible.101.4.4.10,ref-bible.101.4.5.6,329757,329783,55210,55215,ref-sifre-d.318.16.24,ref-sifre-d.318.16.29,אל הבל ואל מנחתו ואל קין ואל מנחתו לא שעה ,ואל קין ואל מנחתו לא שעה ,10,6,6,1250,0.40476190476190477,0.40476190476190477,0.40476190476190477
8,ref-bible.0101.4.7.5-ref-bible.0101.4.8.1,ref-sifre-d.45.1.93-ref-sifre-d.45.1.118,6160,6223,1079,1089,ref-bible.101.4.7.5,ref-bible.101.4.8.1,86677,86809,14580,14602,ref-sifre-d.45.1.93,ref-sifre-d.45.1.118,ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו ויאמר ,ואם לא תטיב לפתח חטאת רובץ ולא עוד אלא שמשאו ומתנו בך שנאמר ואליך תשוקתו ואם אתה רוצה אתה מושל בו שנא' ואתה תמשול בו ואומר ,12,26,8,359,0.5447154471544715,0.544,0.5365853658536586
10,ref-bible.0101.4.26.1-ref-bible.0101.4.26.13,ref-sifre-d.43.18.40-ref-sifre-d.43.18.51,7377,7432,1310,1319,ref-bible.101.4.26.1,ref-bible.101.4.26.13,80821,80875,13593,13603,ref-sifre-d.43.18.40,ref-sifre-d.43.18.51,ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם ,ולשת גם הוא יולד בן ויקרא שמו אנוש אז הוחל לקרוא בשם ,13,12,10,337,0.09259259259259259,0.0892857142857143,0.05555555555555555
11,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-sifre-d.43.8.99-ref-sifre-d.43.8.108,11505,11559,1963,1972,ref-bible.101.7.11.13,ref-bible.101.7.11.22,77266,77324,12986,12995,ref-sifre-d.43.8.99,ref-sifre-d.43.8.108,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום הזה נבקעו כל מעיינות תהום רבה וארובות השמים נפתחו ,10,10,11,313,0.07272727272727272,0.07272727272727275,0.07272727272727272
