,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-bible.0101.2.16.1-ref-bible.0101.2.17.7,ref-sifre-n.1.2.210-ref-sifre-n.1.2.222,3289,3374,552,569,ref-bible.101.2.16.1,ref-bible.101.2.17.7,1330,1392,167,179,ref-sifre-n.1.2.210,ref-sifre-n.1.2.222,ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל ומעץ הדעת טוב ורע לא תאכל ממנו ,ויצו ה' אלהים על האדם וגו' ומעץ הדעת טוב ורע לא תאכל ממנו ,18,13,0,5,0.325,0.3373493975903614,0.325
1,ref-bible.0101.6.9.1-ref-bible.0101.6.9.9,ref-sifre-n.102.1.207-ref-sifre-n.102.1.215,9840,9881,1663,1671,ref-bible.101.6.9.1,ref-bible.101.6.9.9,139750,139794,21800,21808,ref-sifre-n.102.1.207,ref-sifre-n.102.1.215,אלה תולדת נח נח איש צדיק תמים היה בדרתיו ,אלה תולדות נח נח איש צדיק תמים היה בדורותיו ,9,9,1,469,0.06818181818181818,0.06818181818181823,0.06818181818181818
2,ref-bible.0101.7.1.10-ref-bible.0101.7.1.16,ref-sifre-n.102.1.194-ref-sifre-n.102.1.200,10830,10863,1847,1853,ref-bible.101.7.1.10,ref-bible.101.7.1.16,139684,139718,21788,21794,ref-sifre-n.102.1.194,ref-sifre-n.102.1.200,כי אתך ראיתי צדיק לפני בדור הזה ,כי אותך ראיתי צדיק לפני בדור הזה ,7,7,2,468,0.030303030303030304,0.030303030303030276,0.030303030303030304
3,ref-bible.0101.12.3.5-ref-bible.0101.12.4.2,ref-sifre-n.18.1.183-ref-sifre-n.18.1.190,19479,19516,3323,3329,ref-bible.101.12.3.5,ref-bible.101.12.4.2,29864,29914,4541,4548,ref-sifre-n.18.1.183,ref-sifre-n.18.1.190,ונברכו בך כל משפחת האדמה וילך אברם ,ונברכו בך כל משפחות האדמה ובזרעך ואומר ויברכם ,7,8,3,76,0.2826086956521739,0.276595744680851,0.2826086956521739
4,ref-bible.0101.12.15.1-ref-bible.0101.12.15.8,ref-sifre-n.99.1.254-ref-sifre-n.99.1.261,20320,20359,3477,3484,ref-bible.101.12.15.1,ref-bible.101.12.15.8,136836,136877,21281,21288,ref-sifre-n.99.1.254,ref-sifre-n.99.1.261,ויראו אתה שרי פרעה ויהללו אתה אל פרעה ,ויראו אותה שרי פרעה ויהללו אותה אל פרעה ,8,8,4,458,0.05,0.050000000000000044,0.05
5,ref-bible.0101.13.14.9-ref-bible.0101.13.14.17,ref-sifre-n.136.1.74-ref-sifre-n.136.1.82,21618,21656,3717,3725,ref-bible.101.13.14.9,ref-bible.101.13.14.17,246137,246175,39120,39128,ref-sifre-n.136.1.74,ref-sifre-n.136.1.82,שא נא עיניך וראה מן המקום אשר אתה שם ,שא נא עיניך וראה מן המקום אשר אתה שם ,9,9,5,806,0.0,0.0,0.0
6,ref-bible.0101.18.9.1-ref-bible.0101.18.9.5,ref-sifre-n.69.2.42-ref-sifre-n.69.2.46,28496,28521,4971,4975,ref-bible.101.18.9.1,ref-bible.101.18.9.5,93860,93885,14083,14087,ref-sifre-n.69.2.42,ref-sifre-n.69.2.46,ויאמרו אליו איה שרה אשתך ,ויאמרו אליו איה שרה אשתך ,5,5,6,308,0.0,0.0,0.0
7,ref-bible.0101.19.11.1-ref-bible.0101.19.11.7,ref-sifre-n.18.1.63-ref-sifre-n.18.1.69,31024,31063,5427,5433,ref-bible.101.19.11.1,ref-bible.101.19.11.7,29133,29172,4437,4443,ref-sifre-n.18.1.63,ref-sifre-n.18.1.69,ואת האנשים אשר פתח הבית הכו בסנורים ,ואת האנשים אשר פתח הבית הכו בסנורים ,7,7,7,72,0.0,0.0,0.0
8,ref-bible.0101.23.2.3-ref-bible.0101.23.2.8,ref-sifre-n.160.2.68-ref-sifre-n.160.2.73,38677,38709,6786,6791,ref-bible.101.23.2.3,ref-bible.101.23.2.8,284972,285004,45463,45468,ref-sifre-n.160.2.68,ref-sifre-n.160.2.73,בקרית ארבע הוא חברון בארץ כנען ,קרית הארבע היא חברון בארץ כנען ,6,6,8,979,0.0967741935483871,0.12121212121212122,0.06451612903225806
9,ref-bible.0101.24.32.14-ref-bible.0101.24.33.5,ref-sifre-n.143.3.261-ref-sifre-n.143.3.278,42278,42325,7455,7462,ref-bible.101.24.32.14,ref-bible.101.24.33.5,256973,257061,40942,40959,ref-sifre-n.143.3.261,ref-sifre-n.143.3.278,האנשים אשר אתו ויישם ויושם לפניו לאכל ויאמר ,"אשה אע""פ שאתה נותן לאשים לא ירצה עד שיהו כאשים אשה ריח ניחח לה' נחת רוח לפני שאמרתי ",8,18,9,866,0.6904761904761905,0.5454545454545454,0.6666666666666666
