,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-bible.0101.3.1.1-ref-bible.0101.3.1.11,ref-t.3.5.4.16.4-ref-t.3.5.4.16.13,4001,4057,687,695,ref-bible.101.3.1.1,ref-bible.101.3.1.11,638166,638224,100444,100453,ref-t.3.5.4.16.4,ref-t.3.5.4.16.13,והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר ,בנחש הקדמוני שהיה ערום מכל הבהמה ומכל חית השדה שנ' ,11,10,0,357,0.6981132075471698,0.3492063492063492,0.4716981132075472
1,ref-bible.0101.3.14.9-ref-bible.0101.3.14.20,ref-t.3.5.4.16.39-ref-t.3.5.4.16.60,4953,5012,860,871,ref-bible.101.3.14.9,ref-bible.101.3.14.20,638342,638454,100475,100496,ref-t.3.5.4.16.39,ref-t.3.5.4.16.60,ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל ,ארור הוא מכל הבהמה ומכל חית השדה אני אמרתי תלך בקומה זקופה כאדם עכשיו שלא רצית על גחונך תלך אני אמרתי תאכל ,12,22,1,358,0.5420560747663551,0.485981308411215,0.5327102803738317
2,ref-bible.0101.3.15.1-ref-bible.0101.3.15.5,ref-t.3.5.4.17.10-ref-t.3.5.4.17.14,5025,5053,873,877,ref-bible.101.3.15.1,ref-bible.101.3.15.5,638552,638580,100514,100518,ref-t.3.5.4.17.10,ref-t.3.5.4.17.14,ואיבה אשית בינך ובין האשה ,ואיבה אשית בינך ובין האשה ,5,5,2,359,0.0,0.0,0.0
3,ref-bible.0101.6.5.1-ref-bible.0101.6.5.7,ref-t.3.5.4.10.11-ref-t.3.5.4.10.17,9594,9627,1616,1622,ref-bible.101.6.5.1,ref-bible.101.6.5.7,637168,637200,100274,100280,ref-t.3.5.4.10.11,ref-t.3.5.4.10.17,וירא יהוה כי רבה רעת האדם בארץ ,וירא ייי כי רבה רעת האדם בארץ ,7,7,3,354,0.0967741935483871,0.1515151515151515,0.0967741935483871
4,ref-bible.0101.6.15.5-ref-bible.0101.6.15.14,ref-t.4.1.6.22.48-ref-t.4.1.6.22.73,10222,10271,1734,1743,ref-bible.101.6.15.5,ref-bible.101.6.15.14,751552,751683,118672,118693,ref-t.4.1.6.22.48,ref-t.4.1.6.22.73,שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה ,אמה ר' יהודה או' שלשים אמה ובשעת הרוח חמשים אמה ר' עקיבא או' חמשים אמה ובשעת הרוח שלש מאות אמה מעשה בערב שקפץ האור יתר משלש ,10,26,4,544,0.717741935483871,0.624,0.7016129032258065
6,ref-bible.0101.6.17.1-ref-bible.0101.6.17.7,ref-t.3.5.3.8.17-ref-t.3.5.3.8.23,10363,10401,1760,1765,ref-bible.101.6.17.1,ref-bible.101.6.17.7,628948,628986,98837,98842,ref-t.3.5.3.8.17,ref-t.3.5.3.8.23,ואני הנני מביא את המבול מים על הארץ ,ואני הנני מביא את המבול מים על הארץ ,8,8,6,323,0.0,0.0,0.0
7,ref-bible.0101.7.11.13-ref-bible.0101.7.11.19,ref-t.3.5.3.9.36-ref-t.3.5.3.9.42,11505,11539,1963,1969,ref-bible.101.7.11.13,ref-bible.101.7.11.19,629172,629208,98875,98881,ref-t.3.5.3.9.36,ref-t.3.5.3.9.42,ביום הזה נבקעו כל מעינת תהום רבה ,ביום הזה נבקעו כל מעיינות תהום רבה ,7,7,7,324,0.05714285714285714,0.05714285714285716,0.05714285714285714
8,ref-bible.0101.9.6.1-ref-bible.0101.9.6.6,ref-t.3.1.8.7.12-ref-t.3.1.8.7.17,14427,14454,2474,2479,ref-bible.101.9.6.1,ref-bible.101.9.6.6,529719,529747,82663,82668,ref-t.3.1.8.7.12,ref-t.3.1.8.7.17,שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,6,6,8,277,0.037037037037037035,0.03703703703703709,0.037037037037037035
9,ref-bible.0101.9.6.1-ref-bible.0101.9.6.6,ref-t.4.4.11.4.14-ref-t.4.4.11.4.19,14427,14454,2474,2479,ref-bible.101.9.6.1,ref-bible.101.9.6.6,920760,920788,145674,145679,ref-t.4.4.11.4.14,ref-t.4.4.11.4.19,שפך דם האדם באדם דמו ישפך ,שופך דם האדם באדם דמו ישפך ,6,6,9,646,0.037037037037037035,0.03703703703703709,0.037037037037037035
10,ref-bible.0101.9.6.7-ref-bible.0101.9.7.3,ref-t.3.1.8.7.36-ref-t.3.1.8.7.45,14455,14498,2480,2487,ref-bible.101.9.6.7,ref-bible.101.9.7.3,529837,529885,82681,82689,ref-t.3.1.8.7.36,ref-t.3.1.8.7.45,כי בצלם אלהים עשה את האדם ואתם פרו ורבו ,כי בצלם אלים עשה את האדם וכת' ואתם פרו ורבו ,9,10,10,278,0.13636363636363635,0.1333333333333333,0.11363636363636363
11,ref-bible.0101.9.9.7-ref-bible.0101.9.10.12,ref-t.4.1.7.11.13-ref-t.4.1.7.11.30,14588,14666,2503,2517,ref-bible.101.9.9.7,ref-bible.101.9.10.12,757428,757527,119595,119607,ref-t.4.1.7.11.13,ref-t.4.1.7.11.30,ואת זרעכם אחריכם ואת כל נפש החיה אשר אתכם בעוף בבהמה ובכל חית הארץ אתכם ,ואת ההקדשות אין משלם אלא קרן את הבהמה את החיה ואת העופות ואת הכסות ואת הפירות ואת הכלים ,15,18,11,555,0.6590909090909091,0.49056603773584906,0.5681818181818182
12,ref-bible.0101.9.11.11-ref-bible.0101.9.12.1,ref-t.2.9.2.13.49-ref-t.2.9.2.13.57,14746,14790,2533,2539,ref-bible.101.9.11.11,ref-bible.101.9.12.1,467836,467883,72873,72880,ref-t.2.9.2.13.49,ref-t.2.9.2.13.57,המבול ולא יהיה עוד מבול לשחת הארץ ויאמר ,מבול לעולם שנ' ולא יהיה עוד מבול וגו' ואומ' ,8,9,12,236,0.5,0.41509433962264153,0.36363636363636365
13,ref-bible.0101.11.1.1-ref-bible.0101.11.2.9,ref-t.3.5.3.10.13-ref-t.3.5.3.10.28,17405,17494,3000,3015,ref-bible.101.11.1.1,ref-bible.101.11.2.9,629279,629369,98895,98910,ref-t.3.5.3.10.13,ref-t.3.5.3.10.28,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ,16,16,13,325,0.0,0.0,0.0
14,ref-bible.0101.11.8.3-ref-bible.0101.11.8.11,ref-t.4.4.13.7.15-ref-t.4.4.13.7.25,17880,17921,3084,3089,ref-bible.101.11.8.3,ref-bible.101.11.8.11,928623,928679,146892,146898,ref-t.4.4.13.7.15,ref-t.4.4.13.7.25,אתם משם על פני כל הארץ ויחדלו לבנת העיר ,אותם משם על פני כל הארץ בעולם הזה ויחדלו לבנות העיר ,9,11,14,660,0.23076923076923078,0.23076923076923073,0.23076923076923078
