,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-bible.0310.4.15.1-ref-bible.0310.4.15.11,ref-y.01.01.1.00.193-ref-y.01.01.1.00.203,1402000,1402071,240961,240970,ref-bible.310.4.15.1,ref-bible.310.4.15.11,1000,1073,150,159,ref-y.1.1.1..193,ref-y.1.1.1..203,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים ,11,11,2460,0,0.029411764705882353,0.0
1,ref-bible.0310.4.10.7-ref-bible.0310.4.10.11,ref-y.01.01.1.00.194-ref-y.01.01.1.00.198,1401606,1401642,240899,240903,ref-bible.310.4.10.7,ref-bible.310.4.10.11,1008,1045,151,155,ref-y.1.1.1..194,ref-y.1.1.1..198,עשים במלאכה וחצים מחזיקים והרמחים ,עושים במלאכה וחציים מחזיקים ברמחים ,5,5,2459,1,0.11428571428571428,0.0
2,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,ref-y.01.01.1.00.741-ref-y.01.01.1.00.747,32047,32079,5610,5615,ref-bible.101.19.23.1,ref-bible.101.19.23.7,3890,3923,607,612,ref-y.1.1.1..741,ref-y.1.1.1..747,השמש יצא על הארץ ולוט בא צערה ,השמש יצא על הארץ ולוט בא צוערה ,7,7,66,2,0.03225806451612903,0.0
3,ref-bible.0301.103.21.1-ref-bible.0301.103.22.4,ref-y.01.01.1.00.922-ref-y.01.01.1.00.931,1225314,1225368,208405,208415,ref-bible.301.103.21.1,ref-bible.301.103.22.4,4850,4895,760,768,ref-y.1.1.1..922,ref-y.1.1.1..931,ברכו יהוה כל צבאיו משרתיו עשי רצונו ברכו יהוה כל מעשיו ,ברכו את ה' כל צבאיו בשלישית ברכו ה' כל מעשיו ,11,10,2147,3,0.34545454545454546,0.5555555555555556
4,ref-bible.0301.134.1.1-ref-bible.0301.134.3.3,ref-y.01.01.1.00.937-ref-y.01.01.1.00.957,1247601,1247715,212432,212449,ref-bible.301.134.1.1,ref-bible.301.134.3.3,4929,5040,773,792,ref-y.1.1.1..937,ref-y.1.1.1..957,שיר המעלות הנה ברכו את יהוה כל עבדי יהוה העמדים בבית יהוה בלילות שאו ידכם קדש וברכו את יהוה יברכך יהוה מציון ,שיר המעלות הנה ברכו את ה' כל עבדי ה' העומדים בבית ה' בלילות בשנייה שאו ידיכם קודש בשלישית יברכך ה' מציון ,22,21,2197,4,0.30275229357798167,0.21052631578947367
5,ref-bible.0101.19.23.1-ref-bible.0101.19.23.7,ref-y.01.01.1.00.999-ref-y.01.01.1.00.1005,32047,32079,5610,5615,ref-bible.101.19.23.1,ref-bible.101.19.23.7,5284,5317,830,835,ref-y.1.1.1..999,ref-y.1.1.1..1005,השמש יצא על הארץ ולוט בא צערה ,השמש יצא על הארץ ולוט בא צוערה ,7,7,67,5,0.03225806451612903,0.0
7,ref-bible.0308.6.10.9-ref-bible.0308.6.11.5,ref-y.01.01.1.00.1119-ref-y.01.01.1.00.1129,1366771,1366881,234893,234912,ref-bible.308.6.10.9,ref-bible.308.6.11.5,5917,5974,930,938,ref-y.1.1.1..1119,ref-y.1.1.1..1129,הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך אל תפל דבר מכל אשר דברת ויקח המן את הלבוש ואת ,יושב בשער המלך ואחר כך ויקח המן את הלבוש ואת הסוס ,21,11,2415,7,0.6363636363636364,0.6
8,ref-bible.0302.8.27.2-ref-bible.0302.8.27.9,ref-y.01.01.1.00.1215-ref-y.01.01.1.00.1222,1265829,1265863,215747,215753,ref-bible.302.8.27.2,ref-bible.302.8.27.9,6420,6460,1016,1022,ref-y.1.1.1..1215,ref-y.1.1.1..1222,שמים שם אני בחוקו חוג על פני תהום ,שמים יתהלך וכתיב בחוקו חוג על פני תהום ,8,8,2229,8,0.23076923076923078,0.33333333333333337
9,ref-bible.0301.1.3.1-ref-bible.0301.1.3.9,ref-y.01.01.1.00.1255-ref-y.01.01.1.00.1261,1153718,1153759,195134,195142,ref-bible.301.1.3.1,ref-bible.301.1.3.9,6614,6646,1047,1053,ref-y.1.1.1..1255,ref-y.1.1.1..1261,והיה כעץ שתול על פלגי מים אשר פריו יתן ,והיה כעץ שתול על פלגי מים תני ,9,7,1997,9,0.28205128205128205,0.2857142857142857
10,ref-bible.0101.2.9.12-ref-bible.0101.2.10.6,ref-y.01.01.1.00.1262-ref-y.01.01.1.00.1276,2914,2985,486,498,ref-bible.101.2.9.12,ref-bible.101.2.10.6,6647,6722,1054,1067,ref-y.1.1.1..1262,ref-y.1.1.1..1276,ועץ החיים בתוך הגן ועץ הדעת טוב ורע ונהר יצא מעדן להשקות את הגן ,עץ חיים אחד מששים לגן הגן אחד מששים לעדן ונהר יוצא מעדן להשקות את הגן ,14,15,27,10,0.4,0.4285714285714286
