,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-m.1.1.1.1.60-ref-m.1.1.1.1.93,ref-mek.1.7.2.51-ref-mek.1.7.2.82,309,487,44,75,ref-m.1.1.1.1.60,ref-m.1.1.1.1.93,20967,21143,3352,3383,ref-mek.1.7.2.51,ref-mek.1.7.2.82,מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה ,34,32,0,27,0.23214285714285715,0.15934065934065933,0.17261904761904762
2,ref-m.1.1.1.2.24-ref-m.1.1.1.2.32,ref-mek.1.14.2.5-ref-mek.1.14.2.12,611,654,94,102,ref-m.1.1.1.2.24,ref-m.1.1.1.2.32,48728,48769,7557,7564,ref-mek.1.14.2.5,ref-mek.1.14.2.12,שלש שעות שכן דרך בני מלכים לעמוד בשלש שעות ,בשלש שעות שכן דרך מלכים לעמוד בשלש שעות ,9,8,2,65,0.11627906976744186,0.06976744186046513,0.09302325581395349
3,ref-m.1.1.1.4.4-ref-m.1.1.1.4.14,ref-mek.1.19.9.88-ref-mek.1.19.9.106,1075,1143,161,171,ref-m.1.1.1.4.4,ref-m.1.1.1.4.14,90440,90552,14262,14278,ref-mek.1.19.9.88,ref-mek.1.19.9.106,לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ארוכה ואחת ,שנים מלמעלה ושנים מלמטה ואחד שהיה מהלך לפניהם ר' יאשיה אומר ארבעה אחד לפניהם ואחד לאחריהם אחד למעלה ואחד ,11,19,3,108,0.6095238095238096,0.5,0.5904761904761905
4,ref-m.1.1.1.5.15-ref-m.1.1.1.5.54,ref-mek.1.17.2.9-ref-mek.1.17.2.53,1334,1547,204,237,ref-m.1.1.1.5.15,ref-m.1.1.1.5.54,65667,65916,10307,10345,ref-mek.1.17.2.9,ref-mek.1.17.2.53,ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,שמזכירים יציאת מצרים בימים בלילות מנין שנאמר למען תזכור את יום צאתך וגו' ימי חייך בימים כל ימי חייך הלילות כדברי בן זומא וחכמים אומרים ימי חייך בעולם הזה כל ימי חייך להביא לימות המשיח אמר להם בן זומא עתידים ישראל שלא להזכיר יציאת מצרים ,40,45,4,74,0.5042372881355932,0.1791666666666667,0.3601694915254237
6,ref-m.1.1.1.5.21-ref-m.1.1.1.5.32,ref-mek.1.8.3.20-ref-mek.1.8.3.33,1372,1431,210,220,ref-m.1.1.1.5.21,ref-m.1.1.1.5.32,27818,27890,4436,4446,ref-mek.1.8.3.20,ref-mek.1.8.3.33,עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים ,אומר ויאמר משה אל העם זכור את היום הזה אשר יצאתם ממצרים וגומר עדין ,12,14,6,33,0.6716417910447762,0.3466666666666667,0.5074626865671642
7,ref-m.1.1.7.3.24-ref-m.1.1.7.3.37,ref-mek.3.1.1.988-ref-mek.3.1.1.1002,7828,7902,1202,1215,ref-m.1.1.7.3.24,ref-m.1.1.7.3.37,138866,138957,22395,22407,ref-mek.3.1.1.988,ref-mek.3.1.1.1002,אומר נברך לה' אלהינו במאה והוא אומר ברכו באלף אומר נברך לה' אלהינו אלהי ,ואומר לה' אלהינו הרחמים והסליחות אשירה לה' שהוא דיין שנאמר כי המשפט לאלהים הוא ואומר ,14,15,7,128,0.5882352941176471,0.38144329896907214,0.49411764705882355
9,ref-m.1.1.7.3.61-ref-m.1.1.7.3.69,ref-mek.1.17.2.319-ref-mek.1.17.2.331,8038,8085,1239,1247,ref-m.1.1.7.3.61,ref-m.1.1.7.3.69,67230,67300,10556,10568,ref-mek.1.17.2.319,ref-mek.1.17.2.331,כענין שהוא מברך כך עונין אחריו ברוך ה' אלהינו ,המברך הבו גודל לאלהינו אלו העונים אחריו ומה הן עונין אחריו ברוך ה' ,9,13,9,78,0.6716417910447762,0.4084507042253521,0.5671641791044776
11,ref-m.1.1.7.3.63-ref-m.1.1.7.3.69,ref-mek.6.10.1.246-ref-mek.6.10.1.254,8051,8085,1241,1247,ref-m.1.1.7.3.63,ref-m.1.1.7.3.69,278238,278288,45559,45567,ref-mek.6.10.1.246,ref-mek.6.10.1.254,מברך כך עונין אחריו ברוך ה' אלהינו ,שברית כרותה לארץ כך ברית כרותה ליסורין ה' אלהיך ,7,9,11,199,0.625,0.49090909090909096,0.5625
12,ref-m.1.1.7.3.106-ref-m.1.1.7.3.115,ref-mek.5.3.9.118-ref-mek.5.3.10.4,8290,8332,1277,1282,ref-m.1.1.7.3.106,ref-m.1.1.7.3.115,226089,226122,37041,37047,ref-mek.5.3.9.118,ref-mek.5.3.10.4,אומר ברכו את ה' רבי ישמעאל אומר ברכו את ה' ,ואמר ברוך ה' ויאמר יתרו ברוך ה' ,10,7,12,179,0.5116279069767442,0.3695652173913043,0.46511627906976744
13,ref-m.1.1.9.5.11-ref-m.1.1.9.5.23,ref-mek.6.9.4.70-ref-mek.6.9.4.79,10808,10875,1646,1657,ref-m.1.1.9.5.11,ref-m.1.1.9.5.23,275810,275860,45166,45175,ref-mek.6.9.4.70,ref-mek.6.9.4.79,שנאמר ואהבת את ה' אלהיך בכל לבבך ובכל נפשך ובכל מאדך בכל לבבך ,אוכל וכל גבהי לבב קרואים תועבה שנאמר תועבת ה' כל ,13,10,13,197,0.7580645161290323,0.45833333333333337,0.6290322580645161
