,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-m.1.1.1.1.61-ref-m.1.1.1.1.93,ref-sifra.4.07-12.5.18-ref-sifra.4.07-12.5.34,315,487,45,75,ref-m.1.1.1.1.61,ref-m.1.1.1.1.93,199277,199367,28880,28893,ref-sifra.4.7-12.5.18,ref-sifra.4.7-12.5.34,עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה ,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים עליהם משום נותר עד שיעלה עמוד השחר ,33,17,0,1115,0.7160493827160493,0.49397590361445787,0.6666666666666666
3,ref-m.1.1.1.5.36-ref-m.1.1.1.5.52,ref-Sifra.5.04-06.5.20-ref-Sifra.5.04-06.5.36,1444,1533,223,235,ref-m.1.1.1.5.36,ref-m.1.1.1.5.52,276600,276685,40869,40883,ref-Sifra.5.4-06.5.20,ref-Sifra.5.4-06.5.36,ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא ,הים זו חיה טהורה חיה טמאה מנין תלמוד לומר ההולכת על ארבע בכל החיה בכל החיה להביא ,17,17,3,1439,0.6588235294117647,0.44859813084112155,0.5294117647058824
4,ref-m.1.1.7.3.4-ref-m.1.1.7.3.20,ref-sifra.14.04-00.6.21-ref-sifra.14.04-00.6.29,7715,7811,1182,1198,ref-m.1.1.7.3.4,ref-m.1.1.7.3.20,674811,674858,102780,102788,ref-sifra.14.4-00.6.21,ref-sifra.14.4-00.6.29,אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד ,בעשר סלעים אמר אחד בעשרים אמר אחד בשלשים אמר ,17,9,4,3875,0.7,0.59375,0.6777777777777778
5,ref-m.1.1.9.5.70-ref-m.1.1.9.5.83,ref-sifra.11.03-07.9.3-ref-sifra.11.03-07.9.17,11102,11191,1701,1714,ref-m.1.1.9.5.70,ref-m.1.1.9.5.83,504947,505046,76992,77006,ref-sifra.11.3-07.9.3,ref-sifra.11.3-07.9.17,לא יכנס להר הבית במקלו ובמנעלו ובפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,לא יכנס להר הבית במקלו ובתרמילו במנעלו ובאפונדתו ובאבק שעל רגליו ולא יעשנו קפנדריא ורקיקה ,14,15,5,3154,0.1,0.09999999999999998,0.1
7,ref-m.1.2.1.4.6-ref-m.1.2.1.4.14,ref-Sifra.11.01-01.7.44-ref-Sifra.11.01-01.7.52,12091,12152,1856,1863,ref-m.1.2.1.4.6,ref-m.1.2.1.4.14,486890,486950,74127,74134,ref-Sifra.11.1-01.7.44,ref-Sifra.11.1-01.7.52,אוכל ונשמר וגידוליו מן הארץ ולקיטתו כאחת ומכניסו לקיום ,אוכל ונשמר וגידולו מן הארץ ולקיטתו כאחד ומכניסו לקיום ,9,9,7,3066,0.03636363636363636,0.0535714285714286,0.03636363636363636
9,ref-m.1.2.1.4.17-ref-m.1.2.1.5.11,ref-sifra.11.01-01.7.75-ref-sifra.11.01-01.8.11,12164,12285,1866,1880,ref-m.1.2.1.4.17,ref-m.1.2.1.5.11,487071,487187,74151,74165,ref-sifra.11.1-01.7.75,ref-sifra.11.1-01.8.11,והתבואה והקטניות בכלל הזה ובאילן האוג והחרובין והאגוזים והשקדים והגפנים והרמונים והזיתים והתמרים חייבין בפאה ,והתבואה והקטניות בכלל זה ובאילן האוג והחרובין האגוזים והשקדים הגפנים והרמונים הזיתים והתמרים חייבים בפאה ,15,15,9,3068,0.045871559633027525,0.054545454545454564,0.045871559633027525
11,ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.17-ref-sifra.12.10-00.4.22,12387,12427,1899,1904,ref-m.1.2.1.6.19,ref-m.1.2.1.6.24,577514,577554,87856,87861,ref-sifra.12.10-00.4.17,ref-sifra.12.10-00.4.22,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,6,6,11,3483,0.0,0.0,0.0
13,ref-m.1.2.1.6.19-ref-m.1.2.1.6.24,ref-sifra.12.10-00.4.38-ref-sifra.12.10-00.4.43,12387,12427,1899,1904,ref-m.1.2.1.6.19,ref-m.1.2.1.6.24,577641,577681,87874,87879,ref-sifra.12.10-00.4.38,ref-sifra.12.10-00.4.43,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,ומאכיל לבהמה ולחיה ולעופות ופטור מן ,6,6,13,3493,0.0,0.0,0.0
15,ref-m.1.2.2.1.1-ref-m.1.2.2.4.39,ref-sifra.11.01-02.1.3-ref-sifra.11.01-02.4.39,12612,13272,1933,2032,ref-m.1.2.2.1.1,ref-m.1.2.2.4.39,488012,488717,74310,74416,ref-sifra.11.1-02.1.3,ref-sifra.11.1-02.4.39,ואלו מפסיקין לפאה הנחל והשלולית ודרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים והבור והניר וזרע אחר והקוצר לשחת מפסיק דברי רבי מאיר וחכמים אומרים אינו מפסיק אלא אם כן חרש אמת המים שאינה יכולה להקצר כאחת רבי יהודה אומר מפסקת וכל ההרים אשר במעדר יעדרון אף על פי שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיק לזרעים ואינו מפסיק לאילן אלא גדר ואם היה שער כותש אינו מפסיק אלא נותן פאה לכל ולחרובין כל הרואין זה את זה אמר רבן גמליאל נוהגין היו בית אבא נותנין פאה אחת לזיתים שהיו להם בכל רוח ולחרובין כל הרואין זה את זה רבי אליעזר ברבי צדוק אומר משמו אף לחרובין שהיו להם בכל העיר ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת מפסיק דברי ר' מאיר וחכמים אומרים אינו מפסיק אלא אם כן חרש אמת המים הקבועה הרי זו מפסקת ר' יהודה אומר אם אינה יכולה להקצר כאחת הרי זו מפסקת כל ההרים אשר במעדר יעדרון אף על פי שאין הבקר יכול לעבור בכליו הוא נותן פאה לכל הכל מפסיקין לזרעים ואינו מפסיק לאילן אלא גדר שהוא גבוה עשרה טפחים אם היה שער כותש אינו מפסיק לאילן אלא נותן פאה לכל לחרובים כל הרואים זה את זה אמר רבן גמליאל נוהגים היו בית אבא נותנים פאה אחת לזיתים שהיה להם בכל הרוח ולחרובים כל שרואים זה את זה ר' אלעזר בר צדוק אומר משמו אף לחרובין שהיה להם בכל העיר ,120,132,15,3070,0.15045592705167174,0.10029940119760483,0.12158054711246201
17,ref-m.1.2.2.7.2-ref-m.1.2.2.7.15,ref-sifra.11.01-01.6.1-ref-sifra.11.01-01.6.13,13739,13820,2115,2128,ref-m.1.2.2.7.2,ref-m.1.2.2.7.15,486414,486501,74061,74073,ref-sifra.11.1-01.6.1,ref-sifra.11.1-01.6.13,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,ובקצרכם פרט לשקצרוהו הלסטים קירסמוה נמלים שברתה הרוח או בהמה ובקצרכם פרט לשקצרוה ,14,13,17,3060,0.3333333333333333,0.19318181818181823,0.24691358024691357
