,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-m.4.6.1.6.15-ref-m.4.6.1.6.19,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,549108,549150,85770,85774,ref-m.4.6.1.6.15,ref-m.4.6.1.6.19,8730,8772,1445,1449,ref-sifre-d.2.8.16,ref-sifre-d.2.8.20,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,5,5,597,0,0.0,0.0
2,ref-m.1.5.9.2.42-ref-m.1.5.9.2.51,ref-sifre-d.6.1.25-ref-sifre-d.6.1.31,65019,65076,10074,10083,ref-m.1.5.9.2.42,ref-m.1.5.9.2.51,10564,10597,1758,1764,ref-sifre-d.6.1.25,ref-sifre-d.6.1.31,שפלה והעמק ושפלת לוד כשפלת הדרום וההר שלה כהר המלך ,בהר זה הר המלך בשפלה זה שפילות ,10,7,80,2,0.7254901960784313,0.6666666666666667
3,ref-m.2.5.6.8.70-ref-m.2.5.6.8.77,ref-sifre-d.6.3.7-ref-sifre-d.6.3.17,225153,225200,34882,34889,ref-m.2.5.6.8.70,ref-m.2.5.6.8.77,11122,11187,1854,1863,ref-sifre-d.6.3.7,ref-sifre-d.6.3.17,מלבין שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,מלבין עונותיהם של ישראל שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,8,11,176,3,0.2857142857142857,0.30000000000000004
4,ref-m.2.1.9.3.37-ref-m.2.1.9.3.43,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,140498,140539,21623,21629,ref-m.2.1.9.3.37,ref-m.2.1.9.3.43,11146,11187,1857,1863,ref-sifre-d.6.3.11,ref-sifre-d.6.3.17,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,7,7,140,4,0.0,0.0
5,ref-m.4.9.3.7.6-ref-m.4.9.3.7.25,ref-sifre-d.11.1.83-ref-sifre-d.11.1.100,606121,606217,94192,94207,ref-m.4.9.3.7.6,ref-m.4.9.3.7.25,14971,15050,2517,2532,ref-sifre-d.11.1.83,ref-sifre-d.11.1.100,תן לו משלו שאתה ושלך שלו וכן בדוד הוא אומר כי ממך הכל ומידך נתנו לך רבי שמעון אומר המהלך ,בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי ,20,18,619,5,0.6404494382022472,0.8636363636363636
6,ref-m.3.3.5.6.55-ref-m.3.3.5.6.67,ref-sifre-d.11.1.87-ref-sifre-d.11.1.100,354881,354936,55025,55034,ref-m.3.3.5.6.55,ref-m.3.3.5.6.67,14990,15050,2521,2532,ref-sifre-d.11.1.87,ref-sifre-d.11.1.100,לא נתתי את שלי שתקדישם לשמים אמר לו לא נתתה לי את שלך ,משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך אלא משלי ,13,14,277,6,0.603448275862069,0.75
7,ref-m.4.3.3.3.28-ref-m.4.3.3.3.37,ref-sifre-d.11.1.94-ref-sifre-d.11.1.109,489905,489949,76570,76579,ref-m.4.3.3.3.28,ref-m.4.3.3.3.37,15020,15088,2526,2539,ref-sifre-d.11.1.94,ref-sifre-d.11.1.109,לי שנתת לי במתנה אביך מכרה לי אביך נתנה לי ,שנתתי לך לא נתתי לך אלא משלי אבל מה שהניח לך אביך הרי הוא שמור לך ,10,16,469,7,0.6060606060606061,0.8461538461538461
8,ref-m.4.9.1.1.23-ref-m.4.9.1.1.28,ref-sifre-d.16.1.46-ref-sifre-d.16.1.51,598778,598817,92978,92983,ref-m.4.9.1.1.23,ref-m.4.9.1.1.28,18409,18448,3100,3105,ref-sifre-d.16.1.46,ref-sifre-d.16.1.51,והעמידו תלמידים הרבה ועשו סייג לתורה ,והעמידו תלמידים הרבה ועשו סייג לתורה ,6,6,615,8,0.0,0.0
9,ref-m.4.9.1.1.23-ref-m.4.9.1.2.1,ref-sifre-d.16.3.130-ref-sifre-d.16.4.1,598778,598823,92978,92984,ref-m.4.9.1.1.23,ref-m.4.9.1.2.1,19227,19271,3222,3228,ref-sifre-d.16.3.130,ref-sifre-d.16.4.1,והעמידו תלמידים הרבה ועשו סייג לתורה שמעון ,והעמידו תלמידים הרבה ועשו סייג לתורה שמוע ,7,7,616,9,0.046511627906976744,0.25
10,ref-m.5.2.10.3.41-ref-m.5.2.10.3.64,ref-sifre-d.16.5.11-ref-sifre-d.16.5.41,674724,674837,105038,105061,ref-m.5.2.10.3.41,ref-m.5.2.10.3.64,19508,19652,3270,3299,ref-sifre-d.16.5.11,ref-sifre-d.16.5.41,אומרים הין מגל זו אומרים הין מגל זו אומרים הין קופה זו אומרים הין קופה זו אומרים הין בשבת אומר להם שבת זו אומרים ,זה אומר שלי וזה אומר שלי היא וזה חורש בפרתו זה אומר שלי היא וזה יושב בתוך ביתו וזה אומר שלי הוא זה מחזיק בשדהו וזה אומר שלי היא לכך נאמר ,24,31,722,10,0.6423357664233577,0.8666666666666667
