,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-m.6.5.8.2.2-ref-m.6.5.8.2.17,ref-sifre-n.1.4.53-ref-sifre-n.1.4.65,955132,955215,148799,148813,ref-m.6.5.8.2.2,ref-m.6.5.8.2.17,2095,2161,282,294,ref-sifre-n.1.4.53,ref-sifre-n.1.4.65,כלים אצל עם הארץ טמאים טמא מת וטמאין מדרס אם מכירו שהוא אוכל בתרומה טהורין מטמא ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא ,16,13,587,0,0.6375,0.8421052631578947
2,ref-m.6.1.1.4.25-ref-m.6.1.1.5.7,ref-sifre-n.1.4.53-ref-sifre-n.1.4.91,802610,802704,125257,125272,ref-m.6.1.1.4.25,ref-m.6.1.1.5.7,2095,2283,282,319,ref-sifre-n.1.4.53,ref-sifre-n.1.4.91,חמור מכולם המת שהוא מטמא באהל מה שאין כולם מטמאין עשר טומאות פורשות מן האדם מחוסר כפורים ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,17,39,464,2,0.6444444444444445,0.7692307692307692
3,ref-m.6.10.2.8.15-ref-m.6.10.3.1.10,ref-sifre-n.1.4.60-ref-sifre-n.1.4.77,1017341,1017564,158491,158526,ref-m.6.10.2.8.15,ref-m.6.10.3.1.10,2131,2216,289,306,ref-sifre-n.1.4.60,ref-sifre-n.1.4.77,טמא באב הטומאה וטמא באהל המת הפנימי מלמטה והחיצון מלמעלן טמא באב הטומאה וטמא באהל המת הפנימי מלמעלן והחיצון מלמטן טהור באב הטומאה וטמא באוהל המת כל ידות האוכלים שהם חבור באב הטומאה חבור בטבול יום ,שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום ,36,18,609,3,0.7040816326530612,0.8461538461538461
4,ref-m.6.5.2.1.30-ref-m.6.5.2.1.45,ref-sifre-n.1.4.62-ref-sifre-n.1.4.71,942685,942757,146939,146953,ref-m.6.5.2.1.30,ref-m.6.5.2.1.45,2145,2189,291,300,ref-sifre-n.1.4.62,ref-sifre-n.1.4.71,טמא אין בו כביצה הוא טמא והכל טהור חזר לקדרה הכל טמא היתה מגע טמא מת ,כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא ,16,10,556,4,0.6956521739130435,0.8571428571428572
5,ref-m.6.10.2.8.17-ref-m.6.10.3.1.10,ref-sifre-n.1.4.73-ref-sifre-n.1.4.84,1017350,1017564,158493,158526,ref-m.6.10.2.8.17,ref-m.6.10.3.1.10,2194,2245,302,313,ref-sifre-n.1.4.73,ref-sifre-n.1.4.84,הטומאה וטמא באהל המת הפנימי מלמטה והחיצון מלמעלן טמא באב הטומאה וטמא באהל המת הפנימי מלמעלן והחיצון מלמטן טהור באב הטומאה וטמא באוהל המת כל ידות האוכלים שהם חבור באב הטומאה חבור בטבול יום ,אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת ,34,12,610,5,0.7925531914893617,0.8571428571428572
6,ref-m.6.5.2.1.30-ref-m.6.5.2.1.45,ref-sifre-n.1.4.75-ref-sifre-n.1.4.89,942685,942757,146939,146953,ref-m.6.5.2.1.30,ref-m.6.5.2.1.45,2203,2268,304,317,ref-sifre-n.1.4.75,ref-sifre-n.1.4.89,טמא אין בו כביצה הוא טמא והכל טהור חזר לקדרה הכל טמא היתה מגע טמא מת ,כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,16,15,557,6,0.6811594202898551,0.8571428571428572
7,ref-m.6.1.1.4.25-ref-m.6.1.1.5.7,ref-sifre-n.1.4.78-ref-sifre-n.1.4.91,802610,802704,125257,125272,ref-m.6.1.1.4.25,ref-m.6.1.1.5.7,2217,2283,307,319,ref-sifre-n.1.4.78,ref-sifre-n.1.4.91,חמור מכולם המת שהוא מטמא באהל מה שאין כולם מטמאין עשר טומאות פורשות מן האדם מחוסר כפורים ,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,17,14,463,7,0.5730337078651685,0.6
9,ref-m.3.5.6.4.19-ref-m.3.5.6.4.32,ref-sifre-n.1.7.87-ref-sifre-n.1.7.96,394782,394858,61493,61505,ref-m.3.5.6.4.19,ref-m.3.5.6.4.32,4664,4715,655,663,ref-sifre-n.1.7.87,ref-sifre-n.1.7.96,נטמאת ושנים אומרים לא נטמאת היתה שותה שנים אומרים נטמאת ואחד אומר לא נטמאת ,טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא ,14,10,207,9,0.5466666666666666,0.8181818181818181
10,ref-m.4.1.9.7.34-ref-m.4.1.9.7.41,ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,455552,455587,71029,71036,ref-m.4.1.9.7.34,ref-m.4.1.9.7.41,5460,5494,784,791,ref-sifre-n.2.1.32,ref-sifre-n.2.1.39,או מצא אבידה וכחש בה ונשבע על שקר ,או מצא אבדה וכחש בה ונשבע על שקר ,8,8,231,10,0.029411764705882353,0.0
11,ref-m.4.1.9.11.1-ref-m.4.1.9.11.14,ref-sifre-n.2.1.66-ref-sifre-n.2.1.76,456118,456190,71115,71126,ref-m.4.1.9.11.1,ref-m.4.1.9.11.14,5618,5681,809,819,ref-sifre-n.2.1.66,ref-sifre-n.2.1.76,הגוזל את הגר ונשבע לו ומת הרי זה משלם קרן וחמש לכהנים ואשם למזבח ,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,14,11,232,11,0.18461538461538463,0.3571428571428571
12,ref-m.4.2.1.6.11-ref-m.4.2.1.6.23,ref-sifre-n.2.1.367-ref-sifre-n.2.1.380,460161,460229,71791,71801,ref-m.4.2.1.6.11,ref-m.4.2.1.6.23,7132,7210,1046,1057,ref-sifre-n.2.1.367,ref-sifre-n.2.1.380,שבית דין נפרעין מהן אין בהן אחריות נכסים יחזיר שאין בית דין נפרעין ,שאין בית דין נפרעים ממנו שיהיה נדון בנפשות שהוא נדון בנפשו בית דין נפרעים ,13,14,245,12,0.47297297297297297,0.6666666666666667
