,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-m.1.1.1.1.60-ref-m.1.1.1.1.67,ref-y.01.01.1.00.2598-ref-y.01.01.1.00.2607,309,355,44,51,ref-m.1.1.1.1.60,ref-m.1.1.1.1.67,13614,13675,2174,2183,ref-y.1.1.1..2598,ref-y.1.1.1..2607,מצותן עד שיעלה עמוד השחר הקטר חלבים ואברים ,הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר ,8,10,0,9,0.8070175438596491,0.24561403508771928,0.5614035087719298
1,ref-m.1.1.1.1.61-ref-m.1.1.1.1.86,ref-y.01.01.1.00.2672-ref-y.01.01.1.00.2690,315,454,45,68,ref-m.1.1.1.1.61,ref-m.1.1.1.1.86,14006,14096,2241,2256,ref-y.1.1.1..2672,ref-y.1.1.1..2690,עד שיעלה עמוד השחר הקטר חלבים ואברים מצותן עד שיעלה עמוד השחר וכל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים ,אמרו חכמים וכו' אם את הוא אומר עד שיעלה עמוד השחר הוא סבור שלא עלה עמוד השחר נמצא אוכל ,26,19,1,13,0.5891472868217055,0.4117647058823529,0.5426356589147286
4,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.01.01.1.00.3288-ref-y.01.01.1.00.3296,655,702,103,110,ref-m.1.1.1.2.33,ref-m.1.1.1.2.40,17293,17344,2747,2755,ref-y.1.1.1..3288,ref-y.1.1.1..3296,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מכאן ואילך לא הפסיד כאדם שהוא קורא בתורה ,8,9,4,15,0.0851063829787234,0.08510638297872342,0.0851063829787234
5,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.01.01.4.00.590-ref-y.01.01.4.00.598,655,702,103,110,ref-m.1.1.1.2.33,ref-m.1.1.1.2.40,80188,80239,12857,12865,ref-y.1.1.4..590,ref-y.1.1.4..598,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מיכן ואילך לא הפסיד כאדם שהוא קורא בתורה ,8,9,5,63,0.1276595744680851,0.08510638297872342,0.10638297872340426
6,ref-m.1.1.1.2.33-ref-m.1.1.1.2.40,ref-y.02.01.1.00.2995-ref-y.02.01.1.00.3003,655,702,103,110,ref-m.1.1.1.2.33,ref-m.1.1.1.2.40,887378,887429,134600,134608,ref-y.2.1.1..2995,ref-y.2.1.1..3003,הקורא מכאן ואילך לא הפסיד כאדם הקורא בתורה ,הקורא מיכן ואילך לא הפסיד כאדם שהוא קורא בתורה ,8,9,6,1691,0.1276595744680851,0.08510638297872342,0.10638297872340426
7,ref-m.1.1.1.4.2-ref-m.1.1.1.4.12,ref-y.02.10.3.00.2140-ref-y.02.10.3.00.2150,1065,1131,159,169,ref-m.1.1.1.4.2,ref-m.1.1.1.4.12,1859894,1859963,284108,284116,ref-y.2.10.3..2140,ref-y.2.10.3..2150,מברך שתים לפניה ואחת לאחריה ובערב שתים לפניה ושתים לאחריה אחת ,לפניהן ולאחריהן בלא כך אין הפותח והחותם בתורה מברך לפניה ולאחריה ,11,11,7,3366,0.7230769230769231,0.30666666666666664,0.47692307692307695
8,ref-m.1.1.1.5.15-ref-m.1.1.1.5.27,ref-y.01.01.1.00.5513-ref-y.01.01.1.00.5522,1334,1407,204,216,ref-m.1.1.1.5.15,ref-m.1.1.1.5.27,28780,28832,4558,4567,ref-y.1.1.1..5513,ref-y.1.1.1..5522,ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור ,בן זומא אומר עתידין הן ישראל שלא להזכיר יציאת מצרים ,13,10,8,22,0.7536231884057971,0.3194444444444444,0.6521739130434783
9,ref-m.1.1.1.5.26-ref-m.1.1.1.5.36,ref-y.01.01.3.00.119-ref-y.01.01.3.00.129,1397,1447,215,223,ref-m.1.1.1.5.26,ref-m.1.1.1.5.36,58221,58272,9413,9421,ref-y.1.1.3..119,ref-y.1.1.3..129,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי ,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים ,11,11,9,33,0.0196078431372549,0.019607843137254943,0.0196078431372549
11,ref-m.1.1.2.1.15-ref-m.1.1.2.1.37,ref-y.01.01.2.00.887-ref-y.01.01.2.00.910,1614,1749,250,267,ref-m.1.1.2.1.15,ref-m.1.1.2.1.37,34029,34164,5415,5434,ref-y.1.1.2..887,ref-y.1.1.2..910,בפרקים שואל מפני הכבוד ומשיב ובאמצע שואל מפני היראה ומשיב דברי רבי מאיר רבי יהודה אומר באמצע שואל מפני היראה ומשיב מפני הכבוד ,ובפרקים שואל מפני הכבוד ומשיב מפני מה הוא משיב מפני היראה או מפני הכבוד נשמעינא מן הדא ובאמצע שואל מפני היראה ומשיב מפני הכבוד ,23,24,11,24,0.31496062992125984,0.17985611510791366,0.2283464566929134
13,ref-m.1.1.2.1.16-ref-m.1.1.2.1.36,ref-y.01.01.2.00.943-ref-y.01.01.2.00.953,1622,1742,251,266,ref-m.1.1.2.1.16,ref-m.1.1.2.1.36,34336,34399,5461,5471,ref-y.1.1.2..943,ref-y.1.1.2..953,שואל מפני הכבוד ומשיב ובאמצע שואל מפני היראה ומשיב דברי רבי מאיר רבי יהודה אומר באמצע שואל מפני היראה ומשיב מפני ,באמצע שואל מפני היראה ומשיב מפני הכבוד הא קדמייתא שואל מפני ,21,11,13,27,0.584070796460177,0.4956521739130435,0.5663716814159292
