,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-mek.1.1.1.157-ref-mek.1.1.1.179,ref-b.2.13.11b.774-ref-b.2.13.11b.795,761,882,114,131,ref-mek.1.1.1.157,ref-mek.1.1.1.179,2708704,2708823,394870,394888,ref-b.2.13.11b.774,ref-b.2.13.11b.795,אומר בראשית ברא אלהים את השמים ואת הארץ שומע אני כל הקודם במקרא קודם במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,"שנאמר בראשית ברא אלהים את השמים ואת הארץ וב""ה אומרים ארץ נבראת תחלה ואח""כ שמים שנאמר ביום עשות ה' אלהים ארץ ושמים ",23,22,0,855,0.3217391304347826,0.2109375,0.24347826086956523
1,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-b.2.06.54b.94-ref-b.2.06.54b.99,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,1783200,1783230,258977,258982,ref-b.2.6.54b.94,ref-b.2.6.54b.99,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,1,542,0.0,0.0,0.0
2,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.1.01.64a.94-ref-b.1.01.64a.101,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,342814,342856,50992,50999,ref-b.1.1.64a.94,ref-b.1.1.64a.101,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק ,8,8,2,176,0.5476190476190477,0.15555555555555556,0.40476190476190477
3,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.2.04.88a.55-ref-b.2.04.88a.63,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,1522635,1522683,220298,220306,ref-b.2.4.88a.55,ref-b.2.4.88a.63,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,8,9,3,428,0.5869565217391305,0.24,0.45652173913043476
4,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.2.07.49b.145-ref-b.2.07.49b.152,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,2031391,2031434,294873,294880,ref-b.2.7.49b.145,ref-b.2.7.49b.152,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב ,8,8,4,662,0.2857142857142857,0.1333333333333333,0.16666666666666666
5,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.2.13.3a.273-ref-b.2.13.3a.280,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,2674244,2674287,389874,389881,ref-b.2.13.3a.273,ref-b.2.13.3a.280,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי אברהם ולא אלהי יצחק ויעקב ,8,8,5,839,0.2857142857142857,0.1333333333333333,0.16666666666666666
6,ref-mek.1.1.1.192-ref-mek.1.1.1.199,ref-b.4.04.107a.28-ref-b.4.04.107a.33,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,6239185,6239217,909263,909268,ref-b.4.4.107a.28,ref-b.4.4.107a.33,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אברהם אלהי יצחק ואלהי יעקב ,8,6,6,2080,0.23809523809523808,0.23809523809523814,0.23809523809523808
9,ref-mek.1.1.1.347-ref-mek.1.1.1.351,ref-b.5.02.87a.298-ref-b.5.02.87a.307,1768,1791,260,264,ref-mek.1.1.1.347,ref-mek.1.1.1.351,7403981,7404021,1077807,1077813,ref-b.5.2.87a.298,ref-b.5.2.87a.307,שנאמר כי בחר ה' בציון ,אמרי אמר רבא בר רב שילא כי בחר ה' בציון ,5,10,9,2483,0.5,0.4878048780487805,0.5
10,ref-mek.1.1.1.347-ref-mek.1.1.1.355,ref-b.5.01.119a.201-ref-b.5.01.119a.214,1768,1816,260,268,ref-mek.1.1.1.347,ref-mek.1.1.1.355,7130684,7130749,1038422,1038434,ref-b.5.1.119a.201,ref-b.5.1.119a.214,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,10,14,10,2367,0.6984126984126984,0.296875,0.6190476190476191
11,ref-mek.1.1.1.377-ref-mek.1.1.1.388,ref-b.3.05.49a.9-ref-b.3.05.49a.19,1919,1982,286,296,ref-mek.1.1.1.377,ref-mek.1.1.1.388,3959888,3959938,577418,577427,ref-b.3.5.49a.9,ref-b.3.5.49a.19,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,13,11,11,1285,0.7166666666666667,0.35820895522388063,0.6166666666666667
