,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,baseWork
0,ref-mek.1.1.1.856-ref-mek.1.1.1.871,ref-sifra.2.01-02.13.36-ref-sifra.2.01-02.13.47,4390,4474,726,737,ref-mek.1.1.1.856,ref-mek.1.1.1.871,10299,10367,1638,1649,ref-sifra.2.1-02.13.36,ref-sifra.2.1-02.13.47,לאמר צא ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור ,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-sifra
1,ref-mek.1.1.1.856-ref-mek.1.1.1.880,ref-sifra.2.01-02.13.36-ref-sifra.2.01-02.13.47,4390,4523,726,745,ref-mek.1.1.1.856,ref-mek.1.1.1.880,10299,10367,1638,1649,ref-sifra.2.1-02.13.36,ref-sifra.2.1-02.13.47,לאמר צא ואמור אליהם מיד דברי_ר'_ישמעאל שנאמר ויצא ודבר ר'_אליעזר_אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם ,לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-mek
2,ref-mek.1.1.1.874-ref-mek.1.1.1.883,ref-sifra.5.1.36.5-ref-sifra.5.1.36.14,4490,4536,740,748,ref-mek.1.1.1.874,ref-mek.1.1.1.883,250705,250753,36842,36851,ref-sifra.5.1.36.5,ref-sifra.5.1.36.14,דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,דבר ה' לאמר בקרבי אקדש זה דבור נאמר בסיני למשה ,ref-mek
3,ref-mek.1.1.1.874-ref-mek.1.1.1.883,ref-sifra.5.1.36.1-ref-sifra.5.1.36.11,4490,4536,740,748,ref-mek.1.1.1.874,ref-mek.1.1.1.883,250686,250735,36838,36848,ref-sifra.5.1.36.1,ref-sifra.5.1.36.11,דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,ויאמר משה הוא אשר דבר ה' לאמר בקרבי אקדש זה דבור ,ref-sifra
4,ref-mek.1.1.1.1041-ref-mek.1.1.1.1061,ref-sifra.2.01-02.13.1-ref-sifra.2.01-02.13.23,5425,5527,889,907,ref-mek.1.1.1.1041,ref-mek.1.1.1.1061,10125,10245,1608,1629,ref-sifra.2.1-02.13.1,ref-sifra.2.1-02.13.23,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי ","לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי ",ref-mek
5,ref-mek.1.1.1.1041-ref-mek.1.1.1.1067,ref-sifra.2.01-02.13.23-ref-sifra.2.01-02.13.47,5425,5557,889,913,ref-mek.1.1.1.1041,ref-mek.1.1.1.1067,10240,10367,1629,1649,ref-sifra.2.1-02.13.23,ref-sifra.2.1-02.13.47,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ",ויהי כאשר תמו כל אנשי המלחמה למות וידבר_ה'_אלי  דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר ,ref-mek
6,ref-mek.1.1.1.1041-ref-mek.1.1.1.1071,ref-sifra.2.01-02.13.1-ref-sifra.2.01-02.13.42,5425,5576,889,915,ref-mek.1.1.1.1041,ref-mek.1.1.1.1071,10125,10339,1608,1644,ref-sifra.2.1-02.13.1,ref-sifra.2.1-02.13.42,"לאמר צא ואמור להם שבזכותם היה מדבר עמי שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ויאמר_ה'_אלי לאמר ","לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל""ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות וידבר_ה'_אלי  דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה ",ref-sifra
7,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.30-ref-sifra.2.01-02.12.38,5598,5641,918,924,ref-mek.1.1.1.1077,ref-mek.1.1.1.1084,9625,9672,1531,1538,ref-sifra.2.1-02.12.30,ref-sifra.2.1-02.12.38,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-mek
8,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.112-ref-sifra.2.01-02.12.119,5598,5641,918,924,ref-mek.1.1.1.1077,ref-mek.1.1.1.1084,10010,10054,1589,1595,ref-sifra.2.1-02.12.112,ref-sifra.2.1-02.12.119,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,איני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-mek
9,ref-mek.1.1.1.1077-ref-mek.1.1.1.1084,ref-sifra.2.01-02.12.30-ref-sifra.2.01-02.12.38,5598,5641,918,924,ref-mek.1.1.1.1077,ref-mek.1.1.1.1084,9625,9672,1531,1538,ref-sifra.2.1-02.12.30,ref-sifra.2.1-02.12.38,איני כמשיב על דברי ר' אלא כמוסיף על דבריו ,אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו ,ref-sifra
