,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-mek.1.1.1.481-ref-mek.1.1.1.492,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2467,2525,380,390,ref-mek.1.1.1.481,ref-mek.1.1.1.492,389217,389270,65438,65448,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,12,11,0,980,0.7818181818181819,0.3538461538461538,0.5818181818181818
1,ref-mek.1.1.1.497-ref-mek.1.1.1.506,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,2550,2596,395,404,ref-mek.1.1.1.497,ref-mek.1.1.1.506,389217,389270,65438,65448,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,היה דבר ה' היה שנדבר עמו בארץ היה שנדבר עמו ,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,10,11,1,981,0.5769230769230769,0.4,0.4807692307692308
2,ref-mek.1.1.1.562-ref-mek.1.1.1.573,ref-sifre-d.40.3.19-ref-sifre-d.40.3.31,2872,2935,453,463,ref-mek.1.1.1.562,ref-mek.1.1.1.573,64824,64892,10930,10941,ref-sifre-d.40.3.19,ref-sifre-d.40.3.31,עיני ה' משוטטות בכל הארץ בכל מקום עיני ה' צופות רעים וטובים ,עיני ה' משוטטים בכל הארץ ואומר כל מקום עיני ה' צופות רעים וטובים ,12,13,2,139,0.12307692307692308,0.13432835820895528,0.12307692307692308
3,ref-mek.1.1.1.799-ref-mek.1.1.1.810,ref-sifre-d.344.2.13-ref-sifre-d.344.2.23,4113,4166,676,684,ref-mek.1.1.1.799,ref-mek.1.1.1.810,361100,361150,60573,60582,ref-sifre-d.344.2.13,ref-sifre-d.344.2.23,במשה מה הוא אומר ועתה אם תשא חטאתם ואם אין מחני נא ,במשה מהו אומר ועתה אם תשא חטאתם ואם אין מחני נא ,12,11,3,918,0.058823529411764705,0.05882352941176472,0.058823529411764705
4,ref-mek.1.1.1.829-ref-mek.1.1.1.839,ref-sifre-d.344.2.24-ref-sifre-d.344.2.35,4252,4310,702,712,ref-mek.1.1.1.829,ref-mek.1.1.1.839,361151,361212,60583,60593,ref-sifre-d.344.2.24,ref-sifre-d.344.2.35,בדוד מהו אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו ,בדוד הוא אומר אני הוא חטאתי ואני העויתי ואלה הצאן מה עשו ,11,12,4,919,0.12280701754385964,0.11864406779661019,0.08771929824561403
5,ref-mek.1.1.1.858-ref-mek.1.1.1.882,ref-sifre-d.310.8.9-ref-sifre-d.310.8.15,4398,4529,728,747,ref-mek.1.1.1.858,ref-mek.1.1.1.882,317714,317743,53148,53154,ref-sifre-d.310.8.9,ref-sifre-d.310.8.15,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ,שנאמר ואל משה אמר עלה אל ה' ,25,7,5,826,0.7950819672131147,0.7704918032786885,0.7950819672131147
6,ref-mek.1.1.1.858-ref-mek.1.1.1.883,ref-sifre-d.355.27.10-ref-sifre-d.355.27.21,4398,4536,728,748,ref-mek.1.1.1.858,ref-mek.1.1.1.883,380826,380889,63983,63994,ref-sifre-d.355.27.10,ref-sifre-d.355.27.21,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר ,אומרת אל ישורון ישראל אומר מי כמוך באלים ה' ורוח הקודש אומרת ,26,12,6,950,0.6875,0.5895522388059702,0.6640625
9,ref-mek.1.2.1.163-ref-mek.1.2.1.185,ref-sifre-d.140.1.8-ref-sifre-d.140.1.19,7444,7573,1245,1264,ref-mek.1.2.1.163,ref-mek.1.2.1.185,171346,171406,28653,28661,ref-sifre-d.140.1.8,ref-sifre-d.140.1.19,ומנין אף למלכים תלמוד לומר הוא החדש השני למלוך שלמה על ישראל ומנין אף לרגלים תלמוד לומר חג המצות וחג השבועות וחג הסכות ,ומנין אף לגבוה תלמוד לומר חג למה נאמר לפי שנאמר חג הסכות ,23,12,9,475,0.6134453781512605,0.5333333333333333,0.6134453781512605
11,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-sifre-d.143.8.1-ref-sifre-d.143.8.6,7538,7573,1259,1264,ref-mek.1.2.1.180,ref-mek.1.2.1.185,173831,173870,29060,29065,ref-sifre-d.143.8.1,ref-sifre-d.143.8.6,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסכות ,6,6,11,483,0.08823529411764706,0.08823529411764708,0.08823529411764706
12,ref-mek.1.2.2.21-ref-mek.1.2.2.33,ref-sifre-d.127.1.1-ref-sifre-d.127.1.13,8593,8664,1430,1440,ref-mek.1.2.2.21,ref-mek.1.2.2.33,163862,163932,27424,27435,ref-sifre-d.127.1.1,ref-sifre-d.127.1.13,שמור את חדש האביב וגו' שמור את הפסח לאביב ואביב לפסח שיבא בזמנו ,שמור את חדש האביב שמור החדש שהוא סמוך לאביב מפני אביב שיהא בזמנו ,13,13,12,427,0.36923076923076925,0.2567567567567568,0.26153846153846155
