,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-mek.1.1.1.40-ref-mek.1.1.1.47,ref-sifre-n.123.1.188-ref-sifre-n.123.1.195,189,228,25,32,ref-mek.1.1.1.40,ref-mek.1.1.1.47,206201,206239,32579,32586,ref-sifre-n.123.1.188,ref-sifre-n.123.1.195,שכשם שהיה משה כלל לדברות כך היה אהרן ,וכשם שהיה משה גזבר לדבר כך היה אהרן ,8,8,0,625,0.1891891891891892,0.2195121951219512,0.16216216216216217
1,ref-mek.1.1.1.372-ref-mek.1.1.1.377,ref-sifre-n.118.1.1063-ref-sifre-n.118.1.1068,1896,1921,281,286,ref-mek.1.1.1.372,ref-mek.1.1.1.377,194482,194507,30715,30720,ref-sifre-n.118.1.1063,ref-sifre-n.118.1.1068,ברית מלח עולם היא לפני ה' ,ברית מלח עולם היא לפני ה' ,6,6,1,594,0.0,0.0,0.0
2,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.73-ref-sifre-n.91.1.80,4183,4214,688,694,ref-mek.1.1.1.814,ref-mek.1.1.1.821,127954,127985,19774,19780,ref-sifre-n.91.1.73,ref-sifre-n.91.1.80,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,2,383,0.0,0.0,0.0
3,ref-mek.1.1.1.814-ref-mek.1.1.1.821,ref-sifre-n.91.1.133-ref-sifre-n.91.1.140,4183,4214,688,694,ref-mek.1.1.1.814,ref-mek.1.1.1.821,128263,128294,19824,19830,ref-sifre-n.91.1.133,ref-sifre-n.91.1.140,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,3,384,0.0,0.0,0.0
4,ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-sifre-n.84.4.164-ref-sifre-n.84.4.178,4183,4251,688,701,ref-mek.1.1.1.814,ref-mek.1.1.1.828,115045,115117,17557,17570,ref-sifre-n.84.4.164,ref-sifre-n.84.4.178,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עושה לי הרגני נא הרוג ואם מצאתי חן בעיניך ואל אראה ברעתי ,15,15,4,357,0.029411764705882353,0.02941176470588236,0.029411764705882353
5,ref-mek.1.2.1.20-ref-mek.1.2.1.28,ref-sifre-n.61.1.13-ref-sifre-n.61.1.22,6703,6745,1121,1127,ref-mek.1.2.1.20,ref-mek.1.2.1.28,85721,85770,12754,12761,ref-sifre-n.61.1.13,ref-sifre-n.61.1.22,ר' עקיבא אומר זה אחד מג' דברים שנתקשה משה ,ר' עקיבא אומר זה אחד משלשה דברים שנתקשה בהם משה ,9,10,5,251,0.16666666666666666,0.19999999999999996,0.16666666666666666
6,ref-mek.1.2.1.155-ref-mek.1.2.1.170,ref-sifre-n.145.2.24-ref-sifre-n.145.2.50,7401,7488,1237,1251,ref-mek.1.2.1.155,ref-mek.1.2.1.170,259127,259276,41309,41331,ref-sifre-n.145.2.24,ref-sifre-n.145.2.50,חדש ניסן ראש חדשים מגיד שניסן ראש לחדשים ומנין אף למלכים תלמוד לומר הוא החדש השני ,"חודש בחדשו מגיד שאם עבר היום בטל קרבנו לחדשי השנה למה נאמר לפי שהוא אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי השנה ",16,27,6,726,0.6830985915492958,0.4864864864864865,0.6408450704225352
7,ref-mek.1.2.1.242-ref-mek.1.2.1.254,ref-sifre-n.108.1.19-ref-sifre-n.108.1.25,7899,7966,1317,1329,ref-mek.1.2.1.242,ref-mek.1.2.1.254,154836,154878,24301,24307,ref-sifre-n.108.1.19,ref-sifre-n.108.1.25,מנה בו אדם הראשון אתה אומר לכם ולא מנה בו אדם הראשון או אינו אלא ,מין הדמים אתה אומר מין הדמים או אינו אלא ,15,9,7,445,0.5538461538461539,0.5070422535211268,0.5230769230769231
8,ref-mek.1.2.2.3-ref-mek.1.2.2.16,ref-sifre-n.145.2.32-ref-sifre-n.145.2.49,8495,8593,1417,1429,ref-mek.1.2.2.3,ref-mek.1.2.2.16,259169,259270,41317,41330,ref-sifre-n.145.2.32,ref-sifre-n.145.2.49,שומעני מיעוט חדשים שנים מנין לשאר חדשים תלמוד לומר לחדשי השנה ראשון הוא למה נאמר לפי שהוא אומר ש,"לחדשי השנה למה נאמר לפי שהוא אומר ובראשי חדשיכם תקריבו עולה לה' שומעני מיעוט חדשים שנים ת""ל לחדשי ",19,18,8,727,0.7755102040816326,0.22018348623853212,0.5612244897959183
10,ref-mek.1.4.2.107-ref-mek.1.4.2.134,ref-sifre-n.153.4.254-ref-sifre-n.153.4.273,11786,11937,1921,1947,ref-mek.1.4.2.107,ref-mek.1.4.2.134,267028,267132,42618,42636,ref-sifre-n.153.4.254,ref-sifre-n.153.4.273,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב אחד שומע אני שה אחד לכולם תלמוד לומר שה לבית אבות ,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה שכל ,28,20,10,752,0.6099290780141844,0.4144736842105263,0.5177304964539007
12,ref-mek.1.5.1.38-ref-mek.1.5.1.51,ref-sifre-n.107.2.139-ref-sifre-n.107.2.150,13338,13405,2154,2167,ref-mek.1.5.1.38,ref-mek.1.5.1.51,148649,148705,23266,23275,ref-sifre-n.107.2.139,ref-sifre-n.107.2.150,עולה חמורה כשרה לבא כל שנתה כבת שנתה פסח שהוא קל אינו דין שיוכשר ,עולת חמורה כשרה לבא מין אחד פסח הקל אינו דין הוא שיכשר ,14,12,12,437,0.38461538461538464,0.3098591549295775,0.3230769230769231
