,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-mek.1.1.1.171-ref-mek.1.1.1.179,ref-y.02.12.2.00.2465-ref-y.02.12.2.00.2474,833,882,123,131,ref-mek.1.1.1.171,ref-mek.1.1.1.179,1968221,1968273,301025,301034,ref-y.2.12.2..2465,ref-y.2.12.2..2474,במעשה כשהוא אומר ביום עשות ה' אלהים ארץ ושמים ,"ביום עשות ה' אלהים ארץ ושמים שמים בראשון כב""ש עשה ",9,10,0,694,0.74,0.2222222222222222,0.42
2,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.01.01.1.00.1540-ref-y.01.01.1.00.1545,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,8082,8112,1292,1297,ref-y.1.1.1..1540,ref-y.1.1.1..1545,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,2,5,0.0,0.0,0.0
3,ref-mek.1.1.1.174-ref-mek.1.1.1.179,ref-y.02.12.2.00.2378-ref-y.02.12.2.00.2383,852,882,126,131,ref-mek.1.1.1.174,ref-mek.1.1.1.179,1967748,1967778,300946,300951,ref-y.2.12.2..2378,ref-y.2.12.2..2383,ביום עשות ה' אלהים ארץ ושמים ,ביום עשות ה' אלהים ארץ ושמים ,6,6,3,692,0.0,0.0,0.0
4,ref-mek.1.1.1.531-ref-mek.1.1.1.538,ref-y.04.04.11.00.1246-ref-y.04.04.11.00.1251,2723,2766,424,431,ref-mek.1.1.1.531,ref-mek.1.1.1.538,3225771,3225803,491528,491533,ref-y.4.4.11..1246,ref-y.4.4.11..1251,ויקם יונה לברוח תרשישה וגו' וכי מלפני ה' ,ויקם יונה לברוח תרשישה מלפני ה' ,8,6,4,1358,0.21951219512195122,0.2195121951219512,0.21951219512195122
5,ref-mek.1.1.1.657-ref-mek.1.1.1.662,ref-y.01.01.9.00.2950-ref-y.01.01.9.00.2954,3367,3393,540,545,ref-mek.1.1.1.657,ref-mek.1.1.1.662,174816,174840,27540,27544,ref-y.1.1.9..2950,ref-y.1.1.9..2954,וה' הטיל רוח גדולה אל הים ,וה' הטיל רוח גדולה בימי ,6,5,5,110,0.19230769230769232,0.27586206896551724,0.19230769230769232
6,ref-mek.1.1.1.761-ref-mek.1.1.1.767,ref-y.04.04.10.00.2692-ref-y.04.04.10.00.2698,3915,3945,641,647,ref-mek.1.1.1.761,ref-mek.1.1.1.767,3195841,3195874,486565,486571,ref-y.4.4.10..2692,ref-y.4.4.10..2698,ויהי דבר ה' אל יונה שנית לאמר ,ויהי דבר ה' אל אליהו התשבי לאמר ,7,7,6,1342,0.21875,0.17647058823529416,0.1875
7,ref-mek.1.1.1.761-ref-mek.1.1.1.767,ref-y.04.04.10.00.3362-ref-y.04.04.10.00.3368,3915,3945,641,647,ref-mek.1.1.1.761,ref-mek.1.1.1.767,3199236,3199269,487133,487139,ref-y.4.4.10..3362,ref-y.4.4.10..3368,ויהי דבר ה' אל יונה שנית לאמר ,ויהי דבר ה' אל ישעיה הנביא לאמר ,7,7,7,1346,0.1875,0.22857142857142854,0.1875
8,ref-mek.1.1.1.1049-ref-mek.1.1.1.1067,ref-y.02.09.3.00.734-ref-y.02.09.3.00.752,5466,5557,897,913,ref-mek.1.1.1.1049,ref-mek.1.1.1.1067,1742361,1742457,265653,265670,ref-y.2.9.3..734,ref-y.2.9.3..752,"שכל ל""ח שנה שהיה כועס על ישראל לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ","שכל ל""ח שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ",19,19,8,572,0.21978021978021978,0.14583333333333337,0.15384615384615385
9,ref-mek.1.1.1.1168-ref-mek.1.1.1.1172,ref-y.03.02.2.00.2532-ref-y.03.02.2.00.2536,6071,6101,1005,1009,ref-mek.1.1.1.1168,ref-mek.1.1.1.1172,2224250,2224280,338654,338658,ref-y.3.2.2..2532,ref-y.3.2.2..2536,יגעתי באנחתי ומנוחה לא מצאתי ,יגעתי באנחתי ומנוחה לא מצאתי ,5,5,9,765,0.0,0.0,0.0
10,ref-mek.1.1.1.1168-ref-mek.1.1.1.1172,ref-y.03.05.1.00.1761-ref-y.03.05.1.00.1765,6071,6101,1005,1009,ref-mek.1.1.1.1168,ref-mek.1.1.1.1172,2540542,2540572,385888,385892,ref-y.3.5.1..1761,ref-y.3.5.1..1765,יגעתי באנחתי ומנוחה לא מצאתי ,יגעתי באנחתי ומנוחה לא מצאתי ,5,5,10,863,0.0,0.0,0.0
11,ref-mek.1.1.1.1237-ref-mek.1.1.1.1246,ref-y.04.04.10.00.2813-ref-y.04.04.10.00.2827,6423,6462,1071,1078,ref-mek.1.1.1.1237,ref-mek.1.1.1.1246,3196450,3196515,486675,486686,ref-y.4.4.10..2813,ref-y.4.4.10..2827,אם אין כרם אין סייג אם אין צאן אין רועה ,אם אין גדיים אין תיישים אם אין תיישים אין צאן אם אין צאן אין רועה ,10,15,11,1343,0.45454545454545453,0.46376811594202894,0.45454545454545453
12,ref-mek.1.2.1.98-ref-mek.1.2.1.109,ref-y.04.04.1.00.80-ref-y.04.04.1.00.88,7113,7169,1189,1198,ref-mek.1.2.1.98,ref-mek.1.2.1.109,3051761,3051806,463899,463905,ref-y.4.4.1..80,ref-y.4.4.1..88,אתה אומר זה ניסן או אינו אלא אחד מחדשי השנה כשהוא אומר ,אתה אומר בשנים או אינו אלא באחד כשהוא אומר ,12,9,12,1150,0.3090909090909091,0.31034482758620685,0.2909090909090909
13,ref-mek.1.2.1.107-ref-mek.1.2.1.130,ref-y.02.08.1.00.2409-ref-y.02.08.1.00.2435,7152,7275,1196,1218,ref-mek.1.2.1.107,ref-mek.1.2.1.130,1658306,1658445,252402,252423,ref-y.2.8.1..2409,ref-y.2.8.1..2435,השנה כשהוא אומר חג האסיף בצאת השנה וחג האסיף תקופת השנה אמרת צא וראה אי זה חדש שיש בו אסיף ותקופה ושנה יוצאה בו ,שנים מניין כתוב אחד אומר וחג האסיף בצאת השנה וכתוב אחד אומר וחג האסיף תקופת השנה אי זהו חדש שיש בו חג ותקופה ואסיף ושנה יוצא בו ,24,27,13,533,0.4375,0.24817518248175185,0.296875
15,ref-mek.1.2.1.180-ref-mek.1.2.1.185,ref-y.02.03.10.00.1616-ref-y.02.03.10.00.1621,7538,7573,1259,1264,ref-mek.1.2.1.180,ref-mek.1.2.1.185,1354104,1354144,204781,204786,ref-y.2.3.10..1616,ref-y.2.3.10..1621,חג המצות וחג השבועות וחג הסכות ,בחג המצות ובחג השבועות ובחג הסוכות ,6,6,15,415,0.11428571428571428,0.11428571428571432,0.11428571428571428
