,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
1,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.8.12,ref-b.1.01.2a.123-ref-b.1.01.2a.134,552230,552367,84011,84034,ref-sifra.12.4-04.7.13,ref-sifra.12.4-04.8.12,686,762,104,115,ref-b.1.1.2a.123,ref-b.1.1.2a.134,ובא השמש וטהר מה ביאת שמשו כולו כאחת אף במים כולו כאחת ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול ,ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול ,24,12,6244,1,0.44,0.33333333333333337
2,ref-sifra.12.04-04.7.13-ref-sifra.12.04-04.8.12,ref-b.1.01.2a.123-ref-b.1.01.2a.141,552230,552367,84011,84034,ref-sifra.12.4-04.7.13,ref-sifra.12.4-04.8.12,686,804,104,122,ref-b.1.1.2a.123,ref-b.1.1.2a.141,ובא השמש וטהר מה ביאת שמשו כולו כאחת אף במים כולו כאחת ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול ,ובא השמש וטהר ביאת שמשו מעכבתו מלאכול בתרומה ואין כפרתו מעכבתו מלאכול בתרומה וממאי דהאי ובא השמש ביאת השמש ,24,19,6245,2,0.488,0.4285714285714286
3,ref-sifra.4.07-12.5.14-ref-sifra.4.07-12.5.20,ref-b.1.01.4a.390-ref-b.1.01.4a.398,199258,199293,28876,28882,ref-sifra.4.7-12.5.14,ref-sifra.4.7-12.5.20,10119,10161,1549,1556,ref-b.1.1.4a.390,ref-b.1.1.4a.398,אמרו חכמים עד חצות להרחיק מן העבירה ,אמרי עד חצות כדי להרחיק את האדם מן העבירה ,7,9,2517,3,0.42857142857142855,0.4
4,ref-sifra.2.12-14.6.52-ref-sifra.2.12-14.6.69,ref-b.1.01.5a.577-ref-b.1.01.5a.590,64710,64800,9671,9684,ref-sifra.2.12-14.6.52,ref-sifra.2.12-14.6.69,15799,15876,2391,2404,ref-b.1.1.5a.577,ref-b.1.1.5a.590,ולא תשבית מלח ברית אלהיך מעל מנחתך ולהלן הוא אומר מאת בני ישראל ברית עולם מה ברית אמורה ,ולא תשבית מלח ברית ונאמר ברית ביסורין דכתיב אלה דברי הברית מה ברית האמור ,18,14,788,4,0.48863636363636365,0.7222222222222222
5,ref-sifra.4.07-12.5.14-ref-sifra.4.07-12.5.20,ref-b.1.01.8b.626-ref-b.1.01.8b.633,199258,199293,28876,28882,ref-sifra.4.7-12.5.14,ref-sifra.4.7-12.5.20,39891,39928,6040,6047,ref-b.1.1.8b.626,ref-b.1.1.8b.633,אמרו חכמים עד חצות להרחיק מן העבירה ,אמרי עד חצות כדי להרחיק אדם מן העבירה ,7,8,2518,5,0.3684210526315789,0.33333333333333337
6,ref-sifra.14.03-00.10.31-ref-sifra.14.03-00.11.10,ref-b.1.01.13a.35-ref-b.1.01.13a.48,669094,669149,101871,101881,ref-sifra.14.3-00.10.31,ref-sifra.14.3-00.11.10,62273,62342,9508,9521,ref-b.1.1.13a.35,ref-b.1.1.13a.48,הימנה הין אם עשית שנת ששים כלמטה הימנו להחמיר נעשה שנת ,ממנו והיה מספר והולך מעשה ארי פגע בו נחש וניצל ממנו שכח מעשה שניהם ,11,14,7399,6,0.6716417910447762,0.875
7,ref-sifra.14.01-00.5.7-ref-sifra.14.01-00.5.21,ref-b.1.01.17a.444-ref-b.1.01.17a.458,645680,645758,98258,98272,ref-sifra.14.1-00.5.7,ref-sifra.14.1-00.5.21,84489,84575,12589,12603,ref-b.1.1.17a.444,ref-b.1.1.17a.458,ועשיתם אתם הלמד לעשות לא הלמד שלא לעשות שהלמד שלא לעשות נוח לו שלא נברא ,לעושיהם לעושים לשמה ולא לעושים שלא לשמה וכל העושה שלא לשמה נוח לו שלא נברא ,15,15,7301,7,0.4666666666666667,0.6666666666666667
8,ref-sifra.3.08-13.11.15-ref-sifra.3.08-13.11.30,ref-b.1.01.19a.857-ref-b.1.01.19a.869,129478,129564,18867,18880,ref-sifra.3.8-13.11.15,ref-sifra.3.8-13.11.30,97933,97995,14596,14603,ref-b.1.1.19a.857,ref-b.1.1.19a.869,ונעלם ממנו ונעלם ממנו שני פעמים דברי ר' עקיבא רבי אומר ונעלם ממנו מכלל ידיעה והוא ,מתעלם מהם ופעמים שאין אתה מתעלם מהם הא כיצד אם היה כהן והיא ,16,13,1650,8,0.6707317073170732,0.9411764705882353
9,ref-sifra.8.05-00.6.10-ref-sifra.8.05-00.6.20,ref-b.1.01.19a.928-ref-b.1.01.19a.939,382949,383018,57982,57992,ref-sifra.8.5-00.6.10,ref-sifra.8.5-00.6.20,98298,98355,14640,14648,ref-b.1.1.19a.928,ref-b.1.1.19a.939,מטמאים בנגעים וכשם שאין אחוזתם מטמאים בנגעים כך אין בגדיהם מטמאים ,ויטמא אמרת לא יטמא יכול כשם שאינו מטמא להם כך אינו מטמא ,11,12,4106,9,0.6363636363636364,0.8461538461538461
10,ref-sifra.2.12-00.3.14-ref-sifra.2.12-00.3.18,ref-b.1.01.21b.276-ref-b.1.01.21b.282,60509,60535,9040,9044,ref-sifra.2.12-00.3.14,ref-sifra.2.12-00.3.18,105487,105524,15628,15634,ref-b.1.1.21b.276,ref-b.1.1.21b.282,בכלל היתה ולמה יצאת להקיש ,בכלל כל המכשפים היו ולמה יצאו להקיש ,5,7,722,10,0.3333333333333333,0.625
11,ref-sifra.4.02-03.1.23-ref-sifra.4.02-03.1.27,ref-b.1.01.21b.276-ref-b.1.01.21b.282,172452,172478,24849,24853,ref-sifra.4.2-03.1.23,ref-sifra.4.2-03.1.27,105487,105524,15628,15634,ref-b.1.1.21b.276,ref-b.1.1.21b.282,בכלל היתה ולמה יצאת להקיש ,בכלל כל המכשפים היו ולמה יצאו להקיש ,5,7,2038,11,0.3333333333333333,0.625
12,ref-sifra.4.08-00.4.34-ref-sifra.4.08-00.4.38,ref-b.1.01.21b.276-ref-b.1.01.21b.282,202338,202362,29345,29349,ref-sifra.4.8-00.4.34,ref-sifra.4.8-00.4.38,105487,105524,15628,15634,ref-b.1.1.21b.276,ref-b.1.1.21b.282,בכלל היתה למה יצאת להקיש ,בכלל כל המכשפים היו ולמה יצאו להקיש ,5,7,2561,12,0.3611111111111111,0.7777777777777778
13,ref-sifra.13.01-00.6.35-ref-sifra.13.01-00.6.40,ref-b.1.01.21b.276-ref-b.1.01.21b.283,613588,613617,93244,93249,ref-sifra.13.1-00.6.35,ref-sifra.13.1-00.6.40,105487,105528,15628,15635,ref-b.1.1.21b.276,ref-b.1.1.21b.283,בכלל היו ולמה יצאו להקיש להם ,בכלל כל המכשפים היו ולמה יצאו להקיש להן ,6,8,6970,13,0.3,0.5
