,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-Sifra.1.9.5-ref-Sifra.1.9.10,ref-sifre-d.107.8.1-ref-sifre-d.107.8.6,1818,1848,307,312,ref-Sifra.1.9.5,ref-Sifra.1.9.10,146955,146987,24546,24551,ref-sifre-d.107.8.1,ref-sifre-d.107.8.6,ונתת הכסף בכל אשר תאוה נפשך ,ונתתה הכסף בכל אשר תאווה נפשך ,6,6,0,1209,0.06666666666666667,0.06666666666666665,0.06666666666666667
2,ref-Sifra.1.9.6-ref-Sifra.1.9.13,ref-sifre-d.107.9.34-ref-sifre-d.107.10.6,1824,1865,308,315,ref-Sifra.1.9.6,ref-Sifra.1.9.13,147241,147280,24593,24600,ref-sifre-d.107.9.34,ref-sifre-d.107.10.6,הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן ,כסף שני בכל אשר תאוה נפשך בבקר ובצאן ,8,8,2,1211,0.23684210526315788,0.1707317073170732,0.13157894736842105
4,ref-Sifra.1.9.7-ref-Sifra.1.9.19,ref-sifre-d.107.12.27-ref-sifre-d.107.13.9,1830,1898,309,321,ref-Sifra.1.9.7,ref-Sifra.1.9.19,147550,147619,24641,24653,ref-sifre-d.107.12.27,ref-sifre-d.107.13.9,בכל אשר תאוה נפשך כלל בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך ,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר ",13,13,4,1213,0.609375,0.26027397260273977,0.34375
5,ref-sifra.1.9.12-ref-sifra.1.9.20,ref-sifre-d.107.12.27-ref-sifre-d.107.13.9,1853,1903,314,322,ref-sifra.1.9.12,ref-sifra.1.9.20,147550,147619,24641,24653,ref-sifre-d.107.12.27,ref-sifre-d.107.13.9,בבקר ובצאן ביין ובשכר פרט ובכל אשר תשאלך נפשך ,"ובכל אשר תשאלך נפשך יכול אף מים ומלח ת""ל בבקר ובצאן וביין ובשכר ",9,13,5,1214,0.734375,0.35820895522388063,0.65625
6,ref-Sifra.2.01-01.1.2-ref-Sifra.2.01-01.2.11,ref-sifre-d.235.4.24-ref-sifre-d.235.4.35,5378,5592,917,944,ref-Sifra.2.1-01.1.2,ref-Sifra.2.1-01.2.11,236006,236071,39387,39397,ref-sifre-d.235.4.24,ref-sifre-d.235.4.35,וידבר הקדים קריאה לדיבור הלא דין הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן הקדים קריאה לדיבור לא אם אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,מה עלילות דברים האמור להלן טענת בתולים אף עלילת דברים האמור כאן ,38,12,6,2304,0.7881773399014779,0.7101449275362319,0.7733990147783252
7,ref-sifra.2.02-00.3.50-ref-sifra.2.02-00.3.61,ref-sifre-d.110.2.4-ref-sifre-d.110.2.17,12078,12145,1902,1913,ref-sifra.2.2-00.3.50,ref-sifra.2.2-00.3.61,150110,150169,25095,25107,ref-sifre-d.110.2.4,ref-sifre-d.110.2.17,אף מומרים בני מקבלי ברית יצאו גרים שאינם בני מקבלי ברית תלמוד לומר ,"ברית בין שאינם בני ברית ת""ל לוי מה לוי בן ברית אף כולם בני ",13,14,7,1378,0.6268656716417911,0.31999999999999995,0.5522388059701493
9,ref-Sifra.2.02-00.4.44-ref-Sifra.2.02-00.4.75,ref-sifre-d.306.36.82-ref-sifre-d.306.36.99,12504,12663,1969,1993,ref-Sifra.2.2-00.4.44,ref-Sifra.2.2-00.4.75,308485,308566,51616,51633,ref-sifre-d.306.36.82,ref-sifre-d.306.36.99,יאמר אדם קרבן לה'  שיקדים הקדשו להקרבתו דברי ר' יהודה אמר ר' שמעון מנין שלא יאמר אדם לה' עולה' עולה לה' מנחה לה' שלמים' שלמים תלמוד לומר תלמוד לומר קרבן לה' ,"יאמר אדם לה' עולה לה' מנחה לה' שלמים אלא עולה לה' מנחה לה' שלמים לה' ת""ל קרבן לה' ",31,18,9,3193,0.5668789808917197,0.4968553459119497,0.5668789808917197
11,ref-Sifra.2.02-00.4.104-ref-Sifra.2.02-00.4.108,ref-sifre-d.306.36.94-ref-sifre-d.306.36.99,12796,12819,2010,2013,ref-Sifra.2.2-00.4.104,ref-Sifra.2.2-00.4.108,308540,308566,51628,51633,ref-sifre-d.306.36.94,ref-sifre-d.306.36.99,לה' תלמוד לומר קרבן לה' ,"לה' שלמים לה' ת""ל קרבן לה' ",5,6,11,3203,0.3333333333333333,0.40625,0.3333333333333333
13,ref-Sifra.2.02-00.6.3-ref-Sifra.2.02-00.6.14,ref-sifre-d.100.2.7-ref-sifre-d.100.3.2,13172,13235,2060,2071,ref-Sifra.2.2-00.6.3,ref-Sifra.2.2-00.6.14,139509,139593,23330,23344,ref-sifre-d.100.2.7,ref-sifre-d.100.3.2,הבהמה יכול אף חיה שהיא קרויה בהמה שנאמר זאת הבהמה אשר תאכלו ,זאת החיה אשר תאכלו מכל הבהמה מלמד שחיה קרויה בהמה ובהמה קרויה חיה ומלמד שבהמה ,12,15,13,1096,0.6153846153846154,0.3373493975903614,0.5897435897435898
15,ref-Sifra.2.02-00.6.10-ref-Sifra.2.02-00.6.19,ref-sifre-d.100.3.14-ref-sifre-d.100.3.19,13208,13260,2067,2076,ref-Sifra.2.2-00.6.10,ref-Sifra.2.2-00.6.19,139655,139690,23355,23360,ref-sifre-d.100.3.14,ref-sifre-d.100.3.19,שנאמר זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,שנאמר זאת הבהמה איל וצבי ויחמור ,10,6,15,1099,0.3469387755102041,0.34693877551020413,0.3469387755102041
