,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-Sifra.1.2.18-ref-Sifra.1.2.30,ref-sifre-n.118.1.343-ref-sifre-n.118.1.351,112,179,17,28,ref-Sifra.1.2.18,ref-Sifra.1.2.30,190780,190822,30140,30148,ref-sifre-n.118.1.343,ref-sifre-n.118.1.351,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,13,9,0,2062,0.3728813559322034,0.3666666666666667,0.3559322033898305
1,ref-Sifra.1.2.18-ref-Sifra.1.2.30,ref-sifre-n.118.1.438-ref-sifre-n.118.1.446,112,179,17,28,ref-Sifra.1.2.18,ref-Sifra.1.2.30,191256,191298,30214,30222,ref-sifre-n.118.1.438,ref-sifre-n.118.1.446,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,13,9,1,2065,0.3728813559322034,0.3666666666666667,0.3559322033898305
2,ref-Sifra.1.2.96-ref-Sifra.1.2.106,ref-sifre-n.19.1.197-ref-sifre-n.19.1.202,496,558,73,82,ref-Sifra.1.2.96,ref-Sifra.1.2.106,30975,31012,4717,4722,ref-sifre-n.19.1.197,ref-sifre-n.19.1.202,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב ,לידון בדבר החדש החזירה הכתוב לכלל ,11,6,2,331,0.576271186440678,0.44999999999999996,0.5423728813559322
4,ref-Sifra.1.2.96-ref-Sifra.1.2.107,ref-sifre-n.37.1.147-ref-sifre-n.37.1.158,496,565,73,83,ref-Sifra.1.2.96,ref-Sifra.1.2.107,60713,60783,8707,8717,ref-sifre-n.37.1.147,ref-sifre-n.37.1.158,לידון בדבר חדש אי אתה יכול להחזירו לכללו עד שיחזירנו הכתוב לכללו ,לדון בדבר החדש אי אתה יכול לההזירו לכללו עד שיחזירנו הכתוב לכללו ,12,12,4,986,0.046153846153846156,0.05970149253731338,0.03076923076923077
6,ref-Sifra.1.3.8-ref-Sifra.1.3.15,ref-sifre-n.138.1.174-ref-sifre-n.138.1.181,720,761,108,115,ref-Sifra.1.3.8,ref-Sifra.1.3.15,249286,249325,39657,39664,ref-sifre-n.138.1.174,ref-sifre-n.138.1.181,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירוק ירק בפניה הלא תכלם ז' ימים ,8,8,6,2635,0.1282051282051282,0.16666666666666663,0.10256410256410256
8,ref-Sifra.1.3.22-ref-Sifra.1.3.31,ref-sifre-n.106.1.35-ref-sifre-n.106.1.42,797,844,122,130,ref-Sifra.1.3.22,ref-Sifra.1.3.31,145034,145073,22671,22677,ref-sifre-n.106.1.35,ref-sifre-n.106.1.42,ארבעה עשר יום אלא דיו לבא מן הדין להיות כנדון ,ארבעה עשר דיו לבא מן הדין להיות כנדון ,10,8,8,1510,0.17391304347826086,0.17391304347826086,0.17391304347826086
10,ref-Sifra.1.9.21-ref-Sifra.1.9.33,ref-sifre-n.118.1.334-ref-sifre-n.118.1.353,1904,1964,323,334,ref-Sifra.1.9.21,ref-Sifra.1.9.33,190739,190830,30131,30150,ref-sifre-n.118.1.334,ref-sifre-n.118.1.353,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,13,20,10,2060,0.3793103448275862,0.375,0.367816091954023
12,ref-Sifra.1.9.21-ref-Sifra.1.9.33,ref-sifre-n.118.1.429-ref-sifre-n.118.1.448,1904,1964,323,334,ref-Sifra.1.9.21,ref-Sifra.1.9.33,191215,191306,30205,30224,ref-sifre-n.118.1.429,ref-sifre-n.118.1.448,חזר וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך ,חזר וכלל או כלל בכלל ראשון אמרת לאו אלא כלל ופרט וכלל אין אתה דן אלא כעין הפרט לומר לך ,13,20,12,2063,0.3793103448275862,0.375,0.367816091954023
14,ref-Sifra.1.9.24-ref-Sifra.1.9.35,ref-sifre-n.24.1.253-ref-sifre-n.24.1.268,1918,1973,326,336,ref-Sifra.1.9.24,ref-Sifra.1.9.35,39377,39462,5983,5997,ref-sifre-n.24.1.253,ref-sifre-n.24.1.268,ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט ,הפרט אי אתה יכול לדונו כעין הפרט להוציאו מן הכלל עד שיפרוט לך הכתוב בדרך שפרט ,12,16,14,416,0.6153846153846154,0.40740740740740744,0.5128205128205128
16,ref-Sifra.1.11.50-ref-Sifra.1.11.62,ref-sifre-n.107.1.286-ref-sifre-n.107.1.292,2607,2668,446,458,ref-Sifra.1.11.50,ref-Sifra.1.11.62,147810,147843,23124,23130,ref-sifre-n.107.1.286,ref-sifre-n.107.1.292,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,ויצא מוצא מן הכלל ללמד על הכלל ,13,7,16,1528,0.559322033898305,0.47457627118644063,0.5423728813559322
