,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-sifra.1.2.16-ref-sifra.1.2.23,ref-y.03.04.6.00.392-ref-y.03.04.6.00.437,99,147,15,22,ref-sifra.1.2.16,ref-sifra.1.2.23,2479731,2479952,376749,376778,ref-y.3.4.6..392,ref-y.3.4.6..437,משני כתובים מכלל ופרט מפרט וכלל מכלל ופרט ,"כלל במקום אחד ופרט במקום אחר וכא כלל ופרט במקום אחד והא חברייא אמרי לא שנייא בין כלל במקום אחד ופרט במקום אחר בין שכלל ופרט במקום אחד כלל ופרט הוא אלא תמן כלל ואח""כ פרט וכא פרט ואח""כ כלל והא רבי יוסי אמר לא שנייה ",8,46,0,4553,0.8262910798122066,0.8028169014084507,0.8262910798122066
2,ref-Sifra.1.2.18-ref-Sifra.1.2.30,ref-y.01.08.1.00.2020-ref-y.01.08.1.00.2030,112,179,17,28,ref-Sifra.1.2.18,ref-Sifra.1.2.30,692281,692330,106229,106238,ref-y.1.8.1..2020,ref-y.1.8.1..2030,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל אחר כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,13,11,2,786,0.2542372881355932,0.2786885245901639,0.2542372881355932
3,ref-Sifra.1.2.18-ref-Sifra.1.2.30,ref-y.02.02.3.00.206-ref-y.02.02.3.00.216,112,179,17,28,ref-Sifra.1.2.18,ref-Sifra.1.2.30,1121742,1121794,169732,169741,ref-y.2.2.3..206,ref-y.2.2.3..216,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,כלל אחר כלל ופרט וכלל ואין אתה דן אלא כעין הפרט ,13,11,3,1410,0.288135593220339,0.27419354838709675,0.2542372881355932
4,ref-Sifra.1.2.18-ref-Sifra.1.2.32,ref-y.03.07.1.00.4901-ref-y.03.07.1.00.4917,112,191,17,30,ref-Sifra.1.2.18,ref-Sifra.1.2.32,2779720,2779803,421892,421908,ref-y.3.7.1..4901,ref-y.3.7.1..4917,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא ,וכשהוא אומר ואת כל שערו יגלח חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט ,15,17,4,5123,0.4935064935064935,0.3023255813953488,0.33766233766233766
5,ref-Sifra.1.2.18-ref-Sifra.1.2.38,ref-y.02.01.7.00.2083-ref-y.02.01.7.00.2112,112,225,17,36,ref-Sifra.1.2.18,ref-Sifra.1.2.38,978959,979100,148510,148532,ref-y.2.1.7..2083,ref-y.2.1.7..2112,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל ,"פרט בעכו""ם פרט ואחר כך כלל ר' יוסי אמר לא שנייא בין שכלל ואחר כך פרט בין שפרט ואחר כך כלל בין שכלל ופרט וכלל כלל ופרט היא בשבת כלל ",21,30,5,1233,0.6335877862595419,0.36170212765957444,0.5419847328244275
6,ref-Sifra.1.2.18-ref-Sifra.1.2.38,ref-y.03.04.6.00.236-ref-y.03.04.6.00.259,112,225,17,36,ref-Sifra.1.2.18,ref-Sifra.1.2.38,2478888,2478997,376615,376630,ref-y.3.4.6..236,ref-y.3.4.6..259,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל ,"כלל ואחר כך פרט ובע""ז פרט ואחר כך כלל רבי יוסי אומר לא שנייא בין שכלל ואחר כך פרט בין שפרט ואחר כך כלל ",21,24,6,4534,0.5825242718446602,0.376,0.42718446601941745
7,ref-Sifra.1.2.18-ref-Sifra.1.2.57,ref-y.03.05.7.00.1089-ref-y.03.05.7.00.1121,112,308,17,49,ref-Sifra.1.2.18,ref-Sifra.1.2.57,2606881,2607041,396209,396231,ref-y.3.5.7..1089,ref-y.3.5.7..1121,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,40,33,7,4875,0.39226519337016574,0.29949238578680204,0.3314917127071823
11,ref-sifra.1.2.30-ref-sifra.1.2.57,ref-y.03.05.7.00.1089-ref-y.03.05.7.00.1121,174,308,28,49,ref-sifra.1.2.30,ref-sifra.1.2.57,2606881,2607041,396209,396231,ref-y.3.5.7..1089,ref-y.3.5.7..1121,הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ,28,33,11,4876,0.38961038961038963,0.26543209876543206,0.33766233766233766
12,ref-Sifra.1.2.113-ref-Sifra.1.3.1,ref-y.02.12.3.00.1933-ref-y.02.12.3.00.1942,599,696,89,102,ref-Sifra.1.2.113,ref-Sifra.1.3.1,1992664,1992726,304817,304825,ref-y.2.12.3..1933,ref-y.2.12.3..1942,הלמד מסופו וכן שני כתובין המכחישין זה את זה עד שיבא הכתוב השלישי ויכריע ביניהן מקל וחומר ,"למדנו לראשון ולשני מן הכתוב ולשלישי מן הדין ולרביעי מק""ו ",17,10,12,3595,0.651685393258427,0.4301075268817204,0.5842696629213483
14,ref-Sifra.1.2.113-ref-Sifra.1.3.1,ref-y.03.05.5.00.1446-ref-y.03.05.5.00.1455,599,696,89,102,ref-Sifra.1.2.113,ref-Sifra.1.3.1,2590325,2590393,393652,393660,ref-y.3.5.5..1446,ref-y.3.5.5..1455,הלמד מסופו וכן שני כתובין המכחישין זה את זה עד שיבא הכתוב השלישי ויכריע ביניהן מקל וחומר ,למדנו לראשון ולשני מן הכתוב ולשלישי מן הדין ולרביעי מקל וחומר ,17,11,14,4788,0.5842696629213483,0.3936170212765957,0.5168539325842697
