,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-sifre-d.1.2.33-ref-sifre-d.1.2.40,ref-b.2.02.32b.439-ref-b.2.02.32b.446,365,407,59,66,ref-sifre-d.1.2.33,ref-sifre-d.1.2.40,444663,444705,66047,66054,ref-b.2.2.32b.439,ref-b.2.2.32b.446,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר ,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר ,8,8,0,163,0.0,0.0,0.0
1,ref-sifre-d.1.3.47-ref-sifre-d.1.3.60,ref-b.4.04.98b.209-ref-b.4.04.98b.222,671,736,110,123,ref-sifre-d.1.3.47,ref-sifre-d.1.3.60,6188613,6188677,901289,901302,ref-b.4.4.98b.209,ref-b.4.4.98b.222,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,14,14,1,2440,0.015625,0.015625,0.015625
2,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-b.4.03.25b.1-ref-b.4.03.25b.7,1153,1180,187,192,ref-sifre-d.1.5.25,ref-sifre-d.1.5.30,5455443,5455476,793916,793922,ref-b.4.3.25b.1,ref-b.4.3.25b.7,הולך אל דרום וסובב אל צפון ,הולך אל דרום ביום וסובב אל צפון ,6,7,2,1959,0.15625,0.15625,0.15625
3,ref-sifre-d.1.5.25-ref-sifre-d.1.5.33,ref-b.2.03.56a.141-ref-b.2.03.56a.157,1153,1196,187,195,ref-sifre-d.1.5.25,ref-sifre-d.1.5.33,1081609,1081694,158042,158058,ref-b.2.3.56a.141,ref-b.2.3.56a.157,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ,הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב ,9,17,3,262,0.49382716049382713,0.5,0.49382716049382713
4,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.2.03.56a.130-ref-b.2.03.56a.140,1153,1203,187,196,ref-sifre-d.1.5.25,ref-sifre-d.1.5.34,1081550,1081608,158031,158041,ref-b.2.3.56a.130,ref-b.2.3.56a.140,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון ,10,11,4,260,0.7818181818181819,0.2542372881355932,0.509090909090909
5,ref-sifre-d.1.5.25-ref-sifre-d.1.5.34,ref-b.4.03.24b.659-ref-b.4.03.24b.665,1153,1203,187,196,ref-sifre-d.1.5.25,ref-sifre-d.1.5.34,5455402,5455436,793908,793914,ref-b.4.3.24b.659,ref-b.4.3.24b.665,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר ,שנאמר הולך אל דרום וסובב אל צפון ,10,7,5,1957,0.5625,0.38,0.4375
8,ref-sifre-d.1.8.14-ref-sifre-d.1.8.77,ref-b.5.05.16b.149-ref-b.5.05.16b.197,1624,1961,269,324,ref-sifre-d.1.8.14,ref-sifre-d.1.8.77,8159684,8159929,1186114,1186151,ref-b.5.5.16b.149,ref-b.5.5.16b.197,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה אמר רבי עקיבא העבודה אם יש בדור הזה יודע היאך מוכיחים אמר ר' יוחנן מעידני עלי שמים וארץ שיותר מחמשה פעמים נתקנתר עלי רבי עקיבא לפני רבן גמליאל ביבנה שהייתי קובלני עליו והיה מקנתרו ויודע אני בו שהיה מוסיף בי אהבה לקיים מה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אמר רבי אלעזר בן עזריה תמיהני אם יש בדור הזה שיודע להוכיח ואמר רבי יוחנן בן נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים מה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,64,49,8,3198,0.4625,0.281733746130031,0.403125
9,ref-sifre-d.1.8.69-ref-sifre-d.1.8.77,ref-b.3.01.65b.110-ref-b.3.01.65b.120,1916,1961,316,324,ref-sifre-d.1.8.69,ref-sifre-d.1.8.77,2964825,2964880,432364,432374,ref-b.3.1.65b.110,ref-b.3.1.65b.120,שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אומר חובה שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,9,11,9,996,0.18867924528301888,0.18867924528301883,0.18867924528301888
10,ref-sifre-d.1.14.22-ref-sifre-d.1.14.35,ref-b.5.05.15a.245-ref-b.5.05.15a.252,2718,2785,441,452,ref-sifre-d.1.14.22,ref-sifre-d.1.14.35,8152384,8152419,1184985,1184992,ref-b.5.5.15a.245,ref-b.5.5.15a.252,הימרו בתוך הים והימרו על הים וכן הוא אומר וימרו על ים בים סוף ,מרי מאי דכתיב וימרו על ים בים סוף ,14,8,10,3197,0.532258064516129,0.47619047619047616,0.532258064516129
11,ref-sifre-d.1.14.109-ref-sifre-d.1.14.118,ref-b.4.08.5a.542-ref-b.4.08.5a.551,3174,3219,522,531,ref-sifre-d.1.14.109,ref-sifre-d.1.14.118,6519802,6519848,949633,949642,ref-b.4.8.5a.542,ref-b.4.8.5a.551,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,האשה אשר נתתה עמדי היא נתנה לי מן העץ ואוכל ,10,10,11,2685,0.022727272727272728,0.022727272727272707,0.022727272727272728
