,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-sifre-n.1.2.41-ref-sifre-n.1.2.49,ref-b.5.02.86a.304-ref-b.5.02.86a.312,448,486,49,54,ref-sifre-n.1.2.41,ref-sifre-n.1.2.49,7401962,7402000,1077493,1077498,ref-b.5.2.86a.304,ref-b.5.2.86a.312,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,9,9,0,1998,0.0,0.0,0.0
1,ref-sifre-n.1.2.45-ref-sifre-n.1.2.49,ref-b.1.01.57a.298-ref-b.1.01.57a.302,464,486,50,54,ref-sifre-n.1.2.45,ref-sifre-n.1.2.49,294402,294424,43562,43566,ref-b.1.1.57a.298,ref-b.1.1.57a.302,ויקחו אליך שמן זית זך ,ויקחו אליך שמן זית זך ,5,5,1,42,0.0,0.0,0.0
2,ref-sifre-n.1.2.109-ref-sifre-n.1.2.115,ref-b.3.07.29a.234-ref-b.3.07.29a.240,819,859,93,98,ref-sifre-n.1.2.109,ref-sifre-n.1.2.115,4352373,4352414,633636,633641,ref-b.3.7.29a.234,ref-b.3.7.29a.240,זירוז שנא' וצו את יהושע וחזקהו ואמצהו ,זירוז דכתיב וצו את יהושע וחזקהו ואמצהו ,7,7,2,1247,0.1282051282051282,0.2093023255813954,0.1282051282051282
3,ref-sifre-n.1.2.139-ref-sifre-n.1.2.148,ref-b.1.01.57a.297-ref-b.1.01.57a.302,985,1030,116,122,ref-sifre-n.1.2.139,ref-sifre-n.1.2.148,294395,294424,43561,43566,ref-b.1.1.57a.297,ref-b.1.1.57a.302,שנאמר צו את בני ישראל ויקחו אליך שמן זית זך ,שנאמר ויקחו אליך שמן זית זך ,10,6,3,41,0.36363636363636365,0.36363636363636365,0.36363636363636365
4,ref-sifre-n.1.2.140-ref-sifre-n.1.2.148,ref-b.5.02.86a.304-ref-b.5.02.86a.312,992,1030,117,122,ref-sifre-n.1.2.140,ref-sifre-n.1.2.148,7401962,7402000,1077493,1077498,ref-b.5.2.86a.304,ref-b.5.2.86a.312,צו את בני ישראל ויקחו אליך שמן זית זך ,צו את בני ישראל ויקחו אליך שמן זית זך ,9,9,4,1999,0.0,0.0,0.0
5,ref-sifre-n.1.2.210-ref-sifre-n.1.2.214,ref-b.4.04.56b.472-ref-b.4.04.56b.476,1330,1352,167,171,ref-sifre-n.1.2.210,ref-sifre-n.1.2.214,6011340,6011362,874475,874479,ref-b.4.4.56b.472,ref-b.4.4.56b.476,ויצו ה' אלהים על האדם ,ויצו ה' אלהים על האדם ,5,5,5,1498,0.0,0.0,0.0
6,ref-sifre-n.1.2.210-ref-sifre-n.1.2.216,ref-b.4.04.56b.63-ref-b.4.04.56b.70,1330,1364,167,173,ref-sifre-n.1.2.210,ref-sifre-n.1.2.216,6009315,6009350,874198,874205,ref-b.4.4.56b.63,ref-b.4.4.56b.70,ויצו ה' אלהים על האדם וגו' ומעץ ,ויצו ה' אלהים על האדם לאמר מכל עץ ,7,8,6,1496,0.23529411764705882,0.3076923076923077,0.20588235294117646
7,ref-sifre-n.1.4.18-ref-sifre-n.1.4.23,ref-b.5.05.16b.28-ref-b.5.05.16b.35,1900,1934,247,252,ref-sifre-n.1.4.18,ref-sifre-n.1.4.23,8159058,8159102,1186010,1186017,ref-b.5.5.16b.28,ref-b.5.5.16b.35,במצורע בדד ישב מחוץ למחנה מושבו ,מצורע שאמרה תורה בדד ישב מחוץ למחנה מושבו ,6,8,7,2218,0.2857142857142857,0.2790697674418605,0.2619047619047619
8,ref-sifre-n.1.4.19-ref-sifre-n.1.4.23,ref-b.2.04.67a.151-ref-b.2.04.67a.155,1908,1934,248,252,ref-sifre-n.1.4.19,ref-sifre-n.1.4.23,1443830,1443856,209034,209038,ref-b.2.4.67a.151,ref-b.2.4.67a.155,בדד ישב מחוץ למחנה מושבו ,בדד ישב מחוץ למחנה מושבו ,5,5,8,195,0.0,0.0,0.0
9,ref-sifre-n.1.4.19-ref-sifre-n.1.4.23,ref-b.2.04.67a.156-ref-b.2.04.67a.162,1908,1934,248,252,ref-sifre-n.1.4.19,ref-sifre-n.1.4.23,1443857,1443892,209039,209045,ref-b.2.4.67a.156,ref-b.2.4.67a.162,בדד ישב מחוץ למחנה מושבו ,בדד ישב לבדו ישב מחוץ למחנה מושבו ,5,7,9,196,0.2647058823529412,0.2647058823529411,0.2647058823529412
