,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
1,ref-sifre-n.82.1.1-ref-sifre-n.82.1.9,ref-sifre-d.2.1.26-ref-sifre-d.2.1.32,110250,110292,16768,16775,ref-sifre-n.82.1.1,ref-sifre-n.82.1.9,5987,6021,992,998,ref-sifre-d.2.1.26,ref-sifre-d.2.1.32,ויסעו מהר ה' שלשת ימים אפשר לומר כבר נאמר ,שנאמר ויסעו מהר ה' דרך שלשת ימים ,9,7,581,1,0.6904761904761905,0.5
3,ref-sifre-n.82.1.118-ref-sifre-n.82.1.129,ref-sifre-d.2.2.46-ref-sifre-d.2.2.51,110851,110910,16873,16884,ref-sifre-n.82.1.118,ref-sifre-n.82.1.129,6460,6493,1077,1082,ref-sifre-d.2.2.46,ref-sifre-d.2.2.51,או' וארון ברית יי' נוסע לפניהם למה נאמר אלא וארון ברית ה' ,שנאמר וארון ברית ה' נוסע לפניהם ,12,6,586,3,0.5689655172413793,0.4444444444444444
4,ref-sifre-n.82.1.67-ref-sifre-n.82.1.71,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,110587,110613,16825,16829,ref-sifre-n.82.1.67,ref-sifre-n.82.1.71,6467,6493,1078,1082,ref-sifre-d.2.2.47,ref-sifre-d.2.2.51,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,5,5,583,4,0.0,0.0
5,ref-sifre-n.82.1.91-ref-sifre-n.82.1.95,ref-sifre-d.2.2.47-ref-sifre-d.2.2.51,110716,110742,16848,16852,ref-sifre-n.82.1.91,ref-sifre-n.82.1.95,6467,6493,1078,1082,ref-sifre-d.2.2.47,ref-sifre-d.2.2.51,וארון ברית ה' נוסע לפניהם ,וארון ברית ה' נוסע לפניהם ,5,5,584,5,0.0,0.0
6,ref-sifre-n.141.3.75-ref-sifre-n.141.3.80,ref-sifre-d.2.3.63-ref-sifre-d.2.3.68,252429,252454,40183,40188,ref-sifre-n.141.3.75,ref-sifre-n.141.3.80,7212,7237,1207,1212,ref-sifre-d.2.3.63,ref-sifre-d.2.3.68,בן מאה וכ' שנה אנכי היום ,בן מאה וכ' שנה אנכי היום ,6,6,1131,6,0.0,0.0
7,ref-sifre-n.78.3.85-ref-sifre-n.78.3.90,ref-sifre-d.9.1.33-ref-sifre-d.9.1.50,107719,107760,16312,16317,ref-sifre-n.78.3.85,ref-sifre-n.78.3.90,12970,13069,2178,2192,ref-sifre-d.9.1.33,ref-sifre-d.9.1.50,שהוציאנו ממצרים ועשה לנו נסים וגבורות ,שהוציאם ממצרים וקרע להם את הים והוריד להם את המן והגיז להם את השליו ועשה להם נסים וגבורות ,6,18,571,7,0.6333333333333333,0.7142857142857143
8,ref-sifre-n.84.5.70-ref-sifre-n.84.5.78,ref-sifre-d.11.1.1-ref-sifre-d.11.1.9,117079,117128,17889,17897,ref-sifre-n.84.5.70,ref-sifre-n.84.5.78,14538,14587,2444,2452,ref-sifre-d.11.1.1,ref-sifre-d.11.1.9,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים אמרו לו ,ה' אלהי אבותיכם יוסיף עליכם ככם אלף פעמים אמרו לו ,10,10,597,8,0.04,0.36363636363636365
9,ref-sifre-n.84.5.87-ref-sifre-n.84.5.100,ref-sifre-d.11.1.33-ref-sifre-d.11.1.37,117168,117240,17904,17915,ref-sifre-n.84.5.87,ref-sifre-n.84.5.100,14710,14740,2470,2474,ref-sifre-d.11.1.33,ref-sifre-d.11.1.37,ואתה נותן קצבה לברכותינו אמר להם אני בשר ודם יש קצבה לברכותי זו משלי ,ואתה נותן קצבה לברכותינו משל ,14,5,598,9,0.5797101449275363,0.6153846153846154
10,ref-sifre-n.84.5.70-ref-sifre-n.84.5.77,ref-sifre-d.11.1.115-ref-sifre-d.11.1.121,117079,117120,17889,17896,ref-sifre-n.84.5.70,ref-sifre-n.84.5.77,15111,15145,2542,2548,ref-sifre-d.11.1.115,ref-sifre-d.11.1.121,ה' אלהי אבותיכם יוסיף עליהם ככה אלף פעמים ,ה' אלהיכם יוסף עליכם ככם אלף פעמים ,8,7,596,10,0.21428571428571427,0.6363636363636364
11,ref-sifre-n.84.5.99-ref-sifre-n.84.5.115,ref-sifre-d.11.1.122-ref-sifre-d.11.1.138,117233,117322,17914,17930,ref-sifre-n.84.5.99,ref-sifre-n.84.5.115,15146,15237,2549,2565,ref-sifre-d.11.1.122,ref-sifre-d.11.1.138,זו משלי אבל הוא יברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וכוכבי השמים ,זו משלי יש לכם ויברך אתכם כאשר דבר לכם כחול ימים וכצמחי אדמה וכדגי הים וככוכבי השמים ,17,17,599,11,0.09411764705882353,0.23529411764705888
