,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.02.01.7.00.2490-ref-y.02.01.7.00.2497,1941,1979,254,261,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,981137,981179,148842,148849,ref-y.2.1.7..2490,ref-y.2.1.7..2497,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היתה ויצאה מן הכלל לחילוק על הכלל ,8,8,0,390,0.358974358974359,0.19512195121951215,0.28205128205128205
1,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.04.04.7.00.850-ref-y.04.04.7.00.857,1941,1979,254,261,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,3141454,3141493,478130,478137,ref-y.4.4.7..850,ref-y.4.4.7..857,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היו ויצאו מן הכלל לחלוק על הכלל ,8,8,1,1985,0.35135135135135137,0.19999999999999996,0.24324324324324326
2,ref-sifre-n.1.4.25-ref-sifre-n.1.4.32,ref-y.04.04.7.00.886-ref-y.04.04.7.00.893,1941,1979,254,261,ref-sifre-n.1.4.25,ref-sifre-n.1.4.32,3141639,3141679,478151,478158,ref-y.4.4.7..886,ref-y.4.4.7..893,היה בכלל ויצא מן הכלל ולמד על הכלל ,בכלל היית ויצאת מן הכלל לחלוק על הכלל ,8,8,2,1989,0.34210526315789475,0.2195121951219512,0.2631578947368421
3,ref-sifre-n.1.4.53-ref-sifre-n.1.4.67,ref-y.02.03.7.00.2829-ref-y.02.03.7.00.2840,2095,2169,282,296,ref-sifre-n.1.4.53,ref-sifre-n.1.4.67,1312885,1312952,198450,198461,ref-y.2.3.7..2829,ref-y.2.3.7..2840,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,בטמא טומאת זיבה וטומאת צרעת אנן קיימין לית יכיל דתנינן מטמא טומאת ,15,12,3,503,0.7183098591549296,0.5108695652173914,0.5352112676056338
4,ref-sifre-n.1.4.57-ref-sifre-n.1.4.67,ref-y.02.03.9.00.102-ref-y.02.03.9.00.112,2115,2169,286,296,ref-sifre-n.1.4.57,ref-sifre-n.1.4.67,1337042,1337095,202112,202120,ref-y.2.3.9..102,ref-y.2.3.9..112,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,טמא לנפש טמא זיבה וטמא צרעת מניין תלמוד לומר טמא מת ,11,11,4,510,0.7307692307692307,0.375,0.5
5,ref-sifre-n.1.4.60-ref-sifre-n.1.4.67,ref-y.01.08.2.00.1738-ref-y.01.08.2.00.1751,2131,2169,289,296,ref-sifre-n.1.4.60,ref-sifre-n.1.4.67,702633,702709,107678,107690,ref-y.1.8.2..1738,ref-y.1.8.2..1751,שמטמא בביאה כל שטמא מת מטמא זב מטמא ,בטמאין טמא מת שאין כלי חרס מיטמא מאחוריו אבל בטמאין טומאת זיבה שהזב מטמא ,8,14,5,245,0.6027397260273972,0.5068493150684932,0.6027397260273972
6,ref-sifre-n.1.4.78-ref-sifre-n.1.4.91,ref-y.02.03.7.00.2964-ref-y.02.03.7.00.2976,2217,2283,307,319,ref-sifre-n.1.4.78,ref-sifre-n.1.4.91,1313600,1313667,198557,198567,ref-y.2.3.7..2964,ref-y.2.3.7..2976,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים ,טמא מה את עבד לי בטמא טומאת זיבה וטומאת צרעת והתנינן מחוסרי כפרה ,14,13,6,504,0.5846153846153846,0.426829268292683,0.4307692307692308
7,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.02.12.3.00.1715-ref-y.02.12.3.00.1726,2269,2341,318,328,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,1991517,1991590,304653,304664,ref-y.2.12.3..1715,ref-y.2.12.3..1726,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי פוסל בקדש רביעי שהוא פוסל בתרומה ,13,12,7,1043,0.4492753623188406,0.23076923076923073,0.2898550724637681
8,ref-sifre-n.1.4.90-ref-sifre-n.1.4.102,ref-y.02.12.3.00.1915-ref-y.02.12.3.00.1927,2269,2341,318,328,ref-sifre-n.1.4.90,ref-sifre-n.1.4.102,1992557,1992635,304800,304811,ref-y.2.12.3..1915,ref-y.2.12.3..1927,שמחוסר כפורים פוסל טבול יום פוסל חמור שבני ישראל שהוא פוסל את התרומה ,מחוסר כיפורים שאינו פוסל בתרומה הרי הוא פוסל בקודש שלישי שהוא פוסל בתרומה ,13,13,8,1044,0.44594594594594594,0.16666666666666663,0.3108108108108108
9,ref-sifre-n.1.6.13-ref-sifre-n.1.6.32,ref-y.03.04.7.00.3045-ref-y.03.04.7.00.3052,4073,4155,558,575,ref-sifre-n.1.6.13,ref-sifre-n.1.6.32,2512520,2512559,381663,381670,ref-y.3.4.7..3045,ref-y.3.4.7..3052,על רחיצת גופו ענוש כרת או לא ענוש אלא על כיבוס בגדים אמרת מה טומאת מת לא ענש בו על ,על רחיצת גופו ענוש כרת ועל כיבוס בגדיו ,20,8,9,1511,0.5301204819277109,0.5301204819277108,0.5301204819277109
10,ref-sifre-n.2.1.66-ref-sifre-n.2.1.76,ref-y.04.01.9.00.975-ref-y.04.01.9.00.986,5618,5681,809,819,ref-sifre-n.2.1.66,ref-sifre-n.2.1.76,2939347,2939414,446188,446196,ref-y.4.1.9..975,ref-y.4.1.9..986,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ,בגוזל את הגר ונשבע לו ומת שמשלם קרן וחומש לכהנים ואשם למזבח ,11,12,10,1799,0.08333333333333333,0.09836065573770492,0.08333333333333333
