,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-t.5.8.4.15.14-ref-t.5.8.4.15.23,ref-mek.1.1.1.174-ref-mek.1.1.1.184,1244880,1244938,196288,196297,ref-t.5.8.4.15.14,ref-t.5.8.4.15.23,852,916,126,136,ref-mek.1.1.1.174,ref-mek.1.1.1.184,ביום עשות ייי אלים ארץ ושמים מלמד ששניהם שקולין זה בזה ,ביום עשות ה' אלהים ארץ ושמים מגיד ששניהם שקולים כאחד זה בזה ,11,12,566,0,0.2,0.33333333333333337
1,ref-t.5.1.13.20.40-ref-t.5.1.13.20.59,ref-mek.1.1.1.347-ref-mek.1.1.1.355,1069411,1069510,168752,168771,ref-t.5.1.13.20.40,ref-t.5.1.13.20.59,1768,1816,260,268,ref-mek.1.1.1.347,ref-mek.1.1.1.355,או' נחלה זו שילו מנוחה זו ירושלם שנ' כי בחר ייי בציון אוה למושב לו וגו' ואו' זאת מנוחתי עדי עד ,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,21,10,517,1,0.5894736842105263,0.625
2,ref-t.3.5.6.10.95-ref-t.3.5.6.10.100,ref-mek.1.1.1.760-ref-mek.1.1.1.766,648656,648685,102234,102239,ref-t.3.5.6.10.95,ref-t.3.5.6.10.100,3908,3940,640,646,ref-mek.1.1.1.760,ref-mek.1.1.1.766,שנאמר ויהי דבר ה' אלי בשנה ,שנאמר ויהי דבר ה' אל יונה שנית ,6,7,253,2,0.22580645161290322,0.4285714285714286
3,ref-t.2.12.1.6.34-ref-t.2.12.1.6.40,ref-mek.1.2.1.180-ref-mek.1.2.1.185,497006,497048,77480,77486,ref-t.2.12.1.6.34,ref-t.2.12.1.6.40,7538,7573,1259,1264,ref-mek.1.2.1.180,ref-mek.1.2.1.185,בחג המצות בא בחג השבועות ובחג הסוכות ,חג המצות וחג השבועות וחג הסכות ,7,6,140,3,0.1891891891891892,0.19999999999999996
5,ref-t.2.6.2.6.69-ref-t.2.6.2.6.98,ref-mek.1.2.1.283-ref-mek.1.2.1.321,417937,418109,65228,65255,ref-t.2.6.2.6.69,ref-t.2.6.2.6.98,8120,8344,1356,1391,ref-mek.1.2.1.283,ref-mek.1.2.1.321,שחמה לוקה סימן רע לאומות העולם לבנה לוקה סימן רע לשונאיהם של ישראל מפני שהגוים מונין לחמה וישראל מונין ללבנה בזמן שלוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ,וכשהחמה לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם מונים ללבנה ר' אומר כשהחמה לוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ליושבי מערב ר' יוסי אומר כשהמזלות לוקים במזרח סימן ,30,39,122,5,0.49047619047619045,0.5333333333333333
6,ref-t.2.6.2.6.42-ref-t.2.6.2.6.49,ref-mek.1.2.1.284-ref-mek.1.2.1.298,417792,417834,65203,65209,ref-t.2.6.2.6.42,ref-t.2.6.2.6.49,8129,8213,1357,1370,ref-mek.1.2.1.284,ref-mek.1.2.1.298,לוקין סימן רע לשונאיהן של ישראל מפני שהן ,לוקה סימן רע לגויים שהם מונים לחמה וכשהלבנה לוקה סימן רע לשונאיהם של ישראל שהם ,8,15,120,6,0.6329113924050633,0.6428571428571428
7,ref-t.2.6.2.6.90-ref-t.2.6.2.6.98,ref-mek.1.2.1.319-ref-mek.1.2.1.327,418060,418109,65247,65255,ref-t.2.6.2.6.90,ref-t.2.6.2.6.98,8327,8375,1389,1397,ref-mek.1.2.1.319,ref-mek.1.2.1.327,שלוקה במזרח סימן רע ליושבי מזרח במערב סימן רע ,לוקים במזרח סימן רע ליושבי מזרח במערב סימן רע ,9,9,123,7,0.06521739130434782,0.25
9,ref-t.2.3.4.5.75-ref-t.2.3.4.5.85,ref-mek.1.4.2.13-ref-mek.1.4.2.28,347356,347414,54022,54032,ref-t.2.3.4.5.75,ref-t.2.3.4.5.85,11294,11377,1843,1854,ref-mek.1.4.2.13,ref-mek.1.4.2.28,כשר הוא לשם אחרים יכשרו אחרים לשמו בארבעה עשר שאינו כשר ,"ארבעה עשר מנין אמרת קל וחומר ומה עשירי שאינו כשר לשחיטה כשר ללקיחה י""ד שהוא כשר ",11,16,75,9,0.675,0.75
10,ref-t.2.3.7.3.29-ref-t.2.3.7.3.37,ref-mek.1.4.3.9-ref-mek.1.4.3.16,358664,358711,55767,55775,ref-t.2.3.7.3.29,ref-t.2.3.7.3.37,11980,12025,1954,1961,ref-mek.1.4.3.9,ref-mek.1.4.3.16,לעולם על הפסח עד שישחט ומושכין ידיהן ממנו עד ,שלעולם נמנין על הפסח ומושכים ידיהם ממנו עד ,9,8,83,10,0.3333333333333333,0.5
12,ref-t.2.3.7.12.34-ref-t.2.3.7.12.51,ref-mek.1.4.3.163-ref-mek.1.4.3.181,361139,361235,56160,56175,ref-t.2.3.7.12.34,ref-t.2.3.7.12.51,12788,12900,2072,2088,ref-mek.1.4.3.163,ref-mek.1.4.3.181,כזית חולה בשעת זריקה ויכול לוכל כזית חלום בשעת שחיטה ואין יכול לוכל כזית הרי זה אינו אוכל ,החולה ואת הקטן שאינן יכולין לאכול כזית תלמוד לומר איש לפי אכלו יצאו החולה והקטן שאינן יכולין לאכול כזית ,18,19,92,12,0.6346153846153846,0.8333333333333334
13,ref-t.3.1.9.2.18-ref-t.3.1.9.2.27,ref-mek.1.4.3.174-ref-mek.1.4.3.182,531103,531158,82899,82908,ref-t.3.1.9.2.18,ref-t.3.1.9.2.27,12851,12906,2081,2089,ref-mek.1.4.3.174,ref-mek.1.4.3.182,אינן אוכלין כדרך שאינה אוכלת עבדי צאן ברזל אין אוכלין ,אכלו יצאו החולה והקטן שאינן יכולין לאכול כזית שאין ,10,9,145,13,0.7037037037037037,0.9285714285714286
14,ref-t.2.3.7.3.30-ref-t.2.3.7.3.37,ref-mek.1.4.3.211-ref-mek.1.4.3.217,358670,358711,55768,55775,ref-t.2.3.7.3.30,ref-t.2.3.7.3.37,13047,13081,2110,2115,ref-mek.1.4.3.211,ref-mek.1.4.3.217,על הפסח עד שישחט ומושכין ידיהן ממנו עד ,על הפסח ומושכים את ידיהם ממנו עד ,8,7,85,14,0.358974358974359,0.4444444444444444
