,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-t.4.4.7.11.13-ref-t.4.4.7.11.24,ref-sifra.1.2.10-ref-sifra.1.2.21,910195,910263,143991,144002,ref-t.4.4.7.11.13,ref-t.4.4.7.11.24,68,135,9,20,ref-sifra.1.2.10,ref-sifra.1.2.21,ובניין אב וכתב אחד ובניין אב ושני כתובין וכלל ופרט ופרט וכלל ,מבנין אב מכתוב אחד מבנין אב משני כתובים מכלל ופרט מפרט וכלל ,12,12,830,0,0.16393442622950818,0.0
1,ref-t.4.6.1.7.111-ref-t.4.6.1.7.119,ref-sifra.1.2.18-ref-sifra.1.2.30,950502,950543,150341,150348,ref-t.4.6.1.7.111,ref-t.4.6.1.7.119,112,179,17,28,ref-sifra.1.2.18,ref-sifra.1.2.30,כלל ופרט וכלל אי אתה דן אלא כעין הפרט ,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט ,9,13,932,1,0.3559322033898305,0.1428571428571429
3,ref-t.4.6.1.7.86-ref-t.4.6.1.7.113,ref-sifra.1.2.18-ref-sifra.1.2.45,950379,950517,150317,150343,ref-t.4.6.1.7.86,ref-t.4.6.1.7.113,112,256,17,38,ref-sifra.1.2.18,ref-sifra.1.2.45,כלל ופרט וכלל אי אתה דן אלא כעין הפרט כשהוא אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל ,מכלל ופרט מפרט וכלל מכלל ופרט וכלל אי אתה דן אלא כעין הפרט מכלל שהוא צריך לפרט ומפרט שהוא צריך לכלל כל דבר שהיה בכלל ויצא מן הכלל ,28,28,929,3,0.6,0.6666666666666667
5,ref-t.4.6.1.7.86-ref-t.4.6.1.7.124,ref-sifra.1.9.22-ref-sifra.1.9.36,950379,950566,150317,150353,ref-t.4.6.1.7.86,ref-t.4.6.1.7.124,1908,1979,324,337,ref-sifra.1.9.22,ref-sifra.1.9.36,כלל ופרט וכלל אי אתה דן אלא כעין הפרט כשהוא אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,39,15,930,5,0.630057803468208,0.5
6,ref-t.4.6.1.7.96-ref-t.4.6.1.7.124,ref-sifra.1.9.22-ref-sifra.1.9.36,950428,950566,150326,150353,ref-t.4.6.1.7.96,ref-t.4.6.1.7.124,1908,1979,324,337,ref-sifra.1.9.22,ref-sifra.1.9.36,אומ' לכל טומאתו אשר יטמא בה והוא וכלל אם כלל כלל הראשון אמרת ליו אלא כלל ופרט וכלל אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,וכלל כלל ופרט וכלל' אי אתה דן אלא כעין הפרט לומר לך מה הפרט מפורש ,29,15,931,6,0.5038759689922481,0.4736842105263158
7,ref-t.2.3.8.9.93-ref-t.2.3.8.9.98,ref-sifra.1.11.21-ref-sifra.1.11.26,365197,365229,56767,56772,ref-t.2.3.8.9.93,ref-t.2.3.8.9.98,2430,2462,417,422,ref-sifra.1.11.21,ref-sifra.1.11.26,והנפש אשר תאכל בשר מזבח השלמים ,והנפש אשר תאכל בשר מזבח השלמים ,6,6,263,7,0.0,0.0
9,ref-t.6.5.7.2.34-ref-t.6.5.7.2.39,ref-sifra.1.16.18-ref-sifra.1.16.35,1392138,1392172,218764,218769,ref-t.6.5.7.2.34,ref-t.6.5.7.2.39,4150,4242,706,720,ref-sifra.1.16.18,ref-sifra.1.16.35,ניתץ עמו אבניו עציו ועפריו מטמאין ,מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ את הבית את אבניו ואת עציו ,6,18,2662,9,0.7441860465116279,0.7333333333333334
11,ref-t.4.4.7.11.3-ref-t.4.4.7.11.39,ref-sifra.1.17.79-ref-sifra.1.17.107,910143,910344,143982,144015,ref-t.4.4.7.11.3,ref-t.4.4.7.11.39,4728,4880,804,829,ref-sifra.1.17.79,ref-sifra.1.17.107,דרש הלל הזקן לפני זקני פתורה קל וחומר וגזירה שוה ובניין אב וכתב אחד ובניין אב ושני כתובין וכלל ופרט ופרט וכלל וכיוצא בו ממקום אחר דבר הלמד מעניינו אילו שבע מדות שדרש הלל הזקן לפני זקני ,דרש שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ופרט וכיוצא בו במקום אחר ודבר למד מענינו אלו שבע מדות שדרש הלל הזקן לפני זקני ,37,29,829,11,0.2972972972972973,0.27586206896551724
12,ref-t.4.4.7.11.20-ref-t.4.4.7.11.39,ref-sifra.1.17.80-ref-sifra.1.17.107,910233,910344,143998,144015,ref-t.4.4.7.11.20,ref-t.4.4.7.11.39,4732,4880,805,829,ref-sifra.1.17.80,ref-sifra.1.17.107,כתובין וכלל ופרט ופרט וכלל וכיוצא בו ממקום אחר דבר הלמד מעניינו אילו שבע מדות שדרש הלל הזקן לפני זקני ,שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ופרט וכיוצא בו במקום אחר ודבר למד מענינו אלו שבע מדות שדרש הלל הזקן לפני זקני ,20,28,831,12,0.39568345323741005,0.34782608695652173
13,ref-t.4.4.7.11.1-ref-t.4.4.7.11.7,ref-sifra.1.17.101-ref-sifra.1.17.107,910132,910166,143980,143986,ref-t.4.4.7.11.1,ref-t.4.4.7.11.7,4846,4880,823,829,ref-sifra.1.17.101,ref-sifra.1.17.107,שבעה דברים דרש הלל הזקן לפני זקני ,שבע מדות שדרש הלל הזקן לפני זקני ,7,7,827,13,0.20588235294117646,0.5
15,ref-t.4.9.1.7.67-ref-t.4.9.1.7.83,ref-sifra.2.01-01.1.2-ref-sifra.2.01-01.2.11,1009619,1009700,159764,159780,ref-t.4.9.1.7.67,ref-t.4.9.1.7.83,5378,5592,917,944,ref-sifra.2.1-01.1.2,ref-sifra.2.1-01.2.11,דבר נאמ' כאן דבר ונאמר להלן דבר מה דבר האמור להלן מקצתו ולא כולו אף דבר האמור ,וידבר הקדים קריאה לדיבור הלא דין הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן הקדים קריאה לדיבור לא אם אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,17,38,1030,15,0.6896551724137931,0.6842105263157895
16,ref-t.4.9.1.7.129-ref-t.4.9.1.7.142,ref-sifra.2.01-01.1.2-ref-sifra.2.01-01.2.11,1009908,1009972,159825,159838,ref-t.4.9.1.7.129,ref-t.4.9.1.7.142,5378,5592,917,944,ref-sifra.2.1-01.1.2,ref-sifra.2.1-01.2.11,ולהלן נאמ' דבר מה דבר אמור להלן מקצתו לא כולו אף דבר האמור כאן ,וידבר הקדים קריאה לדיבור הלא דין הוא נאמר כאן דיבור' ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן הקדים קריאה לדיבור לא אם אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל ,14,38,1088,16,0.7487684729064039,0.75
