,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
0,ref-t.2.2.4.6.84-ref-t.2.2.4.6.90,ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,308245,308278,47996,48002,ref-t.2.2.4.6.84,ref-t.2.2.4.6.90,1153,1180,187,192,ref-sifre-d.1.5.25,ref-sifre-d.1.5.30,הולך אל דרום ביום וסובב אל צפון ,הולך אל דרום וסובב אל צפון ,7,6,144,0,0.15625,0.16666666666666663
2,ref-t.2.2.4.6.73-ref-t.2.2.4.6.85,ref-sifre-d.1.5.25-ref-sifre-d.1.5.38,308188,308252,47985,47997,ref-t.2.2.4.6.73,ref-t.2.2.4.6.85,1153,1224,187,200,ref-sifre-d.1.5.25,ref-sifre-d.1.5.38,מזרח ושוקעת בחצי מערב שנ' הולך אל דרום וסובב אל צפון הולך אל ,הולך אל דרום וסובב אל צפון זהו מזרח ומערב ואומר כל הנחלים הולכים אל ,13,14,143,2,0.7058823529411765,0.5714285714285714
3,ref-t.3.2.6.8.113-ref-t.3.2.6.8.120,ref-sifre-d.1.14.95-ref-sifre-d.1.14.103,571288,571321,89392,89399,ref-t.3.2.6.8.113,ref-t.3.2.6.8.120,3099,3146,508,516,ref-sifre-d.1.14.95,ref-sifre-d.1.14.103,שנ' להלן אעשה לו עזר כנגדו מה לו ,שאמרתי לו אעשה לו עזר כנגדו בטובה שהיטבתי לו ,8,9,267,3,0.4222222222222222,0.625
4,ref-t.5.3.13.23.9-ref-t.5.3.13.23.36,ref-sifre-d.1.20.142-ref-sifre-d.1.20.171,1157582,1157727,182509,182536,ref-t.5.3.13.23.9,ref-t.5.3.13.23.36,5332,5502,883,912,ref-sifre-d.1.20.142,ref-sifre-d.1.20.171,נאמר בו והיה באחרית הימים נכון יהיה הר בית ייי בראש ההרים וגו' והלכו עמים רבים ואמרו לכו ונעלה אל הר ייי אל בית אלי יעקב ויורנו מדרכיו ,ואומר והיה באחרית הימים נכון יהיה הר בית ה' בראש ההרים ונשא מגבעות ונהרו אליו כל הגוים ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ויורנו מדרכיו ,28,30,910,4,0.33974358974358976,0.2727272727272727
5,ref-t.3.5.7.18.22-ref-t.3.5.7.18.31,ref-sifre-d.2.2.43-ref-sifre-d.2.2.51,653549,653598,103070,103078,ref-t.3.5.7.18.22,ref-t.3.5.7.18.31,6443,6493,1074,1082,ref-sifre-d.2.2.43,ref-sifre-d.2.2.51,היה בו ספר תורה שנאמ' וארון ברית ייי נסע לפניהם ,היו נכנסים לארץ שנאמר וארון ברית ה' נוסע לפניהם ,10,9,338,5,0.2916666666666667,0.6363636363636364
6,ref-t.3.5.4.2.128-ref-t.3.5.4.2.133,ref-sifre-d.2.2.46-ref-sifre-d.2.2.51,633222,633255,99582,99587,ref-t.3.5.4.2.128,ref-t.3.5.4.2.133,6460,6493,1077,1082,ref-sifre-d.2.2.46,ref-sifre-d.2.2.51,שנא' וארון ברית ייי נוסע לפניהם ,שנאמר וארון ברית ה' נוסע לפניהם ,6,6,292,6,0.15625,0.4285714285714286
7,ref-t.5.1.13.20.16-ref-t.5.1.13.20.22,ref-sifre-d.2.2.64-ref-sifre-d.2.2.70,1069293,1069321,168734,168738,ref-t.5.1.13.20.16,ref-t.5.1.13.20.22,6552,6580,1093,1097,ref-sifre-d.2.2.64,ref-sifre-d.2.2.70,כי לא באתם עד עתה אל המנוחה ,כי לא באתם עד עתה אל המנוחה ,7,7,856,7,0.0,0.0
8,ref-t.4.3.2.10.50-ref-t.4.3.2.10.68,ref-sifre-d.2.3.29-ref-sifre-d.2.3.43,849813,849912,134255,134272,ref-t.4.3.2.10.50,ref-t.4.3.2.10.68,7036,7116,1177,1190,ref-sifre-d.2.3.29,ref-sifre-d.2.3.43,ולשלמה שנים עשר נצבים על כל ישראל וכלכלו וגו' ואו' ונציב אחד אשר בארץ הוי או' זה חודש העיבור ,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ואיזה זה חודש העבור ",19,15,542,8,0.3010752688172043,0.368421052631579
9,ref-t.3.5.11.7.6-ref-t.3.5.11.7.23,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,668234,668329,105541,105558,ref-t.3.5.11.7.6,ref-t.3.5.11.7.23,7199,7296,1205,1222,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,שנ' ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין ת'ל היום מה ת'ל היום שהיום מלאו שנותיו ,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",18,19,433,9,0.27472527472527475,0.4375
10,ref-t.3.5.11.7.27-ref-t.3.5.11.7.39,ref-sifre-d.2.3.64-ref-sifre-d.2.3.75,668341,668406,105561,105572,ref-t.3.5.11.7.27,ref-t.3.5.11.7.39,7215,7275,1208,1218,ref-sifre-d.2.3.64,ref-sifre-d.2.3.75,ת'ל היום מלמד שהן מאה ועשרים שנה מיום ליום מכונות דבר אחר מה ,"מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום ",13,12,434,10,0.7540983606557377,0.8571428571428572
